id,stat_month,growth_yoy,growth_acc,state_owned_yoy,state_owned_acc,private_yoy,private_acc,collective_yoy,collective_acc,stock_cooperate_yoy,stock_cooperate_acc,joint_stock_yoy,joint_stock_acc,foreign_yoy,foreign_acc
1,2006-06,19.5,17.7,15.4,11.8,27.9,27.2,11.9,13.1,15.8,17.2,21.3,18.7,19.0,19.0
2,2005-09,16.5,16.3,11.3,11.3,25.6,25.1,8.7,11.9,16.0,14.9,17.8,17.9,17.3,16.2
3,2005-08,16.0,16.3,11.1,11.2,24.6,25.0,12.7,12.5,16.6,14.8,17.3,17.9,16.3,15.9
4,2005-05,16.6,16.3,11.3,11.9,26.6,24.8,12.3,12.1,16.3,14.0,19.2,17.8,14.7,15.7
5,2005-04,16.0,16.2,11.9,12.1,24.7,24.6,10.6,11.7,11.7,13.4,17.9,17.3,15.2,16.1
6,2005-07,16.1,16.3,11.3,11.3,24.5,25.1,12.8,12.5,15.6,14.5,18.0,17.9,16.5,15.9
7,2005-06,16.8,16.4,10.2,11.6,27.4,25.5,14.8,12.7,16.9,14.4,19.4,18.0,15.4,15.7
8,2005-01,,,17.0,17.0,,,19.5,19.5,24.6,24.6,21.2,21.2,21.6,21.6
9,2005-03,15.1,16.2,11.8,12.0,23.4,24.6,12.9,12.0,10.9,14.1,17.6,17.1,12.8,16.2
10,2005-02,7.6,16.9,4.0,12.6,13.7,25.4,6.4,12.6,5.7,15.8,8.5,17.0,6.7,18.2
11,2016-03,6.8,5.8,3.2,-0.1,8.6,9.0,0.2,2.4,11.4,12.9,7.6,7.2,4.8,3.3
12,2016-02,,5.4,,-2.0,,9.3,,3.7,,13.8,,6.9,,2.4
13,2016-05,6.0,5.9,-0.5,-0.2,9.5,9.1,3.3,2.4,-0.4,8.9,7.2,7.2,3.1,3.1
14,2016-04,6.0,5.8,-0.1,-0.1,8.9,9.0,1.6,2.2,6.9,11.3,7.1,7.2,2.6,3.1
15,2016-07,6.0,6.0,2.9,0.3,7.4,8.7,-1.5,2.0,-1.5,7.4,6.3,7.1,5.1,3.5
16,2016-06,6.2,6.0,-0.1,-0.2,8.2,8.9,3.6,2.6,9.1,8.9,7.4,7.2,3.6,3.2
17,2016-09,6.1,6.0,3.3,1.0,6.4,8.1,-3.8,0.7,1.6,6.6,6.4,6.9,6.2,4.2
18,2016-08,6.3,6.0,3.6,0.7,6.5,8.4,-4.1,1.3,6.9,7.3,6.4,7.0,6.7,3.9
19,2002-11,14.5,12.4,14.2,11.5,,,9.2,8.7,10.5,11.0,17.9,14.1,14.5,12.9
20,2002-10,14.2,12.3,13.8,11.2,,,10.5,9.0,11.2,11.0,16.2,13.8,14.8,12.9
21,2012-07,9.2,10.3,4.8,6.6,14.4,15.4,7.1,8.0,2.6,9.1,10.9,12.1,5.3,6.1
22,2012-06,9.5,10.5,6.5,7.0,13.0,15.6,7.4,8.0,8.2,11.0,11.5,12.4,5.5,6.3
23,2012-03,11.9,11.6,8.0,7.2,17.7,18.8,9.3,9.7,16.1,13.9,13.7,13.8,8.2,6.4
24,2012-02,21.3,11.4,14.7,7.3,30.6,19.7,15.8,9.9,11.2,11.0,23.8,13.9,17.1,5.0
25,2012-09,9.2,10.0,6.3,6.3,12.6,15.0,7.0,7.6,5.3,8.2,11.0,11.8,5.3,6.0
26,2012-08,8.9,10.1,5.3,6.3,14.3,15.4,6.6,7.8,5.0,8.9,10.4,12.0,5.0,6.0
27,2006-04,16.6,16.7,10.8,10.6,24.8,26.4,13.0,13.4,17.9,17.9,17.2,17.4,18.6,19.0
28,2011-12,12.8,13.9,9.2,9.9,18.8,19.5,11.4,9.3,18.7,14.7,14.7,15.8,8.7,10.4
29,2000-01,,,5.2,5.2,,,6.3,6.3,12.3,12.3,9.9,9.9,13.7,13.7
30,2000-02,12.0,10.4,10.3,7.6,,,8.4,7.1,17.0,13.4,13.8,11.8,14.9,14.1
31,2000-03,11.9,10.7,10.6,8.6,,,9.0,7.7,11.8,11.5,14.3,13.3,15.2,14.4
32,2000-04,11.4,10.9,10.8,9.1,,,8.0,7.8,10.6,11.3,14.0,13.5,14.2,14.4
33,2000-05,11.5,11.0,10.6,9.4,,,7.3,7.7,14.5,11.9,14.5,13.7,14.8,14.5
34,2000-06,12.2,11.2,11.9,9.8,,,8.9,7.9,13.6,12.2,15.2,13.8,15.1,14.6
35,2000-07,12.8,11.4,12.8,10.2,,,7.9,7.9,16.7,12.8,16.8,14.2,15.2,14.7
36,2000-08,12.8,11.6,12.1,10.4,,,8.0,7.9,11.5,12.6,17.2,14.6,14.9,14.7
37,2000-09,12.0,11.6,11.2,10.5,,,7.2,7.8,13.5,12.7,16.1,14.7,14.8,14.7
38,1999-08,9.5,9.4,8.4,7.7,,,7.8,7.8,15.6,14.9,12.7,12.1,13.7,12.9
39,1999-09,8.2,9.3,7.9,7.7,,,6.4,7.7,13.0,14.7,9.0,11.8,12.2,12.8
40,2008-08,12.8,15.7,9.7,12.3,19.1,22.6,9.1,9.7,9.6,13.8,15.0,18.1,9.7,13.4
41,2008-09,11.4,15.2,7.4,11.8,19.2,22.1,10.4,9.6,13.2,13.8,13.2,17.5,8.2,12.7
42,2008-02,15.4,15.4,11.5,11.7,22.4,22.8,12.2,11.9,13.3,14.6,18.0,17.6,13.3,13.3
43,2008-03,17.8,16.4,14.3,12.9,24.1,23.3,10.7,11.6,13.4,14.0,20.4,18.9,15.6,14.3
44,2008-04,15.7,16.3,11.3,12.4,23.2,23.5,9.5,11.1,12.3,13.7,18.1,18.7,14.1,14.5
45,2008-05,16.0,16.3,12.6,12.4,22.1,23.3,8.8,10.7,15.2,14.0,17.7,18.6,14.4,14.6
46,2008-06,16.0,16.3,12.4,12.7,22.5,23.6,8.9,10.5,14.4,14.7,18.5,18.8,12.8,14.3
47,2008-07,14.7,16.1,11.8,12.6,20.7,23.1,7.4,9.8,11.5,14.3,17.0,18.5,11.9,13.9
48,1999-03,9.0,10.1,6.8,8.3,,,8.6,8.5,14.8,15.9,13.9,14.2,11.1,13.6
49,2002-06,12.4,11.7,10.0,10.0,,,11.1,8.3,12.7,10.8,12.9,13.0,13.2,12.2
50,2004-04,19.1,18.2,15.8,14.9,,,11.4,11.6,15.0,13.3,19.0,18.4,23.4,21.9
51,2004-05,17.5,18.1,13.8,14.7,,,10.5,11.4,11.5,12.8,16.9,18.2,22.3,22.0
52,2004-06,16.2,17.7,14.0,14.5,,,8.9,10.9,11.4,12.5,16.9,18.0,19.7,21.5
53,2004-07,15.5,17.3,12.7,14.0,,,7.2,10.3,11.8,13.7,15.3,17.1,18.1,21.0
54,2004-01,,,7.5,7.5,,,4.2,4.2,3.4,3.4,8.4,8.4,6.4,6.4
55,2004-02,23.2,16.6,20.0,14.1,,,15.7,10.6,16.3,10.6,24.2,17.5,26.3,18.9
56,2004-03,19.4,17.7,15.2,14.5,,,12.6,11.5,16.1,12.6,18.9,18.1,24.5,21.1
57,2011-10,13.2,14.1,8.9,10.1,19.2,19.6,9.2,9.1,17.3,14.5,15.1,16.0,9.6,10.7
58,2004-08,15.9,17.1,12.8,13.9,,,9.7,10.4,13.3,13.8,15.7,16.9,18.2,20.6
59,2004-09,16.1,17.0,13.3,13.8,,,11.3,10.5,10.9,13.3,16.7,17.0,17.0,20.3
60,2000-11,10.6,11.5,9.1,10.2,,,6.1,7.6,8.3,11.8,15.0,14.6,14.0,14.6
61,2000-10,11.4,11.6,8.3,10.3,,,7.4,7.8,6.5,12.1,13.3,14.6,14.4,14.7
62,2002-09,13.8,12.2,14.0,10.8,,,10.4,8.8,10.0,10.8,16.3,13.5,13.2,12.7
63,2015-10,5.6,6.1,-0.5,1.1,8.1,8.8,-1.6,1.4,9.6,4.6,6.6,7.4,3.6,3.5
