id,day,currency_id,market_id,term_id,interest_rate,currency_name
234,2017-10-19,1,5,20,2.592,人民币
258,2017-10-20,1,5,20,2.5782,人民币
213490,2017-10-23,1,5,20,2.616,人民币
420499,2017-10-24,1,5,20,2.634,人民币
650656,2017-10-25,1,5,20,2.664,人民币
797913,2017-10-26,1,5,20,2.6937,人民币
874944,2016-08-02,1,5,20,2.008,人民币元CNY
874999,2016-08-03,1,5,20,2.004,人民币元CNY
875054,2016-08-04,1,5,20,2.002,人民币元CNY
875109,2016-08-05,1,5,20,2.002,人民币元CNY
875164,2016-08-08,1,5,20,2.005,人民币元CNY
875219,2016-08-09,1,5,20,2.01,人民币元CNY
875274,2016-08-10,1,5,20,2.017,人民币元CNY
875329,2016-08-11,1,5,20,2.021,人民币元CNY
875384,2016-08-12,1,5,20,2.021,人民币元CNY
875439,2016-08-15,1,5,20,2.0233,人民币元CNY
875494,2016-08-16,1,5,20,2.022,人民币元CNY
875549,2016-08-17,1,5,20,2.022,人民币元CNY
875604,2016-08-18,1,5,20,2.023,人民币元CNY
875659,2016-08-19,1,5,20,2.023,人民币元CNY
875714,2016-08-22,1,5,20,2.0233,人民币元CNY
875769,2016-08-23,1,5,20,2.033,人民币元CNY
875823,2016-08-24,1,5,20,2.043,人民币元CNY
875878,2016-08-25,1,5,20,2.044,人民币元CNY
875933,2016-08-26,1,5,20,2.044,人民币元CNY
875960,2016-08-29,1,5,20,2.049,人民币元CNY
876008,2016-08-30,1,5,20,2.063,人民币元CNY
876063,2016-08-31,1,5,20,2.065,人民币元CNY
876118,2016-09-01,1,5,20,2.066,人民币元CNY
876169,2016-09-02,1,5,20,2.066,人民币元CNY
876227,2016-09-05,1,5,20,2.07,人民币元CNY
876282,2016-09-06,1,5,20,2.077,人民币元CNY
876337,2016-09-07,1,5,20,2.0803,人民币元CNY
876392,2016-09-08,1,5,20,2.081,人民币元CNY
876447,2016-09-09,1,5,20,2.085,人民币元CNY
876502,2016-09-12,1,5,20,2.095,人民币元CNY
876557,2016-09-13,1,5,20,2.108,人民币元CNY
876612,2016-09-14,1,5,20,2.128,人民币元CNY
876713,2016-09-18,1,5,20,2.14,人民币元CNY
876761,2016-09-19,1,5,20,2.154,人民币元CNY
876816,2016-09-20,1,5,20,2.159,人民币元CNY
876871,2016-09-21,1,5,20,2.167,人民币元CNY
876926,2016-09-22,1,5,20,2.168,人民币元CNY
876981,2016-09-23,1,5,20,2.1668,人民币元CNY
877036,2016-09-26,1,5,20,2.164,人民币元CNY
877091,2016-09-27,1,5,20,2.166,人民币元CNY
877146,2016-09-28,1,5,20,2.178,人民币元CNY
877201,2016-09-29,1,5,20,2.188,人民币元CNY
877256,2016-09-30,1,5,20,2.327,人民币元CNY
877506,2016-10-08,1,5,20,2.193,人民币元CNY
877514,2016-10-09,1,5,20,2.175,人民币元CNY
877553,2016-10-10,1,5,20,2.162,人民币元CNY
877608,2016-10-11,1,5,20,2.153,人民币元CNY
877663,2016-10-12,1,5,20,2.15,人民币元CNY
877718,2016-10-13,1,5,20,2.151,人民币元CNY
877773,2016-10-14,1,5,20,2.153,人民币元CNY
877828,2016-10-17,1,5,20,2.159,人民币元CNY
877883,2016-10-18,1,5,20,2.173,人民币元CNY
877938,2016-10-19,1,5,20,2.196,人民币元CNY
877993,2016-10-20,1,5,20,2.208,人民币元CNY
878040,2016-10-21,1,5,20,2.222,人民币元CNY
878095,2016-10-24,1,5,20,2.231,人民币元CNY
878150,2016-10-25,1,5,20,2.238,人民币元CNY
878205,2016-10-26,1,5,20,2.248,人民币元CNY
878260,2016-10-27,1,5,20,2.254,人民币元CNY
878315,2016-10-28,1,5,20,2.254,人民币元CNY
878370,2016-10-31,1,5,20,2.253,人民币元CNY
878425,2016-11-01,1,5,20,2.252,人民币元CNY
878480,2016-11-02,1,5,20,2.2492,人民币元CNY
878535,2016-11-03,1,5,20,2.245,人民币元CNY
878590,2016-11-04,1,5,20,2.232,人民币元CNY
878645,2016-11-07,1,5,20,2.206,人民币元CNY
878700,2016-11-08,1,5,20,2.187,人民币元CNY
878755,2016-11-09,1,5,20,2.182,人民币元CNY
878810,2016-11-10,1,5,20,2.196,人民币元CNY
878860,2016-11-11,1,5,20,2.211,人民币元CNY
878919,2016-11-14,1,5,20,2.231,人民币元CNY
878974,2016-11-15,1,5,20,2.247,人民币元CNY
879029,2016-11-16,1,5,20,2.257,人民币元CNY
879084,2016-11-17,1,5,20,2.259,人民币元CNY
879139,2016-11-18,1,5,20,2.265,人民币元CNY
879194,2016-11-21,1,5,20,2.271,人民币元CNY
879249,2016-11-22,1,5,20,2.273,人民币元CNY
879304,2016-11-23,1,5,20,2.277,人民币元CNY
879358,2016-11-24,1,5,20,2.282,人民币元CNY
879413,2016-11-25,1,5,20,2.289,人民币元CNY
879468,2016-11-28,1,5,20,2.298,人民币元CNY
879523,2016-11-29,1,5,20,2.302,人民币元CNY
879578,2016-11-30,1,5,20,2.316,人民币元CNY
879633,2016-12-01,1,5,20,2.325,人民币元CNY
879688,2016-12-02,1,5,20,2.32,人民币元CNY
879743,2016-12-05,1,5,20,2.308,人民币元CNY
879798,2016-12-06,1,5,20,2.299,人民币元CNY
879853,2016-12-07,1,5,20,2.292,人民币元CNY
879908,2016-12-08,1,5,20,2.2908,人民币元CNY
879963,2016-12-09,1,5,20,2.2925,人民币元CNY
880018,2016-12-12,1,5,20,2.292,人民币元CNY
880073,2016-12-13,1,5,20,2.296,人民币元CNY
880128,2016-12-14,1,5,20,2.3,人民币元CNY
880183,2016-12-15,1,5,20,2.311,人民币元CNY
880238,2016-12-16,1,5,20,2.33,人民币元CNY
880293,2016-12-19,1,5,20,2.335,人民币元CNY
880348,2016-12-20,1,5,20,2.345,人民币元CNY
880403,2016-12-21,1,5,20,2.345,人民币元CNY
880458,2016-12-22,1,5,20,2.341,人民币元CNY
880513,2016-12-23,1,5,20,2.323,人民币元CNY
880528,2016-12-26,1,5,20,2.294,人民币元CNY
880540,2016-12-27,1,5,20,2.264,人民币元CNY
880588,2016-12-28,1,5,20,2.246,人民币元CNY
880643,2016-12-29,1,5,20,2.227,人民币元CNY
880698,2016-12-30,1,5,20,2.23,人民币元CNY
880753,2017-01-03,1,5,20,2.209,人民币元CNY
880808,2017-01-04,1,5,20,2.172,人民币元CNY
880863,2017-01-05,1,5,20,2.13,人民币元CNY
880918,2017-01-06,1,5,20,2.112,人民币元CNY
880973,2017-01-09,1,5,20,2.094,人民币元CNY
881028,2017-01-10,1,5,20,2.096,人民币元CNY
881083,2017-01-11,1,5,20,2.104,人民币元CNY
881138,2017-01-12,1,5,20,2.103,人民币元CNY
881193,2017-01-13,1,5,20,2.104,人民币元CNY
