,id,stat_month,pmi,produce_idx,new_orders_idx,new_export_orders_idx,order_in_hand_idx,finished_produce_idx,purchase_quantity_idx,import_idx,exfactory_idx,purchases_idx,raw_material_idx,employ_idx,delivery_time_idx,production_expected_idx
0,306,2017-08,51.7,54.1,53.1,50.4,46.1,45.5,52.9,51.4,57.4,65.3,48.3,49.1,49.3,59.5
1,307,2017-09,52.4,54.7,54.8,51.3,47.4,44.2,53.8,51.1,59.4,68.4,48.9,49.0,49.3,59.4
2,308,2017-10,51.6,53.4,52.9,50.1,45.6,46.1,53.2,50.3,55.2,63.4,48.6,49.0,48.7,57.0
3,309,2017-01,51.3,53.1,52.8,50.3,46.3,45.0,52.6,50.7,54.7,64.5,48.0,49.2,49.8,58.5
4,310,2017-02,51.6,53.7,53.0,50.8,46.0,47.6,51.4,51.2,56.3,64.2,48.6,49.7,50.5,60.0
5,311,2017-03,51.8,54.2,53.3,51.0,46.1,47.3,53.4,50.5,53.2,59.3,48.3,50.0,50.3,58.3
6,312,2017-04,51.2,53.8,52.3,50.6,45.0,48.2,51.9,50.2,48.7,51.8,48.3,49.2,50.5,56.6
7,313,2017-05,51.2,53.4,52.3,50.7,45.4,46.6,51.5,50.0,47.6,49.5,48.5,49.4,50.2,56.8
8,314,2017-06,51.7,54.4,53.1,52.0,47.2,46.3,52.5,51.2,49.1,50.4,48.6,49.0,49.9,58.7
9,315,2017-07,51.4,53.5,52.8,50.9,46.3,46.1,52.7,51.1,52.7,57.9,48.5,49.2,50.1,59.1
10,316,2016-11,51.7,53.9,53.2,50.3,46.7,45.9,52.9,50.6,58.3,68.3,48.4,49.2,49.7,59.0
11,317,2016-12,51.4,53.3,53.2,50.1,46.2,44.4,52.1,50.3,58.8,69.6,48.0,48.9,50.0,58.2
12,318,2017-11,51.8,54.3,53.6,50.8,46.6,46.1,53.5,51.0,53.8,59.8,48.4,48.8,49.5,57.9
13,319,2014-09,51.1,53.6,52.2,50.2,45.6,47.2,51.2,48.0,,47.4,48.8,48.2,50.1,56.0
14,320,2014-08,51.1,53.2,52.5,50.0,45.9,48.1,51.9,48.5,,49.3,48.6,48.2,50.0,57.9
15,321,2014-05,50.8,52.8,52.3,49.3,46.0,47.1,52.3,49.0,,50.0,48.0,48.2,50.3,56.2
16,322,2014-04,50.4,52.5,51.2,49.1,44.9,47.3,50.6,48.6,,48.3,48.1,48.3,50.1,59.6
17,323,2014-07,51.7,54.2,53.6,50.8,46.4,47.6,53.0,49.3,,50.5,49.0,48.3,50.2,55.3
18,324,2014-06,51.0,53.0,52.8,50.3,46.2,47.3,52.0,49.2,,50.1,48.0,48.6,50.5,54.8
19,325,2014-01,50.5,53.0,50.9,49.3,45.7,46.5,51.0,48.2,,49.2,47.8,48.2,49.8,51.3
20,326,2014-03,50.3,52.7,50.6,50.1,44.8,48.3,50.3,49.1,,44.4,47.8,48.3,49.8,62.7
21,327,2014-02,50.2,52.6,50.5,48.2,45.1,47.8,49.4,46.5,,47.7,47.4,48.0,49.9,61.8
22,328,2010-01,55.8,60.5,59.9,53.2,49.9,47.3,60.5,53.4,,68.5,52.2,50.6,51.0,
23,329,2010-03,55.1,58.4,58.1,54.5,52.0,48.3,58.1,53.7,,65.1,50.6,52.9,50.5,
24,330,2010-02,52.0,54.3,53.7,50.3,47.1,47.3,51.9,49.1,,61.1,48.1,49.9,49.7,
25,331,2013-08,51.0,52.6,52.4,50.2,44.8,47.6,52.0,50.0,,53.2,48.0,49.3,50.4,59.4
26,332,2013-09,51.1,52.9,52.8,50.7,46.2,47.4,52.5,50.4,,54.5,48.5,49.1,50.8,58.4
27,333,2010-07,51.2,52.7,50.9,51.2,46.8,49.9,52.2,49.3,,50.4,47.8,52.2,49.9,
28,334,2010-06,52.1,55.8,52.1,51.7,47.4,51.3,53.5,50.4,,51.3,49.4,50.6,50.0,
29,335,2013-04,50.6,52.6,51.7,48.6,43.6,47.7,51.0,48.7,,40.1,47.5,49.0,50.8,59.3
30,336,2013-05,50.8,53.3,51.8,49.4,44.9,48.6,51.5,50.3,,45.1,47.6,48.8,50.8,56.3
31,337,2013-06,50.1,52.0,50.4,47.7,42.9,48.2,49.5,47.9,,44.6,47.4,48.7,50.3,54.1
32,338,2013-07,50.3,52.4,50.6,49.0,44.7,47.3,50.0,48.4,,50.1,47.6,49.1,50.1,56.4
33,339,2013-01,50.4,51.3,51.6,48.5,44.4,47.4,53.2,49.1,,57.2,50.1,47.8,50.0,55.9
34,340,2013-02,50.1,51.2,50.1,47.3,44.4,46.6,50.2,48.1,,55.5,49.5,47.6,48.3,64.6
35,341,2013-03,50.9,52.7,52.3,50.9,47.1,50.2,51.9,48.9,,50.6,47.5,49.8,51.1,65.5
36,342,2010-12,53.9,57.5,55.4,53.5,50.7,48.7,56.8,50.4,,66.7,50.8,51.5,49.6,
37,343,2010-10,54.7,57.1,58.2,52.6,50.2,45.7,58.3,52.8,,69.9,49.5,52.1,49.3,
38,344,2016-10,51.2,53.3,52.8,49.2,45.8,46.9,52.4,49.9,55.5,62.6,48.1,48.8,50.2,58.2
39,345,2010-11,55.2,58.5,58.3,53.2,50.5,47.7,57.4,50.6,,73.5,49.7,52.0,48.9,
40,346,2015-06,50.2,52.9,50.1,48.2,44.6,47.7,50.9,48.0,,47.3,48.7,48.1,50.3,52.2
41,347,2015-07,50.0,52.4,49.9,47.9,44.0,47.4,50.3,47.8,,44.7,48.4,48.0,50.4,52.9
42,348,2015-04,50.1,52.6,50.2,48.1,43.8,48.0,50.1,47.8,,47.8,48.2,48.0,50.4,59.5
43,349,2015-05,50.2,52.9,50.6,48.9,44.7,47.5,51.0,47.6,,49.4,48.2,48.2,50.9,56.8
44,350,2015-02,49.9,51.4,50.4,48.5,43.8,47.0,49.4,47.5,,43.9,48.2,47.8,49.9,54.0
45,351,2015-01,49.8,51.7,50.2,48.4,44.0,48.0,49.6,46.4,,41.9,47.3,47.9,50.2,47.4
46,352,2014-12,50.1,52.2,50.4,49.1,43.8,47.8,50.1,47.8,,43.2,47.5,48.1,49.9,48.7
47,353,2014-10,50.8,53.1,51.6,49.9,44.7,47.9,50.7,47.9,,45.1,48.4,48.4,50.1,54.1
48,354,2014-11,50.3,52.5,50.9,48.4,43.9,47.2,50.5,47.3,,44.7,47.7,48.2,50.3,52.2
49,355,2010-04,55.7,59.1,59.3,54.5,53.4,46.2,60.1,53.1,,72.6,51.5,53.2,51.1,
50,356,2011-10,50.4,52.3,50.5,48.6,46.0,50.3,50.7,47.0,,46.2,48.5,49.7,50.7,
51,357,2015-08,49.7,51.7,49.7,47.7,44.6,47.2,49.4,47.2,,44.9,48.3,47.9,50.6,54.1
52,358,2011-12,50.3,53.4,49.8,48.6,46.6,50.6,50.9,49.1,,47.1,48.3,48.7,50.1,
53,359,2012-09,49.8,51.3,49.8,48.8,46.5,47.9,49.8,47.7,,51.0,47.0,48.9,49.5,
54,360,2012-08,49.2,50.9,48.7,46.6,45.1,48.2,48.8,47.0,,46.1,45.1,49.1,50.0,
55,361,2012-03,53.1,55.2,55.1,51.9,50.5,50.8,54.8,51.5,,55.9,49.5,51.0,48.9,
56,362,2012-02,51.0,53.8,51.0,51.1,49.4,50.5,53.6,50.8,,54.0,48.8,49.5,50.3,
57,363,2012-01,50.5,53.6,50.4,46.9,43.2,48.0,50.2,46.9,,50.0,49.7,47.1,49.7,
58,364,2012-07,50.1,51.8,49.0,46.6,41.9,48.0,46.8,45.0,,41.0,48.5,49.5,49.0,
59,365,2012-06,50.2,52.0,49.2,47.5,43.3,52.3,46.9,46.5,,41.2,48.2,49.7,49.1,
60,366,2012-05,50.4,52.9,49.8,50.4,43.6,52.2,50.8,48.1,,44.8,45.1,50.5,49.0,
61,367,2012-04,53.3,57.2,54.5,52.2,48.4,49.5,54.4,50.5,,54.8,48.5,51.0,49.6,
62,368,2016-07,49.9,52.1,50.4,49.0,45.5,46.8,50.5,49.3,50.0,54.6,47.3,48.2,50.5,55.8
63,369,2016-06,50.0,52.5,50.5,49.6,45.0,46.5,50.5,49.1,47.0,51.3,47.0,47.9,50.7,55.2
64,370,2016-05,50.1,52.3,50.7,50.0,45.1,46.8,51.2,49.6,49.7,55.3,47.6,48.2,50.4,55.1
65,371,2016-04,50.1,52.2,51.0,50.1,44.8,45.5,51.0,49.5,51.7,57.6,47.4,47.8,50.1,55.0
66,372,2016-03,50.2,52.3,51.4,50.2,45.7,46.0,52.6,50.1,50.9,55.3,48.2,48.1,51.3,54.8
67,373,2016-02,49.0,50.2,48.6,47.4,43.9,46.4,47.9,45.8,47.3,50.2,48.0,47.6,49.8,53.3
68,374,2016-01,49.4,51.4,49.5,46.9,43.4,44.6,49.0,46.4,,45.1,46.8,47.8,50.5,51.3
69,375,2010-05,53.9,58.2,54.8,53.8,49.7,49.8,56.0,50.9,,58.9,51.0,52.1,50.9,
70,376,2016-09,50.4,52.8,50.9,50.1,45.2,46.4,51.9,50.4,51.5,57.5,47.4,48.6,49.9,57.3
71,377,2016-08,50.4,52.6,51.3,49.7,45.0,46.6,52.6,49.5,52.0,57.2,47.6,48.4,50.6,56.4
72,378,2011-08,50.9,52.3,51.1,48.3,47.6,48.9,51.2,49.7,,57.2,48.8,50.4,49.9,
73,379,2011-09,51.2,52.7,51.3,50.9,48.9,49.9,51.5,50.1,,56.6,49.0,51.0,49.5,
