,id,stat_month,m2,m1,m0,m2_yoy,m1_yoy,m0_yoy
0,1,2017-11,1670013.4,535565.05,68623.16,9.1,12.7,5.7
1,2,2017-10,1653434.16,525977.19,68230.69,8.8,13.0,6.3
2,3,2017-09,1655662.07,517863.04,69748.54,9.2,14.0,7.2
3,4,2017-08,1645156.6,518113.93,67550.99,8.9,14.0,6.5
4,5,2017-07,1628996.63,510484.58,67129.04,9.2,15.3,6.1
5,6,2017-06,1631282.53,510228.17,66977.68,9.4,15.0,6.6
6,7,2017-05,1601360.42,496389.78,67333.21,9.6,17.0,7.3
7,8,2017-04,1596331.87,490180.42,68392.6,10.5,18.5,6.2
8,9,2017-03,1599609.57,488770.09,68605.05,10.6,18.8,6.1
9,10,2017-02,1582913.07,476527.6,71727.69,11.1,21.4,3.3
10,11,2017-01,1575945.59,472526.45,86598.61,11.3,14.5,19.4
11,12,2016-12,1550066.67,486557.24,68303.87,11.3,21.4,8.1
12,13,2016-11,1530432.06,475405.54,64903.5,11.4,22.7,7.6
13,14,2016-10,1519485.4,465446.65,64214.93,11.6,23.9,7.2
14,15,2016-09,1516360.5,454340.25,65068.62,11.5,24.7,6.6
15,16,2016-08,1510982.91,454543.6,63454.7,11.4,25.3,7.4
16,17,2016-07,1491558.72,442934.43,63276.01,10.2,25.4,7.2
17,18,2016-06,1490491.83,443643.7,62818.89,11.8,24.6,7.2
18,19,2016-05,1461695.11,424250.7,62780.71,11.8,23.7,6.3
19,20,2016-04,1445209.59,413504.84,64403.17,12.8,22.9,6.0
20,21,2003-12,219226.81,84118.81,19746.23,19.6,18.7,14.3
21,22,2003-10,212505.4,80267.37,18250.94,21.0,19.6,14.0
22,23,2003-11,214358.84,80815.22,18439.85,20.4,18.9,12.8
23,24,2014-09,1202051.41,327220.21,58844.99,12.9,4.8,4.2
24,25,2014-08,1197499.08,332023.23,57997.61,12.8,5.7,5.6
25,26,2014-05,1182293.96,327839.56,58051.11,13.4,5.7,6.7
26,27,2014-04,1168812.67,324482.52,58615.54,13.2,5.5,5.4
27,28,2014-07,1194249.24,331347.32,57346.5,13.5,6.7,5.4
28,29,2014-06,1209587.2,341487.45,56951.05,14.7,8.9,5.3
29,30,2014-01,1123521.21,314900.55,76488.6,13.2,1.2,22.5
30,31,2001-11,154088.3,56579.6,14780.0,17.6,11.4,6.5
31,32,2014-03,1160687.38,327683.74,58329.3,12.1,5.4,5.2
32,33,2014-02,1131760.83,316625.11,62320.95,13.3,6.9,3.3
