,id,stat_year,social_finance_scale,rmb_loan,foreign_loan,entrust_loan,trust_loan,out_fulfilled_scale,corporate_bond_scale,non_finance_scale
0,1,2006,42696.0,31523.0,1459.0,2695.0,825.0,1500.0,2310.0,1536.0
1,2,2007,59663.0,36323.0,3864.0,3371.0,1702.0,6701.0,2284.0,4333.0
2,3,2015,154063.0,112693.0,-6427.0,15911.0,434.0,-10567.0,29388.0,7590.0
3,4,2014,158761.0,97452.0,1235.0,21740.0,5174.0,-1198.0,24329.0,4350.0
4,5,2008,69802.0,49041.0,1947.0,4262.0,3144.0,1064.0,5523.0,3324.0
5,6,2009,139104.0,95942.0,9265.0,6780.0,4364.0,4606.0,12367.0,3350.0
6,7,2011,128286.0,74715.0,5712.0,12962.0,2034.0,10271.0,13658.0,4377.0
7,8,2010,140191.0,79451.0,4855.0,8748.0,3865.0,23346.0,11063.0,5786.0
8,9,2013,173169.0,88916.0,5848.0,25466.0,18404.0,7756.0,18111.0,2219.0
9,10,2012,157631.0,82038.0,9163.0,12838.0,12845.0,10499.0,22551.0,2508.0
10,11,2002,20112.0,18475.0,731.0,175.0,,-695.0,367.0,628.0
11,12,2003,34113.0,27652.0,2285.0,601.0,,2010.0,499.0,559.0
12,13,2004,28629.0,22673.0,1381.0,3118.0,,-290.0,467.0,673.0
13,14,2005,30008.0,23544.0,1415.0,1961.0,,24.0,2010.0,339.0
14,15,2016,177999.0,124372.0,-5640.0,21854.0,8593.0,-19514.0,29865.0,12416.0
15,16,2017,261536.0,138432.0,18.0,7994.0,22232.0,5364.0,6244.0,8759.0
16,18,2018,224920.0,156712.0,-4201.0,-16062.0,-6975.0,-6343.0,26318.0,3606.0
17,28,2019,256735.0,168835.0,-1275.0,-9396.0,-3467.0,-4757.0,33384.0,3479.0
18,42,2020,347917.0,200310.0,1450.0,-3954.0,-11020.0,1746.0,43748.0,8923.0
19,43,2021,313407.0,199403.0,1715.0,-1696.0,-20074.0,-4916.0,32866.0,12133.0
