,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
0,0,2009-11,168634.2,32.1,26.8,9.6,15.5,17.6,10.3,13.7,11.8,269012.69,40.4,19.8,56.62,-15.9,24.4,144.19,100.8,43.2,1279.94,1,2010-01-29,3190.32,3204.16,3249.45,3176.92,5026261300.0,68018118702.0,0.0241904274443225,-0.0426944971537001,-0.1046483321681813,-0.0398388345151302,-2.08
1,1,2009-12,194138.62,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,292149.85,3.3,18.4,58.05,-13.6,43.1,153.75,130.5,47.8,1382.68,2,2010-02-26,3286.09,3281.67,3301.15,3273.69,5210728800.0,70171666128.0,0.0194839822407493,-0.1549241697062775,-0.1153315232793059,-0.0128318813287138,1.7
2,2,2010-01,194138.62,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,16471.71,24.43,24.43,4.55,39.62,39.62,162.49,144.3,144.3,162.49,3,2010-03-31,3369.19,3345.61,3369.9,3338.74,5312428700.0,72120886278.0,-0.0831686897157768,-0.2339005442953601,-0.1225606092760362,-0.0365613445679562,4.32
3,3,2010-02,13014.03,26.6,23.6,19.6,10.5,13.8,22.3,11.0,19.6,34148.4,13.9,18.8,8.7,33.8,15.2,122.6,46.7,89.7,285.0,4,2010-04-30,3060.12,3067.36,3068.13,3014.07,5447788100.0,73190884013.0,-0.0958804965833811,-0.0647168900944135,0.101918261958166,0.0408690209170099,5.39
4,4,2010-03,29792.68,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,57437.1,12.1,15.2,14.2,23.5,18.2,174.8,51.5,73.2,458.9,5,2010-05-31,2835.33,2773.26,2857.42,2772.79,4621685400.0,56695803642.0,-0.0757916675681328,0.0468509984639016,0.1311561123010463,0.0823218883191621,5.91
5,5,2010-04,46742.75,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,80419.6,8.5,13.2,20.5,22.8,31.1,159.8,34.6,61.9,621.6,6,2010-06-30,2572.91,2563.07,2575.82,2546.84,3569879400.0,35809892277.0,0.1193022430132613,0.1453335258108439,0.2205129005450494,0.1876733760685427,6.81
6,6,2010-05,67358.3,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,105002.1,26.4,16.2,27.3,28.2,31.9,145.8,26.6,53.6,767.1,7,2010-07-30,2871.48,2868.85,2876.14,2844.68,6257559100.0,65224482367.0,0.0119699531171026,0.1781654669989718,0.0723844049009185,0.0359830594140508,7.13
7,7,2010-06,98047.38,25.5,24.9,18.8,16.2,19.7,21.4,19.4,20.6,135834.3,11.3,16.0,33.8,25.7,32.0,142.6,18.4,46.6,908.4,8,2010-08-31,2905.15,2903.19,2910.06,2889.81,6576610400.0,79976347302.0,0.0111532486678447,0.0805321043403979,0.1158622067449943,-0.0194303507521036,6.41
8,8,2010-07,119866.25,24.9,25.1,18.8,17.4,21.0,21.5,20.6,20.4,165219.7,12.4,15.3,40.5,29.0,34.0,134.2,17.1,42.3,1044.7,9,2010-09-30,2859.06,2935.57,2935.59,2857.42,6300024700.0,80709727516.0,0.1513879757593925,0.0656397224389131,0.098011629768665,-0.12066481126323,4.84
9,9,2010-08,140997.74,24.8,24.9,18.9,19.3,20.1,21.4,22.1,20.9,195818.2,20.6,16.1,47.6,32.2,58.1,133.1,13.1,38.4,1184.7,10,2010-10-29,3400.26,3379.98,3404.6,3351.6,10045897000.0,145528365885.0,-0.0718909579346623,-0.0897845549381948,-0.0554026946905011,-0.2025662873744815,4.32
