,index,JYR,RV,garch,gjrgarch,RV_s1,garch_s1,gjrgarch_s1,RV_s2,garch_s2,gjrgarch_s2,date_x,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,ppi_yoy,lstm,date
0,0,2021-02-01,0.0001583736800210971,1.2202675499062723e-05,0.00022469928229785726,0.00016388865045822206,-4.7163460562499107e-07,0.00023899230942094163,0.0001249694885953085,7.38802615481258e-05,0.0002668735542265129,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.000136769,2021-02-01
1,1,2021-02-02,4.711199269342746e-05,2.0680940002519743e-05,0.00021983873082606522,0.0001583736800210971,1.2202675499062723e-05,0.00022469928229785726,0.00016388865045822206,-4.7163460562499107e-07,0.00023899230942094163,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013663995,2021-02-02
2,2,2021-02-03,9.995246631427602e-05,-1.8424532903379241e-06,0.00019577434946668922,4.711199269342746e-05,2.0680940002519743e-05,0.00021983873082606522,0.0001583736800210971,1.2202675499062723e-05,0.00022469928229785726,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.0001368379,2021-02-03
3,3,2021-02-04,0.00015091665258194664,-2.258083405658791e-06,0.00017409023271053688,9.995246631427602e-05,-1.8424532903379241e-06,0.00019577434946668922,4.711199269342746e-05,2.0680940002519743e-05,0.00021983873082606522,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013680647,2021-02-04
4,4,2021-02-05,0.00010632725121369652,-2.3814483926317442e-06,0.00015474859134750183,0.00015091665258194664,-2.258083405658791e-06,0.00017409023271053688,9.995246631427602e-05,-1.8424532903379241e-06,0.00019577434946668922,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013654104,2021-02-05
5,5,2021-02-08,7.538336555158386e-05,1.890220622061642e-05,0.0001570205769975466,0.00010632725121369652,-2.3814483926317442e-06,0.00015474859134750183,0.00015091665258194664,-2.258083405658791e-06,0.00017409023271053688,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013662968,2021-02-08
6,6,2021-02-09,6.546282786993843e-05,4.411965974038662e-05,0.00018175465561117256,7.538336555158386e-05,1.890220622061642e-05,0.0001570205769975466,0.00010632725121369652,-2.3814483926317442e-06,0.00015474859134750183,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013674222,2021-02-09
7,7,2021-02-10,7.672405101803355e-05,4.199975803218412e-05,0.0002014860349813036,6.546282786993843e-05,4.411965974038662e-05,0.00018175465561117256,7.538336555158386e-05,1.890220622061642e-05,0.0001570205769975466,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013676481,2021-02-10
8,8,2021-02-18,0.00016705144269163464,1.941585639338204e-06,0.00018541089701799875,7.672405101803355e-05,4.199975803218412e-05,0.0002014860349813036,6.546282786993843e-05,4.411965974038662e-05,0.00018175465561117256,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013671053,2021-02-18
9,9,2021-02-19,0.0001750675991097285,-2.3513739040720603e-06,0.00016468243292669713,0.00016705144269163464,1.941585639338204e-06,0.00018541089701799875,7.672405101803355e-05,4.199975803218412e-05,0.0002014860349813036,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.0001365496,2021-02-19
10,10,2021-02-22,0.0002410424068218291,9.916609894462125e-05,0.00029962651233733314,0.0001750675991097285,-2.3513739040720603e-06,0.00016468243292669713,0.00016705144269163464,1.941585639338204e-06,0.00018541089701799875,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013690407,2021-02-22
11,11,2021-02-23,0.0001625539040671555,-1.6723460418810505e-06,0.00026584035271621777,0.0002410424068218291,9.916609894462125e-05,0.00029962651233733314,0.0001750675991097285,-2.3513739040720603e-06,0.00016468243292669713,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013603625,2021-02-23
12,12,2021-02-24,0.0003322994915436757,6.387080637121063e-05,0.00033499510095054007,0.0001625539040671555,-1.6723460418810505e-06,0.00026584035271621777,0.0002410424068218291,9.916609894462125e-05,0.00029962651233733314,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013707408,2021-02-24
13,13,2021-02-25,0.00016667442985246857,7.648735571905454e-07,0.0002983911898624329,0.0003322994915436757,6.387080637121063e-05,0.00033499510095054007,0.0001625539040671555,-1.6723460418810505e-06,0.00026584035271621777,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,0.00013612132,2021-02-25
