指标名称,中国:银行间同业拆借加权利率:7天,中国:CPI:当月同比,中国:CPI:环比,中国:消费者信心指数,中国:PPI:当月同比
频率,日,月,月,月,月
单位,%,%,%,,%
指标ID,M0041664,M0000612,M0000705,M0012303,M0001227
来源,中国货币网,国家统计局,国家统计局,国家统计局,国家统计局
2025/10/11,1.4179,,,,
2025/10/10,1.5011,,,,
2025/10/9,1.5282,,,,
2025/9/30,1.4781,,,,
2025/9/29,1.6494,,,,
2025/9/28,1.6334,,,,
2025/9/26,1.565,,,,
2025/9/25,1.6519,,,,
2025/9/24,1.5947,,,,
2025/9/23,1.5163,,,,
2025/9/22,1.5245,,,,
2025/9/19,1.5396,,,,
2025/9/18,1.5574,,,,
2025/9/17,1.5485,,,,
2025/9/16,1.512,,,,
2025/9/15,1.5229,,,,
2025/9/12,1.4968,,,,
2025/9/11,1.4956,,,,
2025/9/10,1.4889,,,,
2025/9/9,1.5075,,,,
2025/9/8,1.4931,,,,
2025/9/5,1.468,,,,
2025/9/4,1.4737,,,,
2025/9/3,1.4577,,,,
2025/9/2,1.4675,,,,
2025/9/1,1.4954,,,,
2025/8/31,,-0.4,0,89.2,-2.9
2025/8/29,1.32,,,,
2025/8/28,1.3534,,,,
2025/8/27,1.3519,,,,
2025/8/26,1.357,,,,
2025/8/25,1.3745,,,,
2025/8/22,1.4979,,,,
2025/8/21,1.5404,,,,
2025/8/20,1.5853,,,,
2025/8/19,1.5675,,,,
2025/8/18,1.5152,,,,
2025/8/15,1.5202,,,,
2025/8/14,1.4668,,,,
2025/8/13,1.4681,,,,
2025/8/12,1.4713,,,,
2025/8/11,1.467,,,,
2025/8/8,1.495,,,,
2025/8/7,1.4783,,,,
2025/8/6,1.4751,,,,
2025/8/5,1.4803,,,,
2025/8/4,1.4872,,,,
2025/8/1,1.5205,,,,
2025/7/31,1.2885,0,0.4,89,-3.6
2025/7/30,1.4316,,,,
2025/7/29,1.5048,,,,
2025/7/28,1.5472,,,,
2025/7/25,1.4721,,,,
2025/7/24,1.5997,,,,
2025/7/23,1.5155,,,,
2025/7/22,1.5278,,,,
2025/7/21,1.5299,,,,
2025/7/18,1.537,,,,
2025/7/17,1.5632,,,,
2025/7/16,1.5638,,,,
2025/7/15,1.6209,,,,
2025/7/14,1.5674,,,,
2025/7/11,1.528,,,,
2025/7/10,1.522,,,,
2025/7/9,1.5174,,,,
2025/7/8,1.5248,,,,
2025/7/7,1.5167,,,,
2025/7/4,1.4884,,,,
2025/7/3,1.526,,,,
2025/7/2,1.5576,,,,
2025/7/1,1.6044,,,,
2025/6/30,1.8054,0.1,-0.1,87.9,-3.6
2025/6/27,1.6951,,,,
2025/6/26,1.7359,,,,
2025/6/25,1.6432,,,,
2025/6/24,1.5925,,,,
2025/6/23,1.5617,,,,
2025/6/20,1.6114,,,,
2025/6/19,1.5797,,,,
2025/6/18,1.5614,,,,
2025/6/17,1.5678,,,,
2025/6/16,1.584,,,,
2025/6/13,1.5859,,,,
2025/6/12,1.5659,,,,
2025/6/11,1.5587,,,,
2025/6/10,1.5594,,,,
2025/6/9,1.5506,,,,
2025/6/6,1.571,,,,
2025/6/5,1.5814,,,,
2025/6/4,1.5974,,,,
2025/6/3,1.5893,,,,
2025/5/31,,-0.1,-0.2,88,-3.3
2025/5/30,1.5844,,,,
2025/5/29,1.5211,,,,
2025/5/28,1.5735,,,,
2025/5/27,1.518,,,,
2025/5/26,1.4566,,,,
2025/5/23,1.613,,,,
2025/5/22,1.577,,,,
2025/5/21,1.6112,,,,
2025/5/20,1.6277,,,,
2025/5/19,1.6311,,,,
2025/5/16,1.6098,,,,
2025/5/15,1.5496,,,,
2025/5/14,1.5648,,,,
2025/5/13,1.5543,,,,
2025/5/12,1.5585,,,,
2025/5/9,1.5979,,,,
2025/5/8,1.6658,,,,
2025/5/7,1.7312,,,,
2025/5/6,1.7735,,,,
2025/4/30,1.7389,-0.1,0.1,87.8,-2.7
2025/4/29,1.6874,,,,
2025/4/28,1.6215,,,,
2025/4/27,1.7893,,,,
2025/4/25,1.615,,,,
2025/4/24,1.6115,,,,
2025/4/23,1.7207,,,,
2025/4/22,1.7824,,,,
2025/4/21,1.777,,,,
2025/4/18,1.7462,,,,
2025/4/17,1.7368,,,,
2025/4/16,1.7764,,,,
2025/4/15,1.8015,,,,
2025/4/14,1.7701,,,,
2025/4/11,1.7146,,,,
2025/4/10,1.7668,,,,
2025/4/9,1.8096,,,,
2025/4/8,1.8819,,,,
2025/4/7,1.8035,,,,
2025/4/3,1.774,,,,
2025/4/2,1.89,,,,
2025/4/1,1.9811,,,,
2025/3/31,2.1422,-0.1,-0.4,87.5,-2.5
2025/3/28,2.0163,,,,
2025/3/27,2.1066,,,,
2025/3/26,1.9626,,,,
2025/3/25,1.8989,,,,
2025/3/24,1.8502,,,,
2025/3/21,1.8658,,,,
2025/3/20,1.9035,,,,
2025/3/19,1.9742,,,,
2025/3/18,2.0817,,,,
2025/3/17,1.9407,,,,
2025/3/14,1.8643,,,,
2025/3/13,1.858,,,,
2025/3/12,1.8513,,,,
2025/3/11,1.9748,,,,
2025/3/10,1.8839,,,,
2025/3/7,1.8476,,,,
2025/3/6,1.8249,,,,
2025/3/5,1.8222,,,,
2025/3/4,1.9034,,,,
2025/3/3,1.9427,,,,
2025/2/28,1.7382,-0.7,-0.2,88.4,-2.2
2025/2/27,1.862,,,,
2025/2/26,1.9721,,,,
2025/2/25,2.0702,,,,
2025/2/24,1.9183,,,,
2025/2/21,2.2158,,,,
2025/2/20,2.1238,,,,
2025/2/19,2.0765,,,,
2025/2/18,2.4783,,,,
2025/2/17,2.0857,,,,
2025/2/14,1.9962,,,,
2025/2/13,1.8648,,,,
2025/2/12,1.9481,,,,
2025/2/11,2.026,,,,
2025/2/10,1.8225,,,,
2025/2/8,1.7155,,,,
2025/2/7,1.851,,,,
2025/2/6,1.926,,,,
2025/2/5,2.0281,,,,
2025/1/31,,0.5,0.7,87.5,-2.3
2025/1/27,1.9557,,,,
2025/1/26,2.1061,,,,
2025/1/24,2.72,,,,
2025/1/23,2.3803,,,,
2025/1/22,2.3689,,,,
2025/1/21,2.3683,,,,
2025/1/20,2.3267,,,,
