,date,year,weekly,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比
0,2019-12-05,2019,50,88.38,56.02,,,,,0.0,38922.0,,,,,,88.38,,
1,2019-12-12,2019,51,83.61,54.57,,,,,37796.0,31568.0,,,,,,83.61,,
2,2019-12-19,2019,52,81.81,54.21,,,,,84816.0,77498.0,,,,,,81.81,,
3,2019-12-26,2019,53,81.44,53.39,,,,,91826.0,83368.0,,,,,,81.44,,
4,2020-01-02,2020,54,80.1,55.93,,,,,40967.0,34862.0,,,,,,80.1,,
5,2020-01-09,2020,55,83.23,58.3,,,,,38613.0,33327.0,,,,,,83.23,,
6,2020-01-16,2020,56,82.61,57.86,,,,,42792.0,37522.0,,,,,,82.61,,
7,2020-01-23,2020,57,77.72,54.44,,,,,38081.0,33031.0,,,,,,77.72,,
8,2020-01-30,2020,58,79.08,55.39,,,,,,,,7138.916561,7138.916561,-12.697643,-30.058793,79.08,,
9,2020-02-06,2020,59,75.59,52.95,,,,,21822.0,18012.0,,,,,,75.59,,
10,2020-02-13,2020,60,68.82,48.21,,,,,24362.0,20067.0,,,,,,68.82,,
11,2020-02-20,2020,61,70.68,49.5,,,,,25966.0,21231.0,,,,,,70.68,,
12,2020-02-27,2020,62,73.44,51.44,430.9,-3.4,,,28504.0,23054.0,,1979.522028,4357.603914,-24.453174,-28.842179,73.44,-13.0,
13,2020-03-05,2020,63,75.61,52.96,,,,,30083.0,24188.0,,,,,,75.61,,
14,2020-03-12,2020,64,80.31,56.42,,,,,34830.0,28458.0,,,,,,80.31,,
15,2020-03-19,2020,65,79.91,56.14,,,,,34374.0,26933.0,,,,,,79.91,,
16,2020-03-26,2020,66,80.83,56.61,,,,,25078.0,17809.0,,,,,,80.83,,
17,2020-04-02,2020,67,81.91,57.37,660.4,-2.0,230.5,-1.8,22796.0,15509.0,,4550.510867,4422.020362,12.462433,134.961645,81.91,-7.2,-3.6
18,2020-04-09,2020,68,82.48,57.77,,,,,20948.0,14424.0,,,,,,82.48,,
19,2020-04-16,2020,69,77.69,54.57,,,,,24562.0,14757.0,,,,,,77.69,,
20,2020-04-23,2020,70,77.39,54.37,,,,,34590.0,22265.0,,,,,,77.39,,
21,2020-04-30,2020,71,77.3,54.31,896.5,-1.6,235.4,-0.9,24603.0,18012.0,,75188.542829,8034.919292,-14.277697,-29.67736,77.3,-6.1,-3.2
22,2020-05-08,2020,72,73.14,51.39,,,,,23339.0,18331.0,,,,,,73.14,,
23,2020-05-14,2020,73,69.96,49.15,,,,,42538.0,36782.0,,,,,,69.96,,
24,2020-05-21,2020,74,69.19,48.61,,,,,50859.0,45394.0,,,,,,69.19,,
25,2020-05-28,2020,75,66.28,46.56,1118.5,-3.3,216.7,-11.0,58700.0,53466.0,,1245.44545,4708.879188,-29.00385,-29.848617,66.28,-5.8,-4.6
26,2020-06-04,2020,76,62.85,44.15,,,,,72089.0,65972.0,,,,,,62.85,,
27,2020-06-12,2020,77,62.1,43.63,,,,,76179.0,68469.0,,,,,,62.1,,
28,2020-06-18,2020,78,68.99,48.47,,,,,84671.0,75135.0,,,,,,68.99,,
29,2020-06-24,2020,79,72.26,50.77,,,,,85350.0,75951.0,,,,,,72.26,,
