代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),结算价,成交额(百万),成交量,持仓量
SA309.CZC,纯碱2309,2019-12-06,1566,1606,1552,1584,1587,558.68,17602,6054
SA309.CZC,纯碱2309,2019-12-13,1585,1689,1580,1640,1641,767.33,23390,5372
SA309.CZC,纯碱2309,2019-12-20,1644,1670,1630,1644,1648,546.11,16538,8050
SA309.CZC,纯碱2309,2019-12-27,1642,1669,1636,1653,1660,281.84,8546,10174
SA309.CZC,纯碱2309,2020-01-03,1655,1702,1651,1689,1685,270.76,8034,5375
SA309.CZC,纯碱2309,2020-01-10,1693,1714,1674,1699,1701,218.7,6469,4852
SA309.CZC,纯碱2309,2020-01-17,1697,1723,1685,1706,1705,166.7,4894,4919
SA309.CZC,纯碱2309,2020-01-23,1700,1700,1634,1648,1654,103.71,3098,3983
SA309.CZC,纯碱2309,2020-02-07,1542,1643,1542,1615,1616,122.09,3839,3907
SA309.CZC,纯碱2309,2020-02-14,1609,1628,1606,1626,1623,72.82,2246,4213
SA309.CZC,纯碱2309,2020-02-21,1630,1650,1625,1638,1636,65.73,2009,4637
SA309.CZC,纯碱2309,2020-02-28,1630,1677,1610,1630,1634,118.5,3585,4977
SA309.CZC,纯碱2309,2020-03-06,1627,1658,1621,1630,1630,94.19,2871,4831
SA309.CZC,纯碱2309,2020-03-13,1577,1669,1577,1606,1608,163.37,5060,5143
SA309.CZC,纯碱2309,2020-03-20,1610,1615,1502,1517,1515,265.8,8553,6612
SA309.CZC,纯碱2309,2020-03-27,1510,1513,1476,1477,1482,228.65,7647,5145
SA309.CZC,纯碱2309,2020-04-03,1470,1470,1431,1445,1449,271.06,9345,4859
SA309.CZC,纯碱2309,2020-04-10,1453,1491,1453,1476,1480,456.68,15488,7425
SA309.CZC,纯碱2309,2020-04-17,1479,1559,1404,1472,1470,3985.56,134303,17901
SA309.CZC,纯碱2309,2020-04-24,1465,1518,1448,1479,1478,5485.74,184872,16657
SA309.CZC,纯碱2309,2020-04-30,1473,1491,1435,1447,1444,2493.45,85379,17090
SA309.CZC,纯碱2309,2020-05-08,1454,1468,1436,1439,1447,2032.08,69992,25143
SA309.CZC,纯碱2309,2020-05-15,1442,1447,1398,1435,1435,9386.18,328589,43365
SA309.CZC,纯碱2309,2020-05-22,1433,1461,1419,1422,1432,6728.43,233036,45729
SA309.CZC,纯碱2309,2020-05-29,1423,1487,1408,1476,1477,16998.84,582704,63420
SA309.CZC,纯碱2309,2020-06-05,1478,1490,1456,1470,1468,8768.77,297509,67928
SA309.CZC,纯碱2309,2020-06-12,1473,1478,1422,1436,1437,9528.35,330286,78201
SA309.CZC,纯碱2309,2020-06-19,1438,1455,1428,1440,1434,6747.2,234210,74033
SA309.CZC,纯碱2309,2020-06-24,1441,1445,1396,1401,1413,4616.48,162310,88835
SA309.CZC,纯碱2309,2020-07-03,1396,1407,1358,1375,1374,11734.62,426013,136119
