,代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),结算价,成交额(百万),成交量,持仓量,date_x,week,weekly,year_x,month_x,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y
0,SA309.CZC,纯碱2309,2019-12-06,1566,1606,1552,1584,1587,558.68,17602,6054,2019-12-06,49,49,2019,12,12,,,,,,,,,,,,,,,,,,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019,11
1,SA309.CZC,纯碱2309,2019-12-13,1585,1689,1580,1640,1641,767.33,23390,5372,2019-12-13,50,50,2019,12,12,2019-12-05,88.38,56.02,,,,,0.0,38922.0,,,,,,88.38,,,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019,11
2,SA309.CZC,纯碱2309,2019-12-20,1644,1670,1630,1644,1648,546.11,16538,8050,2019-12-20,51,51,2019,12,12,2019-12-12,83.61,54.57,,,,,37796.0,31568.0,,,,,,83.61,,,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019,11
3,SA309.CZC,纯碱2309,2019-12-27,1642,1669,1636,1653,1660,281.84,8546,10174,2019-12-27,52,52,2019,12,12,2019-12-19,81.81,54.21,,,,,84816.0,77498.0,,,,,,81.81,,,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019,11
4,SA309.CZC,纯碱2309,2020-01-03,1655,1702,1651,1689,1685,270.76,8034,5375,2020-01-03,1,53,2020,1,13,,,,,,,,,,,,,,,,,,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019,12
5,SA309.CZC,纯碱2309,2020-01-10,1693,1714,1674,1699,1701,218.7,6469,4852,2020-01-10,2,54,2020,1,13,2020-01-02,80.1,55.93,,,,,40967.0,34862.0,,,,,,80.1,,,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019,12
6,SA309.CZC,纯碱2309,2020-01-17,1697,1723,1685,1706,1705,166.7,4894,4919,2020-01-17,3,55,2020,1,13,2020-01-09,83.23,58.3,,,,,38613.0,33327.0,,,,,,83.23,,,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019,12
7,SA309.CZC,纯碱2309,2020-01-23,1700,1700,1634,1648,1654,103.71,3098,3983,2020-01-23,4,56,2020,1,13,2020-01-16,82.61,57.86,,,,,42792.0,37522.0,,,,,,82.61,,,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019,12
8,SA309.CZC,纯碱2309,2020-02-07,1542,1643,1542,1615,1616,122.09,3839,3907,2020-02-07,6,58,2020,2,14,2020-01-30,79.08,55.39,,,,,,,,7138.916561,7138.916561,-12.697643,-30.058793,79.08,,,2020-01,,,,,,,,,,,,,,,0.1,0.1,2020,1
9,SA309.CZC,纯碱2309,2020-02-14,1609,1628,1606,1626,1623,72.82,2246,4213,2020-02-14,7,59,2020,2,14,2020-02-06,75.59,52.95,,,,,21822.0,18012.0,,,,,,75.59,,,2020-01,,,,,,,,,,,,,,,0.1,0.1,2020,1
10,SA309.CZC,纯碱2309,2020-02-21,1630,1650,1625,1638,1636,65.73,2009,4637,2020-02-21,8,60,2020,2,14,2020-02-13,68.82,48.21,,,,,24362.0,20067.0,,,,,,68.82,,,2020-01,,,,,,,,,,,,,,,0.1,0.1,2020,1
11,SA309.CZC,纯碱2309,2020-02-28,1630,1677,1610,1630,1634,118.5,3585,4977,2020-02-28,9,61,2020,2,14,2020-02-20,70.68,49.5,,,,,25966.0,21231.0,,,,,,70.68,,,2020-01,,,,,,,,,,,,,,,0.1,0.1,2020,1
12,SA309.CZC,纯碱2309,2020-03-06,1627,1658,1621,1630,1630,94.19,2871,4831,2020-03-06,10,62,2020,3,15,2020-02-27,73.44,51.44,430.9,-3.4,,,28504.0,23054.0,,1979.522028,4357.603914,-24.453174,-28.842179,73.44,-13.0,,2020-02,-24.5,-31.5,-26.9,,,-28.2,,-24.4,,-31.5,-44.6,,,-45.8,-0.4,-0.2,2020,2
13,SA309.CZC,纯碱2309,2020-03-13,1577,1669,1577,1606,1608,163.37,5060,5143,2020-03-13,11,63,2020,3,15,2020-03-05,75.61,52.96,,,,,30083.0,24188.0,,,,,,75.61,,,2020-02,-24.5,-31.5,-26.9,,,-28.2,,-24.4,,-31.5,-44.6,,,-45.8,-0.4,-0.2,2020,2
14,SA309.CZC,纯碱2309,2020-03-20,1610,1615,1502,1517,1515,265.8,8553,6612,2020-03-20,12,64,2020,3,15,2020-03-12,80.31,56.42,,,,,34830.0,28458.0,,,,,,80.31,,,2020-02,-24.5,-31.5,-26.9,,,-28.2,,-24.4,,-31.5,-44.6,,,-45.8,-0.4,-0.2,2020,2
15,SA309.CZC,纯碱2309,2020-03-27,1510,1513,1476,1477,1482,228.65,7647,5145,2020-03-27,13,65,2020,3,15,2020-03-19,79.91,56.14,,,,,34374.0,26933.0,,,,,,79.91,,,2020-02,-24.5,-31.5,-26.9,,,-28.2,,-24.4,,-31.5,-44.6,,,-45.8,-0.4,-0.2,2020,2
16,SA309.CZC,纯碱2309,2020-04-03,1470,1470,1431,1445,1449,271.06,9345,4859,2020-04-03,14,66,2020,4,16,2020-03-26,80.83,56.61,,,,,25078.0,17809.0,,,,,,80.83,,,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020,3
17,SA309.CZC,纯碱2309,2020-04-10,1453,1491,1453,1476,1480,456.68,15488,7425,2020-04-10,15,67,2020,4,16,2020-04-02,81.91,57.37,660.4,-2.0,230.5,-1.8,22796.0,15509.0,,4550.510867,4422.020362,12.462433,134.961645,81.91,-7.2,-3.6,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020,3
18,SA309.CZC,纯碱2309,2020-04-17,1479,1559,1404,1472,1470,3985.56,134303,17901,2020-04-17,16,68,2020,4,16,2020-04-09,82.48,57.77,,,,,20948.0,14424.0,,,,,,82.48,,,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020,3
19,SA309.CZC,纯碱2309,2020-04-24,1465,1518,1448,1479,1478,5485.74,184872,16657,2020-04-24,17,69,2020,4,16,2020-04-16,77.69,54.57,,,,,24562.0,14757.0,,,,,,77.69,,,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020,3
20,SA309.CZC,纯碱2309,2020-04-30,1473,1491,1435,1447,1444,2493.45,85379,17090,2020-04-30,18,70,2020,4,16,2020-04-23,77.39,54.37,,,,,34590.0,22265.0,,,,,,77.39,,,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020,3
