,Unnamed: 0,date_x,open,close,high,low,volume,money,factor,open_interest,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y
0,0,2022-12-16,2130.0,2234.0,2258.0,2130.0,4805.0,212273360.0,1.0,1510.0,SA2312.XZCE,2022,12,50,206,48,2022-12-08,90.67,60.58,,,,,1259380.0,601046.0,,,,,,90.67,,,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0
1,1,2022-12-23,2231.0,2172.0,2232.0,2141.0,10292.0,451536860.0,1.0,2691.0,SA2312.XZCE,2022,12,51,207,48,2022-12-15,90.87,60.71,,,,,1264341.0,688326.0,,,,,,90.87,,,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0
2,2,2022-12-30,2176.0,2229.0,2237.0,2163.0,11232.0,497084200.0,1.0,3971.0,SA2312.XZCE,2022,12,52,208,48,2022-12-22,89.78,59.99,,,,,1236148.0,725577.0,,,,,,89.78,,,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0
3,3,2023-01-06,2232.0,2236.0,2245.0,2192.0,9007.0,401160740.0,1.0,5880.0,SA2312.XZCE,2023,1,1,209,49,,,,,,,,,,,,,,,,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0
4,4,2023-01-13,2233.0,2160.0,2242.0,2110.0,18769.0,810636000.0,1.0,9099.0,SA2312.XZCE,2023,1,2,210,49,2023-01-05,92.29,61.67,,,,,1131888.0,743632.0,,,,,,92.29,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0
5,5,2023-01-20,2156.0,2287.0,2296.0,2146.0,28111.0,1251361160.0,1.0,7750.0,SA2312.XZCE,2023,1,3,211,49,2023-01-12,91.14,60.9,,,,,1273272.0,837268.0,,,,,,91.14,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0
6,6,2023-02-03,2296.0,2277.0,2315.0,2242.0,13448.0,613099680.0,1.0,6974.0,SA2312.XZCE,2023,2,5,213,50,,,,,,,,,,,,,,,,,,2023-01,,,,,,,,,,,,,,,-0.8,-0.8,2023.0,1.0
7,7,2023-02-10,2282.0,2268.0,2305.0,2228.0,8680.0,393335320.0,1.0,7005.0,SA2312.XZCE,2023,2,6,214,50,2023-02-02,91.72,61.29,,,,,1260996.0,794542.0,,-86.413896,-86.413896,89.862257,-18.179657,91.72,,,2023-01,,,,,,,,,,,,,,,-0.8,-0.8,2023.0,1.0
8,8,2023-02-17,2274.0,2196.0,2274.0,2184.0,12486.0,553340060.0,1.0,7456.0,SA2312.XZCE,2023,2,7,215,50,2023-02-09,92.07,61.52,,,,,1299708.0,790823.0,,,,,,92.07,,,2023-01,,,,,,,,,,,,,,,-0.8,-0.8,2023.0,1.0
9,9,2023-02-24,2185.0,2212.0,2223.0,2145.0,14451.0,634412800.0,1.0,7449.0,SA2312.XZCE,2023,2,8,216,50,2023-02-16,91.04,60.83,,,,,1329484.0,769179.0,,,,,,91.04,,,2023-01,,,,,,,,,,,,,,,-0.8,-0.8,2023.0,1.0
