,date,open,close,high,low,volume,money,factor,open_interest,stkcd
0,2019-12-13,1566.834,1630.775,1675.609,1559.244,1249876.0,40778329700.0,1.0,74812.0,SA8888.XZCE
1,2019-12-20,1634.739,1614.179,1659.51,1582.498,978636.0,31946612300.0,1.0,92234.0,SA8888.XZCE
2,2019-12-27,1612.808,1613.372,1633.496,1599.515,401284.0,12929297900.0,1.0,97958.0,SA8888.XZCE
3,2020-01-03,1614.777,1638.127,1649.765,1613.482,215734.0,7037406400.0,1.0,40212.0,SA8888.XZCE
4,2020-01-10,1638.809,1664.092,1680.89,1628.63,287965.0,9508598200.0,1.0,44825.0,SA8888.XZCE
5,2020-01-17,1663.366,1680.595,1694.959,1650.665,263623.0,8810627400.0,1.0,42883.0,SA8888.XZCE
6,2020-01-23,1680.635,1620.229,1682.503,1597.713,110980.0,3660264300.0,1.0,26580.0,SA8888.XZCE
7,2020-02-07,1521.927,1581.138,1614.523,1515.009,97747.0,3031496200.0,1.0,24166.0,SA8888.XZCE
8,2020-02-14,1579.897,1586.97,1595.665,1570.381,42091.0,1329263800.0,1.0,25597.0,SA8888.XZCE
9,2020-02-21,1587.887,1591.062,1603.845,1577.985,47661.0,1510117800.0,1.0,27730.0,SA8888.XZCE
10,2020-02-28,1586.665,1578.918,1644.847,1557.064,131893.0,4211665100.0,1.0,29461.0,SA8888.XZCE
11,2020-03-06,1577.097,1565.338,1611.131,1557.075,80296.0,2524542000.0,1.0,36316.0,SA8888.XZCE
12,2020-03-13,1517.92,1535.812,1610.782,1513.496,88507.0,2718617100.0,1.0,34410.0,SA8888.XZCE
13,2020-03-20,1540.771,1471.38,1544.692,1439.93,101664.0,3004990320.0,1.0,26481.0,SA8888.XZCE
14,2020-03-27,1455.852,1411.582,1462.681,1403.456,77441.0,2196069180.0,1.0,24191.0,SA8888.XZCE
15,2020-04-03,1409.174,1401.519,1424.129,1370.033,78712.0,2170891840.0,1.0,18058.0,SA8888.XZCE
16,2020-04-10,1409.713,1403.457,1424.189,1396.072,74285.0,2077546380.0,1.0,23417.0,SA8888.XZCE
17,2020-04-17,1406.526,1422.77,1481.858,1359.761,324486.0,9233997300.0,1.0,33934.0,SA8888.XZCE
18,2020-04-24,1419.482,1441.451,1457.067,1407.433,217721.0,6366082680.0,1.0,23944.0,SA8888.XZCE
19,2020-04-30,1438.291,1406.847,1454.167,1393.649,93013.0,2689879180.0,1.0,21917.0,SA8888.XZCE
20,2020-05-08,1412.48,1420.653,1445.908,1404.248,72476.0,2104202880.0,1.0,30930.0,SA8888.XZCE
21,2020-05-15,1422.795,1428.666,1436.0,1384.616,331725.0,9474533460.0,1.0,49575.0,SA8888.XZCE
22,2020-05-22,1422.69,1425.272,1459.637,1419.696,237548.0,6856404840.0,1.0,50887.0,SA8888.XZCE
23,2020-05-29,1426.097,1477.4,1487.959,1411.737,589164.0,17190017040.0,1.0,69327.0,SA8888.XZCE
24,2020-06-05,1479.718,1472.583,1491.145,1457.929,302586.0,8920825380.0,1.0,75349.0,SA8888.XZCE
25,2020-06-12,1475.532,1439.91,1480.413,1426.094,336975.0,9728350000.0,1.0,87344.0,SA8888.XZCE
26,2020-06-19,1443.354,1445.015,1459.671,1433.435,240245.0,6925185300.0,1.0,83359.0,SA8888.XZCE
27,2020-06-24,1445.992,1406.867,1449.839,1401.937,165580.0,4714274360.0,1.0,98478.0,SA8888.XZCE
28,2020-07-03,1401.197,1381.324,1412.342,1363.584,440344.0,12149021140.0,1.0,150439.0,SA8888.XZCE
29,2020-07-10,1381.89,1397.781,1407.254,1370.144,427276.0,11871830760.0,1.0,143380.0,SA8888.XZCE
30,2020-07-17,1397.67,1367.939,1425.314,1353.767,525161.0,14571087300.0,1.0,167218.0,SA8888.XZCE
31,2020-07-24,1367.282,1338.546,1368.939,1303.307,894551.0,23740786740.0,1.0,170165.0,SA8888.XZCE
32,2020-07-31,1339.23,1348.267,1358.925,1325.221,597247.0,15967228400.0,1.0,165641.0,SA8888.XZCE
33,2020-08-07,1353.265,1515.885,1524.027,1343.931,2898995.0,84234797040.0,1.0,202201.0,SA8888.XZCE
34,2020-08-14,1523.704,1446.817,1542.974,1436.838,2846526.0,83564548780.0,1.0,176975.0,SA8888.XZCE
35,2020-08-21,1458.715,1549.807,1587.917,1426.59,2575297.0,78986156420.0,1.0,164367.0,SA8888.XZCE
36,2020-08-28,1574.879,1676.303,1691.213,1568.204,3343378.0,110890456200.0,1.0,209978.0,SA8888.XZCE
37,2020-09-04,1682.013,1774.736,1826.051,1673.091,5291526.0,187623862260.0,1.0,254636.0,SA8888.XZCE
38,2020-09-11,1777.615,1791.029,1810.75,1724.642,4015429.0,142017527540.0,1.0,266945.0,SA8888.XZCE
39,2020-09-18,1794.575,1718.103,1798.962,1665.824,3875939.0,132418638940.0,1.0,205982.0,SA8888.XZCE
40,2020-09-25,1710.404,1736.377,1770.48,1675.4,4223576.0,146213416320.0,1.0,211414.0,SA8888.XZCE
41,2020-09-30,1739.265,1726.093,1765.505,1699.014,1878512.0,64917166120.0,1.0,143167.0,SA8888.XZCE
42,2020-10-09,1734.387,1691.221,1742.353,1657.863,419409.0,14144830960.0,1.0,129167.0,SA8888.XZCE
43,2020-10-16,1690.024,1676.663,1747.592,1651.472,2157293.0,73623272600.0,1.0,154840.0,SA8888.XZCE
44,2020-10-23,1678.254,1603.306,1685.979,1601.083,2157168.0,70497287000.0,1.0,176290.0,SA8888.XZCE
45,2020-10-30,1610.487,1566.29,1620.774,1558.24,2026152.0,64740037400.0,1.0,194979.0,SA8888.XZCE
46,2020-11-06,1568.142,1552.577,1606.48,1548.14,1570881.0,49569163240.0,1.0,192120.0,SA8888.XZCE
47,2020-11-13,1551.795,1537.326,1558.637,1512.51,2069666.0,63419283900.0,1.0,254153.0,SA8888.XZCE
48,2020-11-20,1540.563,1526.365,1564.933,1516.424,2012701.0,62029721420.0,1.0,292028.0,SA8888.XZCE
49,2020-11-27,1526.234,1527.266,1534.35,1485.772,2223414.0,67042514980.0,1.0,333979.0,SA8888.XZCE
50,2020-12-04,1526.667,1461.214,1527.39,1443.043,2662304.0,78119502120.0,1.0,386795.0,SA8888.XZCE
51,2020-12-11,1465.053,1370.509,1474.404,1358.917,3911931.0,109581197180.0,1.0,340923.0,SA8888.XZCE
52,2020-12-18,1375.008,1498.499,1532.742,1364.584,3767461.0,109460316220.0,1.0,270653.0,SA8888.XZCE
53,2020-12-25,1509.426,1607.425,1626.778,1490.498,3340854.0,108022977800.0,1.0,218296.0,SA8888.XZCE
54,2020-12-31,1608.804,1579.526,1637.992,1540.947,1804697.0,58073619640.0,1.0,203710.0,SA8888.XZCE
55,2021-01-08,1586.931,1594.591,1665.531,1565.506,2545853.0,82666071920.0,1.0,268530.0,SA8888.XZCE
56,2021-01-15,1591.793,1543.886,1594.834,1487.577,2418847.0,74142688740.0,1.0,241521.0,SA8888.XZCE
57,2021-01-22,1544.816,1554.273,1592.965,1515.308,1940874.0,60501205200.0,1.0,240896.0,SA8888.XZCE
58,2021-01-29,1553.601,1619.719,1628.16,1538.236,1974360.0,62325468940.0,1.0,253162.0,SA8888.XZCE
59,2021-02-05,1620.424,1634.262,1647.484,1596.906,1928315.0,62558968900.0,1.0,252865.0,SA8888.XZCE
60,2021-02-10,1635.749,1609.272,1657.925,1601.181,919112.0,29868280240.0,1.0,208215.0,SA8888.XZCE
61,2021-02-19,1625.461,1673.846,1681.305,1621.115,567499.0,18806580900.0,1.0,267253.0,SA8888.XZCE
62,2021-02-26,1676.308,1857.303,1897.212,1668.277,3084012.0,110997814840.0,1.0,286842.0,SA8888.XZCE
63,2021-03-05,1852.957,1878.67,2005.637,1815.69,5620862.0,214039352960.0,1.0,364906.0,SA8888.XZCE
64,2021-03-12,1909.65,1933.541,2025.522,1886.843,6748902.0,261980944220.0,1.0,522581.0,SA8888.XZCE
65,2021-03-19,1935.729,2001.318,2058.641,1921.431,5533122.0,219355734600.0,1.0,561794.0,SA8888.XZCE
66,2021-03-26,2011.124,1982.279,2056.953,1936.939,4955251.0,194286090380.0,1.0,494567.0,SA8888.XZCE
67,2021-04-02,1986.204,1991.354,2025.24,1923.59,4344576.0,168514084700.0,1.0,455077.0,SA8888.XZCE
68,2021-04-09,1997.684,1882.138,2007.223,1879.383,2664681.0,102696885800.0,1.0,449004.0,SA8888.XZCE
69,2021-04-16,1889.344,1885.239,1914.458,1830.029,4090299.0,154157581740.0,1.0,432013.0,SA8888.XZCE
70,2021-04-23,1888.681,1914.855,1973.046,1881.791,4606245.0,178860419460.0,1.0,438878.0,SA8888.XZCE
71,2021-04-30,1912.957,2085.954,2087.39,1903.854,4378004.0,174736438060.0,1.0,406606.0,SA8888.XZCE
72,2021-05-07,2097.472,2163.593,2201.426,2090.287,1509080.0,65271656560.0,1.0,425454.0,SA8888.XZCE
73,2021-05-14,2160.688,2205.827,2330.701,2079.902,11565296.0,509612816880.0,1.0,446589.0,SA8888.XZCE
74,2021-05-21,2224.506,2101.014,2305.73,2038.523,7288354.0,316809611580.0,1.0,551205.0,SA8888.XZCE
75,2021-05-28,2112.491,2205.18,2225.795,2053.162,4038144.0,172475637400.0,1.0,537819.0,SA8888.XZCE
76,2021-06-04,2203.467,2270.365,2352.456,2191.884,3210414.0,145785908340.0,1.0,504020.0,SA8888.XZCE
77,2021-06-11,2282.528,2204.019,2302.019,2163.772,2980893.0,132836668520.0,1.0,519890.0,SA8888.XZCE
78,2021-06-18,2201.11,2220.959,2264.247,2164.049,1920186.0,84816256780.0,1.0,510793.0,SA8888.XZCE
79,2021-06-25,2219.501,2322.855,2335.947,2194.094,2615991.0,117130165380.0,1.0,535056.0,SA8888.XZCE
80,2021-07-02,2330.465,2328.164,2336.518,2244.957,2131056.0,96460264300.0,1.0,550582.0,SA8888.XZCE
81,2021-07-09,2337.256,2352.532,2409.685,2318.02,2382325.0,111173280620.0,1.0,515471.0,SA8888.XZCE
82,2021-07-16,2361.569,2421.546,2433.389,2324.721,2348974.0,109784650480.0,1.0,547292.0,SA8888.XZCE
83,2021-07-23,2417.514,2436.51,2495.532,2371.323,2676819.0,129819950940.0,1.0,540947.0,SA8888.XZCE
84,2021-07-30,2437.983,2517.466,2535.66,2385.623,2389365.0,118118154660.0,1.0,532909.0,SA8888.XZCE
85,2021-08-06,2528.337,2575.996,2585.718,2439.188,2833222.0,143019426720.0,1.0,563738.0,SA8888.XZCE
86,2021-08-13,2591.895,2712.932,2726.16,2557.946,2957369.0,157404734600.0,1.0,599375.0,SA8888.XZCE
87,2021-08-20,2722.763,2741.93,2798.88,2646.612,4225532.0,230373834060.0,1.0,590466.0,SA8888.XZCE
88,2021-08-27,2740.34,2701.994,2773.741,2641.182,4288427.0,232849965220.0,1.0,551563.0,SA8888.XZCE
89,2021-09-03,2715.934,2746.611,2769.636,2684.312,3535467.0,191946233420.0,1.0,518071.0,SA8888.XZCE
90,2021-09-10,2751.325,2979.389,3074.362,2733.861,5255061.0,305575920760.0,1.0,583076.0,SA8888.XZCE
91,2021-09-17,2996.341,2897.161,3049.948,2832.523,6744413.0,396061899920.0,1.0,506091.0,SA8888.XZCE
92,2021-09-24,2994.759,3086.29,3212.875,2976.771,3504666.0,219374761260.0,1.0,491269.0,SA8888.XZCE
93,2021-09-30,3118.406,3415.33,3421.547,3080.939,4063262.0,271065034100.0,1.0,444581.0,SA8888.XZCE
94,2021-10-08,3380.012,3301.147,3393.727,3160.489,733421.0,48263721100.0,1.0,429506.0,SA8888.XZCE
95,2021-10-15,3284.487,3381.024,3595.407,3258.364,6516481.0,449433582200.0,1.0,427083.0,SA8888.XZCE
96,2021-10-22,3398.771,2987.171,3508.035,2987.171,5461644.0,363670417200.0,1.0,406129.0,SA8888.XZCE
97,2021-10-29,2914.842,2733.933,2943.076,2595.885,8978720.0,498863241120.0,1.0,338599.0,SA8888.XZCE
98,2021-11-05,2703.191,2533.916,2746.689,2377.267,8053252.0,416887867960.0,1.0,482111.0,SA8888.XZCE
99,2021-11-12,2535.553,2484.943,2659.043,2363.398,6052549.0,303177749260.0,1.0,470067.0,SA8888.XZCE
100,2021-11-19,2462.043,2610.629,2655.971,2412.699,4811578.0,239369411840.0,1.0,505487.0,SA8888.XZCE
101,2021-11-26,2559.234,2479.658,2687.433,2478.309,3993562.0,202440600460.0,1.0,437279.0,SA8888.XZCE
102,2021-12-03,2447.522,2574.888,2690.334,2436.481,4623608.0,234767060800.0,1.0,414528.0,SA8888.XZCE
103,2021-12-10,2576.84,2284.785,2657.984,2214.675,4735486.0,229253684920.0,1.0,493396.0,SA8888.XZCE
104,2021-12-17,2282.192,2384.755,2396.555,2227.481,4009249.0,184277593040.0,1.0,421112.0,SA8888.XZCE
105,2021-12-24,2393.432,2303.406,2401.054,2267.735,4071141.0,189475489160.0,1.0,447067.0,SA8888.XZCE
106,2021-12-31,2296.376,2188.714,2332.201,2180.698,3427444.0,155630682600.0,1.0,509168.0,SA8888.XZCE
107,2022-01-07,2196.761,2343.143,2353.855,2166.193,2405895.0,108856181900.0,1.0,442632.0,SA8888.XZCE
108,2022-01-14,2346.871,2595.301,2598.886,2345.553,4681674.0,232651824220.0,1.0,577718.0,SA8888.XZCE
109,2022-01-21,2590.022,2715.475,2748.891,2512.667,5174828.0,268995617340.0,1.0,707111.0,SA8888.XZCE
110,2022-01-28,2720.47,2882.679,2902.635,2646.637,4595666.0,253152846160.0,1.0,583165.0,SA8888.XZCE
111,2022-02-11,2924.673,2983.149,3184.076,2876.768,5367782.0,324560004140.0,1.0,760470.0,SA8888.XZCE
112,2022-02-18,3001.342,2822.538,3007.06,2746.262,7933682.0,456398216040.0,1.0,699135.0,SA8888.XZCE
113,2022-02-25,2829.516,2630.643,2966.542,2628.369,7404943.0,421173102420.0,1.0,738570.0,SA8888.XZCE
114,2022-03-04,2629.01,2747.038,2791.065,2549.83,7326474.0,390999862740.0,1.0,657338.0,SA8888.XZCE
115,2022-03-11,2769.333,2620.407,2890.631,2505.294,7837922.0,419382328500.0,1.0,662758.0,SA8888.XZCE
116,2022-03-18,2601.276,2581.418,2623.598,2457.975,6077781.0,306078103520.0,1.0,710091.0,SA8888.XZCE
117,2022-03-25,2570.0,2832.015,2873.986,2487.469,6615821.0,352475923000.0,1.0,734500.0,SA8888.XZCE
118,2022-04-01,2812.07,2991.555,3010.222,2787.937,8254403.0,486680681680.0,1.0,915679.0,SA8888.XZCE
119,2022-04-08,2969.271,2911.035,3029.153,2849.359,3887060.0,228497868080.0,1.0,862884.0,SA8888.XZCE
120,2022-04-15,2920.745,3115.668,3182.839,2862.612,7123106.0,436056152980.0,1.0,918800.0,SA8888.XZCE
121,2022-04-22,3110.497,3087.838,3248.167,3038.99,6134321.0,386552709480.0,1.0,869359.0,SA8888.XZCE
122,2022-04-29,3087.683,2990.901,3099.461,2811.855,7011165.0,413553002980.0,1.0,760744.0,SA8888.XZCE
123,2022-05-06,2976.458,2963.078,3061.893,2911.922,2193708.0,131861868920.0,1.0,837424.0,SA8888.XZCE
124,2022-05-13,2963.843,2785.871,2995.828,2689.768,7705703.0,433410573640.0,1.0,818274.0,SA8888.XZCE
125,2022-05-20,2790.443,2946.689,2976.317,2754.211,6424627.0,366593720980.0,1.0,939980.0,SA8888.XZCE
126,2022-05-27,2944.235,3006.683,3047.729,2846.438,6922444.0,406251659800.0,1.0,960329.0,SA8888.XZCE
127,2022-06-02,2999.529,3089.629,3097.957,2991.143,4226757.0,258313613140.0,1.0,939396.0,SA8888.XZCE
128,2022-06-10,3091.585,2994.481,3142.832,2973.242,5556187.0,339304051640.0,1.0,945451.0,SA8888.XZCE
129,2022-06-17,2992.418,2853.515,3018.848,2775.99,5858667.0,339091273000.0,1.0,971599.0,SA8888.XZCE
130,2022-06-24,2866.48,2680.019,2885.784,2612.867,7976914.0,436260979600.0,1.0,970760.0,SA8888.XZCE
131,2022-07-01,2693.16,2696.898,2863.162,2630.765,6444882.0,356664654680.0,1.0,967076.0,SA8888.XZCE
132,2022-07-08,2715.223,2482.807,2735.853,2476.803,7774312.0,403673646120.0,1.0,974357.0,SA8888.XZCE
133,2022-07-15,2474.856,2359.273,2509.32,2321.032,8315319.0,400848046580.0,1.0,939994.0,SA8888.XZCE
134,2022-07-22,2375.537,2410.243,2508.784,2331.4,7797056.0,375221349260.0,1.0,950331.0,SA8888.XZCE
135,2022-07-29,2418.264,2530.898,2569.6,2354.474,6353576.0,310584789920.0,1.0,878673.0,SA8888.XZCE
136,2022-08-05,2536.143,2374.718,2556.632,2349.692,5836170.0,282108850560.0,1.0,808793.0,SA8888.XZCE
137,2022-08-12,2351.481,2426.119,2468.719,2341.188,6517915.0,308766489380.0,1.0,736224.0,SA8888.XZCE
138,2022-08-19,2411.676,2292.354,2463.377,2278.5,6891002.0,320598243300.0,1.0,829953.0,SA8888.XZCE
