,date,open,close,high,low,volume,money,factor,open_interest,stkcd
0,2022-12-16,2130.0,2234.0,2258.0,2130.0,4805.0,212273360.0,1.0,1510.0,SA2312.XZCE
1,2022-12-23,2231.0,2172.0,2232.0,2141.0,10292.0,451536860.0,1.0,2691.0,SA2312.XZCE
2,2022-12-30,2176.0,2229.0,2237.0,2163.0,11232.0,497084200.0,1.0,3971.0,SA2312.XZCE
3,2023-01-06,2232.0,2236.0,2245.0,2192.0,9007.0,401160740.0,1.0,5880.0,SA2312.XZCE
4,2023-01-13,2233.0,2160.0,2242.0,2110.0,18769.0,810636000.0,1.0,9099.0,SA2312.XZCE
5,2023-01-20,2156.0,2287.0,2296.0,2146.0,28111.0,1251361160.0,1.0,7750.0,SA2312.XZCE
6,2023-02-03,2296.0,2277.0,2315.0,2242.0,13448.0,613099680.0,1.0,6974.0,SA2312.XZCE
7,2023-02-10,2282.0,2268.0,2305.0,2228.0,8680.0,393335320.0,1.0,7005.0,SA2312.XZCE
8,2023-02-17,2274.0,2196.0,2274.0,2184.0,12486.0,553340060.0,1.0,7456.0,SA2312.XZCE
9,2023-02-24,2185.0,2212.0,2223.0,2145.0,14451.0,634412800.0,1.0,7449.0,SA2312.XZCE
10,2023-03-03,2209.0,2237.0,2240.0,2192.0,7272.0,322656160.0,1.0,8244.0,SA2312.XZCE
11,2023-03-10,2237.0,2187.0,2239.0,2172.0,12111.0,534961560.0,1.0,8474.0,SA2312.XZCE
12,2023-03-17,2190.0,2069.0,2196.0,2064.0,12504.0,530818540.0,1.0,9895.0,SA2312.XZCE
13,2023-03-24,2069.0,2113.0,2115.0,2030.0,10916.0,452046240.0,1.0,11194.0,SA2312.XZCE
14,2023-03-31,2104.0,2088.0,2145.0,2067.0,14812.0,623814120.0,1.0,13383.0,SA2312.XZCE
15,2023-04-07,2084.0,2058.0,2105.0,2031.0,9442.0,388909040.0,1.0,15225.0,SA2312.XZCE
16,2023-04-14,2064.0,1965.0,2069.0,1918.0,23363.0,922224940.0,1.0,17568.0,SA2312.XZCE
17,2023-04-21,1966.0,1910.0,2036.0,1895.0,26056.0,1021573400.0,1.0,17042.0,SA2312.XZCE
18,2023-04-28,1908.0,1811.0,1918.0,1810.0,20470.0,761860680.0,1.0,17837.0,SA2312.XZCE
19,2023-05-05,1794.0,1819.0,1831.0,1782.0,9108.0,329007400.0,1.0,19066.0,SA2312.XZCE
20,2023-05-12,1825.0,1683.0,1850.0,1683.0,26816.0,941631420.0,1.0,19736.0,SA2312.XZCE
21,2023-05-19,1691.0,1616.0,1716.0,1568.0,55240.0,1813082660.0,1.0,21557.0,SA2312.XZCE
22,2023-05-26,1619.0,1457.0,1620.0,1416.0,41570.0,1220402720.0,1.0,20651.0,SA2312.XZCE
23,2023-06-02,1455.0,1474.0,1527.0,1391.0,93228.0,2693673080.0,1.0,25000.0,SA2312.XZCE
24,2023-06-09,1479.0,1444.0,1489.0,1424.0,55545.0,1610636440.0,1.0,27394.0,SA2312.XZCE
25,2023-06-16,1448.0,1484.0,1510.0,1402.0,99300.0,2897776460.0,1.0,28019.0,SA2312.XZCE
26,2023-06-21,1485.0,1439.0,1499.0,1438.0,60205.0,1774222740.0,1.0,28802.0,SA2312.XZCE
27,2023-06-30,1431.0,1459.0,1479.0,1405.0,96850.0,2785569120.0,1.0,24371.0,SA2312.XZCE
28,2023-07-07,1458.0,1463.0,1479.0,1452.0,116494.0,3409855680.0,1.0,64460.0,SA2312.XZCE
29,2023-07-14,1464.0,1558.0,1579.0,1460.0,229451.0,6986677120.0,1.0,88172.0,SA2312.XZCE
30,2023-07-21,1560.0,1591.0,1616.0,1490.0,257677.0,8016789960.0,1.0,106359.0,SA2312.XZCE
31,2023-07-28,1594.0,1676.0,1747.0,1535.0,677318.0,22252011220.0,1.0,115622.0,SA2312.XZCE
