指标名称,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比
1989-02-28,,,41.65,,20.45,
1989-03-31,,,65.57,4.1,24.06,
1989-04-30,,,88.7,4.2,23.11,
1989-05-31,,,113.06,4.9,24.29,
1989-06-30,,,136.05,5.6,22.91,
1989-07-31,,,159.72,8.2,23.79,
1989-08-31,,,184.76,10.9,24.8,
1989-09-30,,,210.75,12.1,26.01,
1989-10-31,,,240.13,13.0,29.36,
1989-11-30,,,267.51,13.3,27.13,
1989-12-31,,,298.33,15.0,29.12,
1990-01-31,,,25.54,20.3,25.54,
1990-02-28,,,49.04,17.7,23.73,
1990-03-31,,,78.68,20.0,29.85,
1990-04-30,,,106.67,20.3,28.01,
1990-05-31,,,138.22,22.3,31.54,
1990-06-30,,,167.46,23.1,29.25,
1990-07-31,,,213.78,33.8,28.56,
1990-08-31,,,244.39,32.3,30.44,
1990-09-30,,,276.16,31.0,31.76,
1990-10-31,,,310.96,29.5,34.73,
1990-11-30,,,342.84,28.2,31.87,
1990-12-31,,,374.56,25.6,31.64,
1991-01-31,,,29.72,16.4,29.72,
1991-02-28,,,61.07,24.5,31.35,
1991-03-31,,,94.96,20.5,33.89,
1991-04-30,,,127.33,19.4,32.37,
1991-05-31,,,159.59,15.5,32.28,
1991-06-30,,,191.67,14.5,32.06,
1991-07-31,,,221.66,3.7,30.01,
1991-08-31,,,253.42,3.7,31.75,
1991-09-30,,,286.74,3.8,33.34,
1991-10-31,,,322.21,3.6,35.45,
1991-11-30,,,356.53,4.0,34.33,
1991-12-31,,,389.43,3.97,32.9,
1992-01-31,,,27.12,-8.7,27.12,
1992-02-29,,,66.49,8.9,37.68,
1992-03-31,,,102.53,8.2,36.08,
1992-04-30,,,139.32,9.4,36.77,
1992-05-31,,,177.93,11.5,38.59,
1992-06-30,,,217.57,13.5,39.63,
1992-07-31,,,255.18,15.1,37.62,
1992-08-31,,,287.87,13.6,33.89,
1992-09-30,,,325.01,13.3,37.16,
1992-10-31,,,365.0,13.3,39.97,
1992-11-30,,,408.12,14.5,43.11,
1992-12-31,,,450.61,16.0,40.98,
1993-01-31,,,38.24,41.0,38.24,
1993-02-28,,,78.34,17.8,40.19,
1993-03-31,,,122.36,19.3,44.03,
1993-04-30,,,164.27,17.9,41.93,
1993-05-31,,,209.67,17.8,45.42,
1993-06-30,,,254.13,16.8,44.47,
1993-07-31,,,295.61,15.8,41.49,
1993-08-31,,,336.95,17.0,41.36,
1993-09-30,,,382.05,17.6,44.93,
1993-10-31,,,430.9,18.1,48.65,
1993-11-30,,,479.27,17.4,48.38,
1993-12-31,,,526.64,16.9,47.55,
1994-01-31,,,48.02,25.6,48.02,
1994-02-28,,,96.31,22.94,48.55,
1994-03-31,,,143.62,17.37,48.99,
1994-04-30,,,193.11,17.56,49.48,
1994-05-31,,,242.94,15.87,49.89,
1994-06-30,,,289.08,13.75,46.13,
1994-07-31,,,330.97,11.96,41.94,
1994-08-31,,,371.36,10.21,40.41,
1994-09-30,,,419.18,9.72,48.16,
1994-10-31,,,470.01,9.08,50.81,
1994-11-30,,,519.95,8.49,49.97,
1994-12-31,,,568.37,7.92,48.23,
1995-01-31,,,45.83,-4.56,45.83,
1995-02-28,,,90.51,-6.02,44.83,
1995-03-31,,,138.91,-3.28,48.45,
1995-04-30,,,187.82,-2.74,48.91,
1995-05-31,,,233.86,-3.74,46.05,
1995-06-30,,,282.63,-2.23,47.38,
1995-07-31,,,303.76,-8.22,42.0,
1995-08-31,,,368.81,-0.69,42.65,
1995-09-30,,,417.3,-0.45,48.49,
1995-10-31,,,469.41,-0.13,52.16,
1995-11-30,,,521.53,0.3,52.11,
1995-12-31,,,574.44,1.07,52.91,
1996-01-31,,,50.02,9.14,50.02,
1996-02-29,,,98.81,9.17,48.68,
1996-03-31,,,156.69,12.8,57.19,
1996-04-30,,,210.29,11.96,53.59,
1996-05-31,,,264.33,13.03,54.06,
1996-06-30,,,316.79,12.09,52.44,
1996-07-31,,,364.54,20.01,47.78,
1996-08-31,,,413.69,12.17,49.31,
1996-09-30,,,468.97,12.38,55.27,
1996-10-31,,,526.45,12.15,57.47,
1996-11-30,,,582.91,11.77,56.48,
1996-12-31,,,638.51,11.15,55.58,
1997-01-31,,,56.88,6.69,56.88,6.69
1997-02-28,,,112.76,13.8,57.9,16.7
1997-03-31,,,172.62,10.12,60.09,5.4
1997-04-30,,,246.49,9.8,59.87,7.4
1997-05-31,,,305.43,9.3,58.78,6.9
1997-06-30,,,361.13,8.4,55.66,4.8
1997-07-31,,,413.64,9.1,52.52,11.8
1997-08-31,,,468.26,-9.3,54.58,11.7
1997-09-30,,,526.54,8.9,58.31,5.9
1997-10-31,,,587.69,8.5,60.91,4.4
1997-11-30,,,645.68,8.0,57.99,3.8
1997-12-31,,,703.23,7.3,57.64,0.3
1998-01-31,,,55.9,2.3,55.9,2.3
1998-02-28,,,114.09,4.3,59.19,7.2
1998-03-31,,,175.35,3.1,59.47,2.8
1998-04-30,,,233.01,2.4,57.64,0.24
1998-05-31,,,292.9,1.9,62.21,3.9
1998-06-30,,,349.08,1.7,56.64,1.5
1998-07-31,,,401.32,1.34,52.11,-1.26
1998-08-31,,,458.78,1.7,54.5,0.17
1998-09-30,,,519.15,1.89,59.21,1.4
1998-10-31,,,582.12,2.07,62.97,3.5
1998-11-30,,,645.05,2.64,62.92,8.21
1998-12-31,,,719.99,2.64,63.14,6.57
1999-01-31,,,63.07,7.99,63.07,7.99
1999-02-28,,,126.72,5.34,63.39,2.2
1999-03-31,,,196.97,6.77,70.25,11.2
1999-04-30,,,264.61,8.2,67.63,12.6
1999-05-31,,,331.16,7.25,66.55,4.31
1999-06-30,,,394.61,9.11,63.42,8.25
1999-07-31,,,455.51,9.63,60.9,13.1
1999-08-31,,,516.31,8.75,60.77,7.6
1999-09-30,,,576.27,7.32,59.96,-3.43
1999-10-31,,,634.32,5.53,58.26,-9.07
1999-11-30,,,696.83,4.4,62.51,-5.8
1999-12-31,,,765.37,3.59,59.19,-2.9
2000-01-31,,,60.46,3.85,60.46,3.85
2000-02-29,,,126.22,2.78,59.44,-2.11
2000-03-31,,,199.33,2.03,71.81,0.9
2000-04-30,,,267.23,2.06,67.9,2.1
2000-05-31,,,336.62,2.81,69.39,4.66
2000-06-30,,,406.11,3.99,69.49,10.12
2000-07-31,,,471.53,4.61,65.35,8.5
2000-08-31,,,542.94,6.08,71.41,17.0
2000-09-30,,,614.7,7.63,71.75,21.03
2000-10-31,,,689.5,8.77,74.77,19.05
2000-11-30,,,763.2,9.61,72.02,14.9
2000-12-31,,,834.32,10.01,80.5,16.4
2001-01-31,,,79.28,7.8,79.28,7.8
2001-02-28,,,161.46,10.3,81.76,12.3
2001-03-31,,,248.78,10.7,87.33,11.5
2001-04-30,,,333.35,10.7,84.49,10.5
2001-05-31,,,418.52,10.3,85.19,9.1
2001-06-30,,,449.12,10.5,72.47,5.6
2001-07-31,,,511.26,-2.0,63.8,-11.3
2001-08-31,,,586.03,-2.3,74.79,-4.0
2001-09-30,,,665.19,-2.0,75.88,-4.2
2001-10-31,,,747.25,-1.7,82.06,0.8
2001-11-30,,,827.78,-1.7,80.53,-1.5
2001-12-31,,,906.04,-0.8,81.02,0.3
2002-01-31,,,79.78,13.1,79.78,13.1
2002-02-28,,,158.18,9.5,79.31,6.7
2002-03-31,,,239.63,7.7,80.28,4.6
2002-04-30,,,322.72,8.6,83.09,11.3
2002-05-31,,,408.41,9.5,85.69,13.1
2002-06-30,,,485.93,9.5,77.53,9.4
2002-07-31,,,565.39,11.6,79.45,26.4
2002-08-31,,,650.18,12.0,84.8,15.0
2002-09-30,,,738.42,12.9,88.24,19.2
2002-10-31,,,830.91,13.1,92.49,15.2
2002-11-30,,,924.59,13.6,93.68,18.0
2002-12-31,,,1033.15,12.99,94.48,16.1
2003-01-31,,,83.07,5.2,83.07,5.2
2003-02-28,,,175.83,9.9,90.93,11.6
2003-03-31,,,265.1,10.2,89.28,6.1
2003-04-30,,,364.0,11.5,94.85,14.4
2003-05-31,,,459.07,11.1,95.05,9.3
2003-06-30,,,547.73,11.4,88.67,13.2
2003-07-31,,,632.46,10.7,84.72,6.6
2003-08-31,,,724.04,10.4,91.56,8.4
2003-09-30,,,814.45,9.6,90.41,3.2
2003-10-31,,,912.54,9.3,98.02,6.5
2003-11-30,,,1010.78,9.2,98.2,9.0
2003-12-31,,,1133.56,9.72,96.75,6.7
2004-01-31,,,93.87,8.0,93.87,8.0
2004-02-29,,,195.18,12.1,101.31,16.2
2004-03-31,,,294.32,11.0,98.94,8.8
2004-04-30,,,403.67,12.7,109.36,17.6
2004-05-31,,,510.81,13.7,107.11,17.4
2004-06-30,,,615.35,14.7,104.49,20.0
