指标名称,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比
1989/2/28,,,41.65,,20.45,,,,,,,,,,-13.5,
1989/3/31,,,65.57,4.1,24.06,,,,,,,,,,-9.2,
1989/4/30,,,88.7,4.2,23.11,,,,,,,,,,-5,
1989/5/31,,,113.06,4.9,24.29,,,,,,,,,,-4.9,
1989/6/30,,,136.05,5.6,22.91,,,,,,,,,,-5,
1989/7/31,,,159.72,8.2,23.79,,,,,,,,,,-1.3,
1989/8/31,,,184.76,10.9,24.8,,,,,,,,,,0.5,
1989/9/30,,,210.75,12.1,26.01,,,,,,,,,,2.1,
1989/10/31,,,240.13,13,29.36,,,,,,,,,,2.9,
1989/11/30,,,267.51,13.3,27.13,,,,,,,,,,3.4,
1989/12/31,,,298.33,15,29.12,,,,,,,,,,4.1,
1990/1/31,,,25.54,20.3,25.54,,,,,,,,,,5.3,
1990/2/28,,,49.04,17.7,23.73,,,,,,,,,,11.3,
1990/3/31,,,78.68,20,29.85,,,,,,,,,,14.2,
1990/4/30,,,106.67,20.3,28.01,,,,,,,,,,13.2,
1990/5/31,,,138.22,22.3,31.54,,,,,,,,,,15.2,
1990/6/30,,,167.46,23.1,29.25,,,,,,,,,,17,
1990/7/31,,,213.78,33.8,28.56,,,,,,,,,,16.1,
1990/8/31,,,244.39,32.3,30.44,,,,,,,,,,14.5,
1990/9/30,,,276.16,31,31.76,,,,,,,,,,13,
1990/10/31,,,310.96,29.5,34.73,,,,,,,,,,11.9,
1990/11/30,,,342.84,28.2,31.87,,,,,,,,,,11,
1990/12/31,,,374.56,25.6,31.64,,,,,,,,,,11,
1991/1/31,,,29.72,16.4,29.72,,,,,,,,,,22.5,
1991/2/28,,,61.07,24.5,31.35,,,,,,,,,,17.3,
1991/3/31,,,94.96,20.5,33.89,,,,,,,,,,8.49,
1991/4/30,,,127.33,19.4,32.37,,,,,,,,,,5.4,
1991/5/31,,,159.59,15.5,32.28,,,,,,,,,,4.5,
1991/6/30,,,191.67,14.5,32.06,,,,,,,,,,3.2,
1991/7/31,,,221.66,3.7,30.01,,,,,,,,,,3,
1991/8/31,,,253.42,3.7,31.75,,,,,,,,,,3.8,
1991/9/30,,,286.74,3.8,33.34,,,,,,,,,,4.1,
1991/10/31,,,322.21,3.6,35.45,,,,,,,,,,4.9,
1991/11/30,,,356.53,4,34.33,,,,,,,,,,3.8,
1991/12/31,,,389.43,3.97,32.9,,,,,,,,,,3.78,
1992/1/31,,,27.12,-8.7,27.12,,,,,,,,,,-14.6,
1992/2/29,,,66.49,8.9,37.68,,,,,,,,,,-8.6,
1992/3/31,,,102.53,8.2,36.08,,,,,,,,,,9.4,
1992/4/30,,,139.32,9.4,36.77,,,,,,,,,,8,
1992/5/31,,,177.93,11.5,38.59,,,,,,,,,,8.7,
1992/6/30,,,217.57,13.5,39.63,,,,,,,,,,10.3,
1992/7/31,,,255.18,15.1,37.62,,,,,,,,,,9,
1992/8/31,,,287.87,13.6,33.89,,,,,,,,,,6,
1992/9/30,,,325.01,13.3,37.16,,,,,,,,,,4.1,
1992/10/31,,,365,13.3,39.97,,,,,,,,,,3.9,
1992/11/30,,,408.12,14.5,43.11,,,,,,,,,,4.4,
1992/12/31,,,450.61,16,40.98,,,,,,,,,,4,
1993/1/31,,,38.24,41,38.24,,,,,,,,,,16.7,
1993/2/28,,,78.34,17.8,40.19,,,,,,,,,,25.4,
1993/3/31,,,122.36,19.3,44.03,,,,,,,,,,-29.8,
1993/4/30,,,164.27,17.9,41.93,,,,,,,,,,12.3,
1993/5/31,,,209.67,17.8,45.42,,,,,,,,,,11.2,
1993/6/30,,,254.13,16.8,44.47,,,,,,,,,,8.8,
1993/7/31,,,295.61,15.8,41.49,,,,,,,,,,10.5,
1993/8/31,,,336.95,17,41.36,,,,,,,,,,12.3,
