指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比
1989-02,,,,,,,,,,0.70 ,2.00 ,,,8.00 ,,
1989-03,,,,,,,,,,-1.50 ,4.50 ,,,8.30 ,,
1989-04,,,,,,,,,,-0.40 ,8.20 ,,,6.60 ,,
1989-05,,,,,,,,,,0.70 ,7.70 ,,,5.00 ,,
1989-06,,,,,,,,,,-1.20 ,4.00 ,,,2.10 ,,
1989-07,,,,,,,,,,-3.20 ,4.00 ,,,0.80 ,,
1989-08,,,,,,,,,,-6.60 ,3.20 ,,,-0.70 ,,
1989-09,,,,,,,,,,-9.50 ,1.00 ,,,-3.80 ,,
1989-10,,,,,,,,,,-11.70 ,-3.80 ,,,-6.50 ,,
1989-11,,,,,,,,,,-13.60 ,-5.20 ,,,-8.70 ,,
1989-12,,,,,,,,,,-13.80 ,-7.10 ,,,-11.30 ,,
1990-01,,,,,,,,,,-42.50 ,-43.40 ,,,-44.70 ,,
1990-02,,,,,,,,,,-36.60 ,-36.00 ,,,-35.40 ,,
1990-03,,,,,,,,,,-41.00 ,-37.10 ,,,-34.10 ,,
1990-04,,,,,,,,,,-39.50 ,-39.70 ,,,-29.20 ,,
1990-05,,,,,,,,,,-42.50 ,-39.40 ,,,-25.50 ,,
1990-06,,,,,,,,,,-39.40 ,-37.20 ,,,-21.90 ,,
1990-07,,,,,,,,,,-35.80 ,-37.30 ,,,-22.00 ,,
1990-08,,,,,,,,,,-32.60 ,-37.30 ,,,-21.40 ,,
1990-09,,,,,,,,,,-30.60 ,-35.50 ,,,-18.90 ,,
1990-10,,,,,,,,,,-30.10 ,-33.10 ,,,-16.50 ,,
1990-11,,,,,,,,,,-29.60 ,-31.90 ,,,-14.80 ,,
1990-12,,,,,,,,,,-30.20 ,-28.70 ,,,-11.30 ,,
1991-01,,,,,,,,,,6.40 ,24.70 ,,,61.70 ,,
1991-02,,,,,,,,,,-13.60 ,11.70 ,,,39.80 ,,
1991-03,,,,,,,,,,-6.40 ,15.20 ,,,42.80 ,,
1991-04,,,,,,,,,,-3.20 ,19.90 ,,,39.90 ,,
1991-05,,,,,,,,,,4.50 ,21.90 ,,,37.50 ,,
1991-06,,,,,,,,,,5.20 ,20.90 ,,,37.00 ,,
1991-07,,,,,,,,,,7.50 ,23.00 ,,,39.80 ,,
1991-08,,,,,,,,,,6.80 ,26.00 ,,,41.00 ,,
1991-09,,,,,,,,,,9.00 ,28.30 ,,,40.90 ,,
1991-10,,,,,,,,,,12.40 ,28.60 ,,,41.20 ,,
1991-11,,,,,,,,,,13.70 ,30.50 ,,,41.90 ,,
1991-12,,,,,,,,,,13.79 ,30.00 ,,,40.76 ,,
1992-01,,,,,,,,,,24.90 ,38.60 ,,,59.90 ,,
1992-02,56.70 ,,,,,,,,,39.00 ,53.00 ,,,62.10 ,,
1992-03,,,,,,,,,,42.30 ,41.10 ,,,54.70 ,,
1992-04,,,,,,,,,,42.00 ,38.30 ,,,51.00 ,,
1992-05,,,,,,,,,,37.40 ,40.40 ,,,49.60 ,,
1992-06,31.00 ,,,,,,,,,35.90 ,40.30 ,,,48.30 ,,
1992-07,32.00 ,,,,,,,,,33.50 ,39.70 ,,,48.30 ,,
1992-08,33.00 ,,,,,,,,,34.90 ,39.50 ,,,48.10 ,,
1992-09,33.00 ,,,,,,,,,34.40 ,36.90 ,,,49.60 ,,
1992-10,33.60 ,,,,,,,,,33.80 ,38.60 ,,,50.60 ,,
1992-11,33.90 ,,,,,,,,,34.00 ,40.50 ,,,50.80 ,,
1992-12,36.80 ,,,,,,,,,33.10 ,40.30 ,,,51.80 ,,
1993-01,,,,,,,,,,-0.60 ,20.00 ,,,25.70 ,,
1993-02,64.10 ,,,,,,,,,30.30 ,33.60 ,,,45.20 ,,
1993-03,63.70 ,,,,,,,,,21.61 ,48.72 ,,,47.10 ,,
1993-04,62.50 ,,,,,,,,,22.30 ,52.50 ,,,47.50 ,,
1993-05,64.20 ,,,,,,,,,21.60 ,49.70 ,,,46.20 ,,
1993-06,63.60 ,,,,,,,,,16.90 ,47.30 ,,,44.20 ,,
1993-07,63.90 ,,,,,,,,,15.50 ,44.60 ,,,40.70 ,,
1993-08,61.60 ,,,,,,,,,14.30 ,43.60 ,,,35.80 ,,
1993-09,59.60 ,,,,,,,,,11.80 ,38.50 ,,,29.10 ,,
1993-10,58.20 ,,,,,,,,,8.00 ,33.40 ,,,23.80 ,,
1993-11,57.30 ,,,,,,,,,6.60 ,27.00 ,,,21.30 ,,
1993-12,65.50 ,,,,,,,,,4.60 ,23.70 ,,,21.10 ,,
1994-01,,,,,,,,,,6.70 ,-11.30 ,,,16.40 ,,
1994-02,39.30 ,,,,,,,,,-20.21 ,-25.68 ,,,-2.72 ,,
1994-03,30.90 ,,,,,,,,,-19.83 ,-27.50 ,,,-0.60 ,,
1994-04,35.40 ,,,,,,,,,-22.64 ,-27.80 ,,,1.08 ,,
1994-05,31.50 ,,,,,,,,,-24.10 ,-28.78 ,,,3.55 ,,
1994-06,36.60 ,,,,,,,,,-18.19 ,-28.06 ,,,3.87 ,,
1994-07,43.40 ,,,,,,,,,-18.78 ,-27.76 ,,,3.57 ,,
