,stkcd,corr,thred,asset,asset0
53,PX8888.XZCE,-0.7146054836444805,0.02,0.037941177327514564,-0.06065523533148376
64,SH8888.XZCE,-0.4799964148225762,0.02,-0.340902637327417,0.7731966721227245
42,ME8888.XZCE,-0.31534712434320916,0.02,0.7841653278095503,0.2878325403391069
66,SM8888.XZCE,-0.30417172308765317,0.02,0.005498894316985692,-0.33613833091153633
68,SP8888.XSGE,-0.25047249849474695,0.02,0.606818278629089,1.1543304962942882
39,LU8888.XINE,-0.2463589451773927,0.02,-0.04372474718636543,-0.11992327269082725
70,SS8888.XSGE,-0.2342011514761683,0.02,-0.044047520200769075,0.2523621989937018
84,ZC8888.XZCE,-0.22487589426357119,0.02,0.5604738267181982,0.7807271537007315
63,SF8888.XZCE,-0.19815384602414376,0.02,0.08309714443958449,0.7432275573601355
30,IM8888.CCFX,-0.18157500397673093,0.02,-0.7040000811675418,-0.07416205711634705
77,UR8888.XZCE,-0.17774387461922952,0.02,0.00015094643414204079,0.021276115249885152
44,NR8888.XINE,-0.17333663639360516,0.02,-0.16393464691203075,0.8312704620911165
1,AG8888.XSGE,-0.16603128128693673,0.02,1.5837187343401737,0.8230060067096281
35,L8888.XDCE,-0.1641317168079029,0.02,0.2524752133408299,-0.053823068358413884
17,EB8888.XDCE,-0.16032287069464063,0.02,0.43417979026928244,-0.025073983656007215
69,SR8888.XZCE,-0.15168491420626143,0.02,-0.7221052045555003,0.3817691797037026
79,WH8888.XZCE,-0.13150098704752425,0.02,-0.5413633637360179,0.23373101235264548
47,PB8888.XSGE,-0.10786369799525547,0.02,-0.8275086091013691,0.30415945773574005
29,IH8888.CCFX,-0.10729062250470424,0.02,-0.19257998230299656,0.5431555960107787
74,TF8888.CCFX,-0.09837303531425662,0.02,0.08897722506555994,-0.5207554101797219
31,J8888.XDCE,-0.0940862293776467,0.02,0.08491204288417109,-0.1896791139710564
32,JD8888.XDCE,-0.09152478923215102,0.02,-0.7808219521310722,0.9351878346224624
50,PK8888.XZCE,-0.0865419083960503,0.02,-0.1880707926352414,0.847529678909953
3,AO8888.XSGE,-0.08545166514862342,0.02,0.4259260950334466,0.5231139571515716
80,WR8888.XSGE,-0.08189094044210637,0.02,-0.8444460535401938,0.27545135787700636
72,TA8888.XZCE,-0.07193834531057475,0.02,-0.02937034381000525,0.08974121863681639
54,RB8888.XSGE,-0.06653456049054546,0.02,-0.03525665706797132,-0.07380720664379448
57,RO8888.XZCE,-0.06577906195831502,0.02,0.30239800552089824,0.4708087351707133
46,P8888.XDCE,-0.05875130825771805,0.02,-0.16863790774097365,0.026704055119418313
78,V8888.XDCE,-0.045160461235449895,0.02,-0.7117399968588339,0.3838487942750781
33,JM8888.XDCE,-0.0432695612931965,0.02,-0.5787645529091655,0.046043167944187835
61,SA8888.XZCE,-0.034566147546989515,0.02,-1.0456121583234927,0.976376749428295
10,BU8888.XSGE,-0.033547327215590984,0.02,0.11824685705808258,0.16459835472494122
19,EG8888.XDCE,-0.03274830387082418,0.02,1.8501771062919117,2.009431153894012
45,OI8888.XZCE,-0.03272979236639732,0.02,-0.6326122743779335,0.19780464320587188
26,I8888.XDCE,-0.03231975720869521,0.02,0.2328681549153543,0.4679708783947354
28,IF8888.CCFX,-0.03168722878272736,0.02,-0.010891590269402007,-0.10023545255981126
75,TL8888.CCFX,-0.02736966453359705,0.02,-0.048669482236512795,0.09164124894202175
52,PP8888.XDCE,-0.02239287220464754,0.02,-0.06540586496518352,0.43384603686156864
43,NI8888.XSGE,-0.022130467695297973,0.02,-0.27008192188564295,-0.24002237477652377
60,RU8888.XSGE,-0.01856337032972473,0.02,0.09362432447423052,0.2302939622520348
20,ER8888.XZCE,-0.018277589688104758,0.02,-0.32097989686025186,0.0811087958150215
76,TS8888.CCFX,-0.014115685537198663,0.02,0.025341821788371965,0.09402757166804776
51,PM8888.XZCE,-0.01173643544540259,0.02,-0.12480786942305389,-0.17051487057685477
5,AU8888.XSGE,-0.011448269964568984,0.02,0.7027749898730109,0.13314709122691482
21,FB8888.XDCE,-0.0095679835685353,0.02,-0.045287039882864866,0.1552454149264506
25,HC8888.XSGE,0.0036301990456737163,0.02,3.33333333379926e-07,1.1113332476497817e-12
85,ZN8888.XSGE,0.007821416810026243,0.02,0.9563714914819236,0.9907036554723044
18,EC8888.XINE,0.018055725178192112,0.02,-0.5240951536526798,0.4447078058709718
36,LC8888.GFEX,0.021390875438400653,0.02,-1.7038852258325243,0.13424582415036013
73,TC8888.XZCE,0.02422079004051757,0.02,-0.40385192661847447,0.14566758601653496
16,CY8888.XZCE,0.025568555581335476,0.02,-0.04252960135184625,1.7346016258888706
38,LR8888.XZCE,0.02611911508223085,0.02,0.74272555596731,-0.239858447693575
48,PF8888.XZCE,0.032680656392204244,0.02,-0.08176141268573356,0.1307181845744505
58,RR8888.XDCE,0.03351715789135339,0.02,0.338832138165169,0.3039957037897191
83,Y8888.XDCE,0.040380202708922654,0.02,0.19879460890593015,0.4273125471697904
27,IC8888.CCFX,0.04314712690813332,0.02,-0.014917260609638161,0.8435882656450805
13,CJ8888.XZCE,0.043392461104755774,0.02,0.47776311672861826,0.5172863397586369
7,BB8888.XDCE,0.052529627474581314,0.02,1.0309779221206343,0.8091172197281852
65,SI8888.GFEX,0.05488230051686246,0.02,-0.05990113052410517,-0.05736284254177326
59,RS8888.XZCE,0.05912527829206423,0.02,-0.004570655241649013,0.001214596170752258
41,MA8888.XZCE,0.061277384663944605,0.02,0.4498031013835301,0.8922115570969626
4,AP8888.XZCE,0.06294766701977203,0.02,-0.005900946328247447,0.4543954162083651
2,AL8888.XSGE,0.06322924528445137,0.02,-0.46554812918266897,0.5992116053508147
62,SC8888.XINE,0.06352894579968174,0.02,0.04937095980244355,0.8528103818954481
15,CU8888.XSGE,0.06614585175395377,0.02,0.1433379608485963,0.1039092949870507
56,RM8888.XZCE,0.06616365690934746,0.02,0.4885631719205453,-0.01646963377187116
6,B8888.XDCE,0.10180979166662506,0.02,0.058189950411617786,1.1716364691862848
14,CS8888.XDCE,0.10566637309847773,0.02,-0.8011593113203105,0.5755402988216997
67,SN8888.XSGE,0.10827254083803839,0.02,-2.804150573085768,0.9530356880989287
49,PG8888.XDCE,0.11044553557436147,0.02,-0.03240200562714535,0.2860703391166458
34,JR8888.XZCE,0.11171096041309213,0.02,-0.23384494312006465,1.2272959267612291
40,M8888.XDCE,0.11412125023273303,0.02,-0.48321472638093854,0.6844823065682613
82,WT8888.XZCE,0.1197262740298242,0.02,0.17845910902751794,0.4641305137632772
55,RI8888.XZCE,0.12261797715364592,0.02,-0.8242693303095672,0.523207049899788
23,FU8888.XSGE,0.12494987698367918,0.02,0.5144985000077854,0.5098260752927732
11,C8888.XDCE,0.13573493117837526,0.02,-0.027936637668286024,0.34242415680426375
22,FG8888.XZCE,0.1389019385886871,0.02,-15.13937972903974,14.710230980653686
12,CF8888.XZCE,0.16539023247223766,0.02,0.5363155408710588,0.8335794978799133
81,WS8888.XZCE,0.16839646830279253,0.02,0.15245274600664782,0.4602087107883063
8,BC8888.XINE,0.17766487284145335,0.02,1.3006420172982303,1.8069778012523685
71,T8888.CCFX,0.19579511040954653,0.02,-0.7895033474776832,0.06355617365929156
0,A8888.XDCE,0.20344369495617098,0.02,1.5837187343401737,0.8230060067096281
24,GN8888.XZCE,0.22427737462155425,0.02,2.001726186066963,1.3484022354757745
37,LH8888.XDCE,0.2660372289728916,0.02,0.2856599703222712,-0.527559304551191
9,BR8888.XSGE,0.6749926249208456,0.02,0.2650048982908796,0.540994366810036
