,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,2643.297,2689.379,2524.506,2529.4,A8888.XDCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.10468846366727291,,,,,,0.5,1,0.10468846366727291,0.10468846366727291,0.10468846366727291
1,1,2005-02-28,2539.145,2794.622,2512.624,2794.199,A8888.XDCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.12238677345457494,0.10468846366727291,,,,,0.107028924,1,0.12238677345457494,0.22707523712184785,0.22707523712184785
2,2,2005-03-31,2814.945,3221.496,2776.87,3136.172,A8888.XDCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.026262909049631245,0.12238677345457494,0.10468846366727291,,,,0.12211169,1,-0.026262909049631245,0.2008123280722166,0.2008123280722166
3,3,2005-04-29,3048.546,3135.101,2964.679,3053.807,A8888.XDCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.027988343729646203,-0.026262909049631245,0.12238677345457494,0.10468846366727291,,,0.121877395,1,0.027988343729646203,0.2288006718018628,0.2288006718018628
4,4,2005-05-31,3090.908,3179.34,2950.459,3139.278,A8888.XDCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,-0.059870772833753305,0.027988343729646203,-0.026262909049631245,0.12238677345457494,0.10468846366727291,,0.028526653,1,-0.059870772833753305,0.1689298989681095,0.1689298989681095
5,5,2005-06-30,3129.501,3265.553,2941.673,2951.327,A8888.XDCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.019093783914828966,-0.059870772833753305,0.027988343729646203,-0.026262909049631245,0.12238677345457494,0.10468846366727291,-0.05724311,-1,0.019093783914828966,0.18802368288293847,0.14983611505328054
6,6,2005-07-29,2955.613,3080.017,2860.506,2894.975,A8888.XDCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,-0.0328645325089163,-0.019093783914828966,-0.059870772833753305,0.027988343729646203,-0.026262909049631245,0.12238677345457494,-0.05639507,-1,0.0328645325089163,0.22088821539185477,0.11697158254436424
7,7,2005-08-31,2890.056,2903.056,2691.7,2799.833,A8888.XDCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,-0.028288472919634877,-0.0328645325089163,-0.019093783914828966,-0.059870772833753305,0.027988343729646203,-0.026262909049631245,-0.025720455,-1,0.028288472919634877,0.24917668831148965,0.08868310962472936
8,8,2005-09-30,2768.478,2867.968,2707.294,2720.63,A8888.XDCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,-0.0037292832910025275,-0.028288472919634877,-0.0328645325089163,-0.019093783914828966,-0.059870772833753305,0.027988343729646203,-0.027964307,-1,0.0037292832910025275,0.2529059716024922,0.08495382633372683
9,9,2005-10-31,2726.689,2841.408,2698.366,2710.484,A8888.XDCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,-0.060965495461327235,-0.0037292832910025275,-0.028288472919634877,-0.0328645325089163,-0.019093783914828966,-0.059870772833753305,-0.030701807,-1,0.060965495461327235,0.3138714670638194,0.0239883308723996
