,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-05-31,6182.347,6193.718,5646.972,5857.215,AG8888.XSGE,True,2012,5,22,-79,-79,2012-04,20.2,24.36,12.0,10.1,7.4,9.0,6.8,10.9,0.6,-0.1,-9.2,-19.0,10.7,3.1,-0.7,-0.07,2012.0,4.0,-0.01559888103817253,,,,,,0.5,1,-0.01559888103817253,-0.01559888103817253,-0.01559888103817253
1,1,2012-06-29,5808.949,6163.731,5644.804,5765.849,AG8888.XSGE,True,2012,6,26,-78,-78,2012-05,20.1,24.48,10.8,7.9,7.8,8.7,9.5,10.5,13.7,1.6,-12.7,-24.4,18.5,6.2,-1.4,-0.34,2012.0,5.0,0.04206284278343064,-0.01559888103817253,,,,,-0.012546264,-1,-0.04206284278343064,-0.05766172382160317,0.026463961745258113
2,2,2012-07-31,5847.567,6028.672,5738.287,6008.377,AG8888.XSGE,True,2012,7,31,-77,-77,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012.0,6.0,0.07857912378001575,0.04206284278343064,-0.01559888103817253,,,,0.042154342,1,0.07857912378001575,0.020917399958412575,0.10504308552527386
3,3,2012-08-31,5954.04,6693.235,5832.126,6480.51,AG8888.XSGE,True,2012,8,35,-76,-76,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.13841410629718953,0.07857912378001575,0.04206284278343064,-0.01559888103817253,,,0.07811913,1,0.13841410629718953,0.1593315062556021,0.2434571918224634
4,4,2012-09-28,6708.414,7492.819,6707.142,7377.504,AG8888.XSGE,True,2012,9,39,-75,-75,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.08715400222080538,0.13841410629718953,0.07857912378001575,0.04206284278343064,-0.01559888103817253,,0.13795659,1,-0.08715400222080538,0.07217750403479672,0.156303189601658
5,5,2012-10-31,7252.075,7260.181,6648.102,6734.525,AG8888.XSGE,True,2012,10,44,-74,-74,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,0.040521343376110464,-0.08715400222080538,0.13841410629718953,0.07857912378001575,0.04206284278343064,-0.01559888103817253,0.07929578,1,0.040521343376110464,0.11269884741090719,0.19682453297776847
6,6,2012-11-30,6787.669,7099.938,6474.883,7007.417,AG8888.XSGE,True,2012,11,48,-73,-73,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,-0.0891267067451531,0.040521343376110464,-0.08715400222080538,0.13841410629718953,0.07857912378001575,0.04206284278343064,0.1379301,1,-0.0891267067451531,0.023572140665754082,0.10769782623261537
7,7,2012-12-31,6915.728,6916.814,6215.044,6382.869,AG8888.XSGE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012.0,11.0,0.04319906925866723,-0.0891267067451531,0.040521343376110464,-0.08715400222080538,0.13841410629718953,0.07857912378001575,0.040066674,1,0.04319906925866723,0.06677120992442132,0.1508968954912826
8,8,2013-01-31,6262.252,6707.704,6154.262,6658.603,AG8888.XSGE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012.0,12.0,-0.08647759897984608,0.04319906925866723,-0.0891267067451531,0.040521343376110464,-0.08715400222080538,0.13841410629718953,-0.08575115,-1,0.08647759897984608,0.1532488089042674,0.06441929651143652
9,9,2013-02-28,6549.746,6625.059,5953.577,6082.783,AG8888.XSGE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013.0,1.0,-0.03965339549347735,-0.08647759897984608,0.04319906925866723,-0.0891267067451531,0.040521343376110464,-0.08715400222080538,0.04276199,1,-0.03965339549347735,0.11359541341079005,0.02476590101795917
