,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,16440.786,16450.357,15559.901,16241.815,AL8888.XSGE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.015589329148250952,,,,,,0.5,1,0.015589329148250952,0.015589329148250952,0.015589329148250952
1,1,2005-02-28,16280.628,16574.853,16156.429,16495.014,AL8888.XSGE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.012707900702600305,0.015589329148250952,,,,,0.0184573,0,0.0,0.015589329148250952,0.028297229850851258
2,2,2005-03-31,16466.771,17145.29,16405.168,16704.631,AL8888.XSGE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.008567324833454792,0.012707900702600305,0.015589329148250952,,,,0.014268617,0,0.0,0.015589329148250952,0.03686455468430605
3,3,2005-04-29,16742.502,17002.666,16511.37,16847.745,AL8888.XSGE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.010305533470503003,0.008567324833454792,0.012707900702600305,0.015589329148250952,,,0.010092017,0,-0.0,0.015589329148250952,0.026559021213803047
4,4,2005-05-31,16793.649,16898.605,16592.902,16674.12,AL8888.XSGE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,-0.007744756544873055,-0.010305533470503003,0.008567324833454792,0.012707900702600305,0.015589329148250952,,-0.008511009,0,-0.0,0.015589329148250952,0.018814264668929992
5,5,2005-06-30,16688.22,17030.141,16476.42,16544.983,AL8888.XSGE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.0024670318488692056,-0.007744756544873055,-0.010305533470503003,0.008567324833454792,0.012707900702600305,0.015589329148250952,-0.0075353505,0,-0.0,0.015589329148250952,0.016347232820060786
6,6,2005-07-29,16487.633,16743.828,16289.288,16504.166,AL8888.XSGE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,0.0010606412950522337,-0.0024670318488692056,-0.007744756544873055,-0.010305533470503003,0.008567324833454792,0.012707900702600305,-0.002393936,0,0.0,0.015589329148250952,0.01740787411511302
7,7,2005-08-31,16493.348,16694.593,16465.409,16521.671,AL8888.XSGE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,0.00382606577748712,0.0010606412950522337,-0.0024670318488692056,-0.007744756544873055,-0.010305533470503003,0.008567324833454792,0.0010271714,0,0.0,0.015589329148250952,0.02123393989260014
8,8,2005-09-30,16517.417,16610.16,16453.232,16584.884,AL8888.XSGE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,0.02744034869342471,0.00382606577748712,0.0010606412950522337,-0.0024670318488692056,-0.007744756544873055,-0.010305533470503003,0.0031792908,0,0.0,0.015589329148250952,0.04867428858602485
9,9,2005-10-31,16691.192,17539.962,16667.327,17039.979,AL8888.XSGE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,0.030868465272169576,0.02744034869342471,0.00382606577748712,0.0010606412950522337,-0.0024670318488692056,-0.007744756544873055,0.026760334,1,0.030868465272169576,0.04645779442042053,0.07954275385819443
10,10,2005-11-30,17082.392,17688.738,17060.914,17565.977,AL8888.XSGE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.10141730232255242,0.030868465272169576,0.02744034869342471,0.00382606577748712,0.0010606412950522337,-0.0024670318488692056,0.030189408,1,0.10141730232255242,0.14787509674297294,0.18096005618074684
11,11,2005-12-30,17553.35,19847.301,17538.35,19347.471,AL8888.XSGE,True,2005,12,52,-156,-156,2005-11,27.8,38.0,,,,,,,8.5,5.0,14.7,-2.4,21.6,11.4,3.2,5.1,2005.0,11.0,0.10593803190091355,0.10141730232255242,0.030868465272169576,0.02744034869342471,0.00382606577748712,0.0010606412950522337,0.100666404,1,0.10593803190091355,0.2538131286438865,0.2868980880816604
12,12,2006-01-27,19439.114,21497.553,19305.861,21397.104,AL8888.XSGE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.10475254034377723,0.10593803190091355,0.10141730232255242,0.030868465272169576,0.02744034869342471,0.00382606577748712,0.105358206,1,-0.10475254034377723,0.14906058830010926,0.18214554773788316
13,13,2006-02-28,21839.384,22704.772,18970.582,19155.703,AL8888.XSGE,True,2006,2,9,-154,-154,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.06220194581216876,-0.10475254034377723,0.10593803190091355,0.10141730232255242,0.030868465272169576,0.02744034869342471,0.028178269,1,0.06220194581216876,0.21126253411227802,0.24434749355005192
14,14,2006-03-31,19357.599,20622.063,19024.809,20347.225,AL8888.XSGE,True,2006,3,13,-153,-153,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,0.0565582284562145,0.06220194581216876,-0.10475254034377723,0.10593803190091355,0.10141730232255242,0.030868465272169576,0.069999285,1,0.0565582284562145,0.2678207625684925,0.3009057220062664
15,15,2006-04-28,19888.177,21986.78,19831.573,21498.028,AL8888.XSGE,True,2006,4,17,-152,-152,2006-03,29.8,36.3,21.5,22.0,23.9,21.7,25.7,24.9,-12.2,-4.2,13.6,21.8,29.5,36.3,2.49,2.9,2006.0,3.0,-0.010534594149751664,0.0565582284562145,0.06220194581216876,-0.10475254034377723,0.10593803190091355,0.10141730232255242,0.10142158,1,-0.010534594149751664,0.25728616841874086,0.29037112785651475
16,16,2006-05-31,22106.553,24631.372,20929.406,21271.555,AL8888.XSGE,True,2006,5,22,-151,-151,2006-04,29.6,37.6,17.9,16.4,20.6,20.2,21.4,24.1,-2.8,-3.4,12.7,13.0,21.4,31.8,1.87,2.6,2006.0,4.0,-0.06661976522167745,-0.010534594149751664,0.0565582284562145,0.06220194581216876,-0.10475254034377723,0.10593803190091355,0.06279203,1,-0.06661976522167745,0.1906664031970634,0.2237513626348373
17,17,2006-06-30,21054.341,21450.584,19273.968,19854.449,AL8888.XSGE,True,2006,6,26,-150,-150,2006-05,30.3,37.1,18.6,18.2,21.5,20.8,23.2,23.8,-1.6,-3.7,12.2,10.1,28.4,30.6,2.43,2.6,2006.0,5.0,-0.061059614396753115,-0.06661976522167745,-0.010534594149751664,0.0565582284562145,0.06220194581216876,-0.10475254034377723,-0.005228939,0,-0.0,0.1906664031970634,0.1626917482380842
18,18,2006-07-31,19982.347,20030.961,18198.527,18642.144,AL8888.XSGE,True,2006,7,31,-149,-149,2006-06,31.3,38.6,19.2,24.5,21.9,21.8,22.3,23.9,20.4,1.3,10.8,7.3,15.4,27.8,3.52,2.7,2006.0,6.0,0.008964902320248047,-0.061059614396753115,-0.06661976522167745,-0.010534594149751664,0.0565582284562145,0.06220194581216876,-0.06071813,-1,-0.008964902320248047,0.18170150087681536,0.17165665055833224
19,19,2006-08-31,18647.186,19163.556,18099.026,18809.269,AL8888.XSGE,True,2006,8,35,-148,-148,2006-07,30.5,38.1,21.3,24.3,22.2,20.8,21.9,23.7,5.6,2.0,11.6,15.1,10.4,25.3,3.58,2.9,2006.0,7.0,0.056973186996262415,0.008964902320248047,-0.061059614396753115,-0.06661976522167745,-0.010534594149751664,0.0565582284562145,0.00909842,0,0.0,0.18170150087681536,0.22862983755459465
20,20,2006-09-29,18703.951,20986.187,18628.934,19880.893,AL8888.XSGE,True,2006,9,39,-147,-147,2006-08,29.1,36.0,21.4,22.7,23.7,21.8,20.9,23.7,16.2,4.0,12.3,17.9,13.3,24.1,3.4,2.9,2006.0,8.0,-0.011301454114762355,0.056973186996262415,0.008964902320248047,-0.061059614396753115,-0.06661976522167745,-0.010534594149751664,0.03693556,1,-0.011301454114762355,0.170400046762053,0.2173283834398323
21,21,2006-10-31,19985.687,21193.408,19520.237,19656.21,AL8888.XSGE,True,2006,10,44,-146,-146,2006-09,28.2,33.8,21.2,21.4,24.4,22.2,16.4,22.5,16.9,6.3,13.0,16.2,23.2,24.0,3.5,3.0,2006.0,9.0,0.022352783166236012,-0.011301454114762355,0.056973186996262415,0.008964902320248047,-0.061059614396753115,-0.06661976522167745,-0.01519339,0,0.0,0.170400046762053,0.2396811666060683
22,22,2006-11-30,19545.409,20613.423,19370.023,20095.581,AL8888.XSGE,True,2006,11,48,-145,-145,2006-10,26.8,30.5,21.1,19.1,22.4,22.2,16.8,22.1,22.2,8.1,13.8,22.5,35.6,25.1,2.9,3.0,2006.0,10.0,0.014730551955676185,0.022352783166236012,-0.011301454114762355,0.056973186996262415,0.008964902320248047,-0.061059614396753115,-0.010738603,0,0.0,0.170400046762053,0.2544117185617445
23,23,2006-12-29,20237.135,20512.947,19885.086,20391.6,AL8888.XSGE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.05481953353341573,0.014730551955676185,0.022352783166236012,-0.011301454114762355,0.056973186996262415,0.008964902320248047,0.012429067,0,-0.0,0.170400046762053,0.19959218502832876
24,24,2007-01-31,19974.827,20090.582,19032.568,19273.742,AL8888.XSGE,True,2007,1,5,-143,-143,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,0.026442348351451317,-0.05481953353341573,0.014730551955676185,0.022352783166236012,-0.011301454114762355,0.056973186996262415,0.022435844,1,0.026442348351451317,0.19684239511350432,0.22603453337978008
25,25,2007-02-28,19353.397,20283.983,19272.198,19783.385,AL8888.XSGE,True,2007,2,9,-142,-142,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,-0.027057503051171272,0.026442348351451317,-0.05481953353341573,0.014730551955676185,0.022352783166236012,-0.011301454114762355,0.014918309,0,-0.0,0.19684239511350432,0.1989770303286088
26,26,2007-03-30,19760.678,19841.18,19215.409,19248.096,AL8888.XSGE,True,2007,3,13,-141,-141,2007-02,23.4,26.4,23.5,16.3,15.4,24.2,15.9,23.0,12.2,31.7,12.3,-4.8,3.8,21.5,2.6,3.0,2007.0,2.0,0.04462690751334564,-0.027057503051171272,0.026442348351451317,-0.05481953353341573,0.014730551955676185,0.022352783166236012,-0.0054202224,0,0.0,0.19684239511350432,0.24360393784195444
27,27,2007-04-30,19221.272,20231.907,19132.537,20107.079,AL8888.XSGE,True,2007,4,18,-140,-140,2007-03,25.3,31.7,23.8,23.4,22.3,23.8,18.1,20.5,46.8,30.4,8.6,3.0,17.8,22.3,2.7,2.9,2007.0,3.0,-0.0107466629041445,0.04462690751334564,-0.027057503051171272,0.026442348351451317,-0.05481953353341573,0.014730551955676185,0.015093958,0,-0.0,0.19684239511350432,0.23285727493780994
28,28,2007-05-31,20398.434,20655.814,19644.19,19890.995,AL8888.XSGE,True,2007,5,22,-139,-139,2007-04,25.5,32.4,24.0,24.2,19.6,22.3,22.3,22.0,58.8,39.5,8.7,11.1,18.6,21.4,2.9,2.9,2007.0,4.0,-0.03036303613770941,-0.0107466629041445,0.04462690751334564,-0.027057503051171272,0.026442348351451317,-0.05481953353341573,0.027856436,1,-0.03036303613770941,0.1664793589757949,0.20249423880010053
