,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2017-12-29,7876.359,8139.954,7714.827,7802.265,AP8888.XZCE,True,2017,12,52,-12,-12,2017-11,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,-12.8,-1.1,7.3,10.5,1.8,4.1,5.8,6.4,2017.0,11.0,-0.05154016173508591,,,,,,0.5,1,-0.05154016173508591,-0.05154016173508591,-0.05154016173508591
1,1,2018-01-31,7800.285,7853.567,7374.341,7400.135,AP8888.XZCE,True,2018,1,5,-11,-11,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.07082451874188778,-0.05154016173508591,,,,,-0.04827475,-1,0.07082451874188778,0.019284357006801867,-0.12236468047697369
2,2,2018-02-28,7403.637,7425.792,6272.136,6876.024,AP8888.XZCE,True,2018,2,9,-10,-10,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,0.018105085148044875,-0.07082451874188778,-0.05154016173508591,,,,-0.068478,-1,-0.018105085148044875,0.0011792718587569917,-0.10425959532892881
3,3,2018-03-30,6863.645,7169.611,6604.289,7000.515,AP8888.XZCE,True,2018,3,13,-9,-9,2018-02,7.9,4.3,5.5,5.7,8.5,9.1,10.7,10.3,-6.8,4.6,6.1,11.5,0.4,-5.0,3.7,4.0,2018.0,2.0,0.17096385051671192,0.018105085148044875,-0.07082451874188778,-0.05154016173508591,,,-0.068579726,-1,-0.17096385051671192,-0.16978457865795493,0.06670425518778311
4,4,2018-04-27,7011.246,8332.127,6873.013,8197.35,AP8888.XZCE,True,2018,4,17,-8,-8,2018-03,7.5,3.8,4.5,2.8,6.8,8.2,11.4,10.7,-14.4,-3.1,3.1,-2.0,0.9,-2.6,3.1,3.7,2018.0,3.0,0.20617297053316008,0.17096385051671192,0.018105085148044875,-0.07082451874188778,-0.05154016173508591,,0.100232236,1,0.20617297053316008,0.03638839187520515,0.2728772257209432
5,5,2018-05-31,8349.785,10156.402,8081.55,9887.422,AP8888.XZCE,True,2018,5,22,-7,-7,2018-04,7.0,4.8,4.7,5.4,9.7,8.6,13.2,11.4,-6.4,-4.2,6.3,12.0,10.8,0.4,3.4,3.6,2018.0,4.0,0.046217001762441035,0.20617297053316008,0.17096385051671192,0.018105085148044875,-0.07082451874188778,-0.05154016173508591,0.1286281,1,0.046217001762441035,0.08260539363764619,0.31909422748338423
6,6,2018-06-29,9865.679,10973.91,9175.177,10344.389,AP8888.XZCE,True,2018,6,26,-6,-6,2018-05,6.1,5.2,4.2,2.5,6.6,8.2,9.6,11.0,-14.8,-9.5,5.5,6.1,9.5,2.0,4.1,3.7,2018.0,5.0,0.026066015112154117,0.046217001762441035,0.20617297053316008,0.17096385051671192,0.018105085148044875,-0.07082451874188778,0.046385836,1,0.026066015112154117,0.1086714087498003,0.34516024259553835
7,7,2018-07-31,10315.323,10623.562,9402.706,10614.026,AP8888.XZCE,True,2018,7,31,-5,-5,2018-06,6.0,6.8,3.7,1.4,6.8,7.9,11.5,11.1,-4.8,-8.2,6.1,-2.1,5.3,3.5,4.7,3.9,2018.0,6.0,0.13031982397631214,0.026066015112154117,0.046217001762441035,0.20617297053316008,0.17096385051671192,0.018105085148044875,0.026426097,1,0.13031982397631214,0.23899123272611245,0.4754800665718505
8,8,2018-08-31,10626.708,12323.838,10452.012,11997.244,AP8888.XZCE,True,2018,8,35,-4,-4,2018-07,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,-8.6,-2.7,7.1,2.4,-0.5,3.2,4.6,4.0,2018.0,7.0,-0.012390512354337413,0.13031982397631214,0.026066015112154117,0.046217001762441035,0.20617297053316008,0.17096385051671192,0.17730686,1,-0.012390512354337413,0.22660072037177503,0.4630895542175131
9,9,2018-09-28,11980.986,12472.415,11447.618,11848.592,AP8888.XZCE,True,2018,9,39,-3,-3,2018-08,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,-10.3,-6.7,5.0,-2.3,-4.4,2.2,4.1,4.0,2018.0,8.0,-0.044374133230345,-0.012390512354337413,0.13031982397631214,0.026066015112154117,0.046217001762441035,0.20617297053316008,0.10864362,1,-0.044374133230345,0.18222658714143003,0.4187154209871681
