,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2008-01-31,230.96,230.99,204.886,219.457,AU8888.XSGE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.02751336252659975,,,,,,0.5,1,0.02751336252659975,0.02751336252659975,0.02751336252659975
1,1,2008-02-29,220.701,226.56,213.759,225.495,AU8888.XSGE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,-0.07310139914410518,0.02751336252659975,,,,,0.030310731,1,-0.07310139914410518,-0.045588036617505434,-0.045588036617505434
2,2,2008-03-31,226.582,233.556,206.467,209.011,AU8888.XSGE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,-0.05993464458808384,-0.07310139914410518,0.02751336252659975,,,,0.027840797,1,-0.05993464458808384,-0.10552268120558927,-0.10552268120558927
3,3,2008-04-30,206.175,210.498,194.496,196.484,AU8888.XSGE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008.0,3.0,-0.007761446224629043,-0.05993464458808384,-0.07310139914410518,0.02751336252659975,,,-0.059484024,-1,0.007761446224629043,-0.09776123498096023,-0.11328412743021832
4,4,2008-05-30,195.258,208.413,193.475,194.959,AU8888.XSGE,True,2008,5,22,-127,-127,2008-04,25.7,31.2,18.7,15.7,21.4,22.0,20.6,22.4,-16.6,-11.7,12.9,7.7,22.2,17.4,8.12,7.2,2008.0,4.0,0.05487307587749224,-0.007761446224629043,-0.05993464458808384,-0.07310139914410518,0.02751336252659975,,-0.071012884,-1,-0.05487307587749224,-0.15263431085845247,-0.05841105155272608
5,5,2008-06-30,197.029,205.8,193.653,205.657,AU8888.XSGE,True,2008,6,27,-126,-126,2008-05,25.6,30.5,18.6,17.7,21.7,22.1,21.8,22.2,1.5,-0.2,16.2,12.5,21.7,18.1,8.22,7.4,2008.0,5.0,-0.01354682797084461,0.05487307587749224,-0.007761446224629043,-0.05993464458808384,-0.07310139914410518,0.02751336252659975,0.005784042,0,-0.0,-0.15263431085845247,-0.07195787952357069
6,6,2008-07-31,204.46,214.198,200.496,202.871,AU8888.XSGE,True,2008,7,31,-125,-125,2008-06,26.8,31.4,19.3,17.2,20.6,21.8,21.3,22.4,18.2,3.5,8.6,1.4,14.8,17.6,8.84,7.6,2008.0,6.0,-0.08589694929290048,-0.01354682797084461,0.05487307587749224,-0.007761446224629043,-0.05993464458808384,-0.07310139914410518,-0.059514754,-1,0.08589694929290048,-0.06673736156555199,-0.15785482881647117
7,7,2008-08-29,201.507,203.425,176.132,185.445,AU8888.XSGE,True,2008,8,35,-124,-124,2008-07,27.3,32.2,18.4,14.6,18.4,21.3,20.4,22.2,15.6,6.1,6.8,-2.9,13.2,17.2,10.03,8.0,2008.0,7.0,0.04509153657418641,-0.08589694929290048,-0.01354682797084461,0.05487307587749224,-0.007761446224629043,-0.05993464458808384,-0.013145484,0,0.0,-0.06673736156555199,-0.11276329224228476
8,8,2008-09-26,185.005,199.538,168.494,193.807,AU8888.XSGE,True,2008,9,39,-123,-123,2008-08,27.4,33.0,17.9,15.7,15.0,20.6,21.4,21.8,14.4,6.4,5.6,-3.5,-3.3,14.9,10.06,8.2,2008.0,8.0,-0.17895122467196745,0.04509153657418641,-0.08589694929290048,-0.01354682797084461,0.05487307587749224,-0.007761446224629043,0.04451794,1,-0.17895122467196745,-0.24568858623751944,-0.2917145169142522
9,9,2008-10-31,184.464,204.601,149.073,159.125,AU8888.XSGE,True,2008,10,44,-122,-122,2008-09,27.6,33.4,17.7,16.8,16.2,20.0,22.3,21.7,10.9,7.1,2.9,-14.5,3.2,13.6,9.13,8.3,2008.0,9.0,0.1175930871956008,-0.17895122467196745,0.04509153657418641,-0.08589694929290048,-0.01354682797084461,0.05487307587749224,-0.061981726,-1,-0.1175930871956008,-0.36328167343312023,-0.1741214297186514
