,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-12-31,126.043,138.048,120.509,122.852,BB8888.XDCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,0.07286816657441464,,,,,,0.5,1,0.07286816657441464,0.07286816657441464,0.07286816657441464
1,1,2014-01-30,123.001,132.056,117.41,131.804,BB8888.XDCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.05474037206761562,0.07286816657441464,,,,,0.07539702,1,-0.05474037206761562,0.018127794506799022,0.018127794506799022
2,2,2014-02-28,131.408,133.817,123.706,124.589,BB8888.XDCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,0.0642913900906179,-0.05474037206761562,0.07286816657441464,,,,0.07326921,1,0.0642913900906179,0.08241918459741693,0.08241918459741693
3,3,2014-03-31,124.441,134.396,124.189,132.599,BB8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,0.07552093153040373,0.0642913900906179,-0.05474037206761562,0.07286816657441464,,,-0.05150956,-1,-0.07552093153040373,0.006898253067013194,0.15794011612782066
4,4,2014-04-30,132.707,150.233,132.171,142.613,BB8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.06728699347184341,0.07552093153040373,0.0642913900906179,-0.05474037206761562,0.07286816657441464,,-0.047354694,-1,0.06728699347184341,0.07418524653885661,0.09065312265597725
5,5,2014-05-30,141.677,146.091,132.07,133.017,BB8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.03976183495342722,-0.06728699347184341,0.07552093153040373,0.0642913900906179,-0.05474037206761562,0.07286816657441464,0.06648316,1,0.03976183495342722,0.11394708149228383,0.13041495760940447
6,6,2014-06-30,133.15,138.874,129.646,138.306,BB8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,0.06247740517403422,0.03976183495342722,-0.06728699347184341,0.07552093153040373,0.0642913900906179,-0.05474037206761562,0.051181324,1,0.06247740517403422,0.17642448666631805,0.1928923627834387
7,7,2014-07-31,138.603,148.096,135.997,146.947,BB8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.009438777246218,0.06247740517403422,0.03976183495342722,-0.06728699347184341,0.07552093153040373,0.0642913900906179,0.048753507,1,-0.009438777246218,0.16698570942010005,0.1834535855372207
8,8,2014-08-29,146.334,151.58,142.91,145.56,BB8888.XDCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.07190849134377586,-0.009438777246218,0.06247740517403422,0.03976183495342722,-0.06728699347184341,0.07552093153040373,0.0399212,1,-0.07190849134377586,0.09507721807632419,0.11154509419344483
9,9,2014-09-30,140.202,140.206,130.776,135.093,BB8888.XDCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.03667103402840988,-0.07190849134377586,-0.009438777246218,0.06247740517403422,0.03976183495342722,-0.06728699347184341,0.03987075,1,-0.03667103402840988,0.05840618404791431,0.07487406016503495
10,10,2014-10-31,135.448,136.951,129.769,130.139,BB8888.XDCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.013977362666072524,-0.03667103402840988,-0.07190849134377586,-0.009438777246218,0.06247740517403422,0.03976183495342722,-0.013898539,0,-0.0,0.05840618404791431,0.06089669749896243
11,11,2014-11-28,130.161,134.071,128.266,128.32,BB8888.XDCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,0.045589152119700715,-0.013977362666072524,-0.03667103402840988,-0.07190849134377586,-0.009438777246218,0.06247740517403422,-0.03618661,-1,-0.045589152119700715,0.012817031928213596,0.10648584961866314
12,12,2014-12-31,127.919,134.407,118.179,134.17,BB8888.XDCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.17638816426921056,0.045589152119700715,-0.013977362666072524,-0.03667103402840988,-0.07190849134377586,-0.009438777246218,-0.011543474,0,-0.0,0.012817031928213596,-0.06990231465054741
13,13,2015-01-30,134.351,136.232,109.004,110.504,BB8888.XDCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.061834865706218656,-0.17638816426921056,0.045589152119700715,-0.013977362666072524,-0.03667103402840988,-0.07190849134377586,-0.036490824,-1,-0.061834865706218656,-0.04901783377800506,-0.008067448944328759
