,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2020-11-30,47199.356,51437.87,46946.679,51384.659,BC8888.XINE,True,2020,11,49,23,23,2020-10,1.8,-5.3,3.1,14.1,13.1,3.7,8.0,5.4,-7.1,-18.1,0.6,29.0,11.1,-4.1,-2.1,-2.0,2020.0,10.0,0.0019254968686275298,,,,,,0.5,1,0.0019254968686275298,0.0019254968686275298,0.0019254968686275298
1,1,2020-12-31,51427.033,53137.004,50384.117,51483.6,BC8888.XINE,True,2020,12,53,24,24,2020-11,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020.0,11.0,-0.00339799470122526,0.0019254968686275298,,,,,0.004874362,0,-0.0,0.0019254968686275298,-0.00147249783259773
2,2,2021-01-29,51460.592,54100.363,51102.732,51308.659,BC8888.XINE,True,2021,1,4,25,25,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.18345082844593552,-0.00339799470122526,0.0019254968686275298,,,,0.0015626771,0,0.0,0.0019254968686275298,0.1819783306133378
3,3,2021-02-26,51601.809,63186.142,50627.819,60721.275,BC8888.XINE,True,2021,2,8,26,26,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.041265701354261664,0.18345082844593552,-0.00339799470122526,0.0019254968686275298,,,-0.0016104484,0,-0.0,0.0019254968686275298,0.14071262925907613
4,4,2021-03-31,60011.234,61036.194,56729.678,58215.569,BC8888.XINE,True,2021,3,13,27,27,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.10699737384684838,-0.041265701354261664,0.18345082844593552,-0.00339799470122526,0.0019254968686275298,,0.1828316,1,0.10699737384684838,0.1089228707154759,0.2477100031059245
5,5,2021-04-30,58288.116,65340.084,57787.317,64444.482,BC8888.XINE,True,2021,4,17,28,28,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,0.016577416201436712,0.10699737384684838,-0.041265701354261664,0.18345082844593552,-0.00339799470122526,0.0019254968686275298,-0.026534803,-1,-0.016577416201436712,0.0923454545140392,0.2642874193073612
6,6,2021-05-31,64732.593,69432.937,63177.0,65512.805,BC8888.XINE,True,2021,5,22,29,29,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.07271918825640267,0.016577416201436712,0.10699737384684838,-0.041265701354261664,0.18345082844593552,-0.00339799470122526,-0.011863411,0,-0.0,0.0923454545140392,0.19156823105095855
7,7,2021-06-30,65955.214,66354.474,59017.23,60748.767,BC8888.XINE,True,2021,6,26,30,30,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,0.04987474066757591,-0.07271918825640267,0.016577416201436712,0.10699737384684838,-0.041265701354261664,0.18345082844593552,0.11296683,1,0.04987474066757591,0.1422201951816151,0.24144297171853446
8,8,2021-07-30,61295.824,64995.557,59919.636,63778.596,BC8888.XINE,True,2021,7,30,31,31,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.023686237934745336,0.04987474066757591,-0.07271918825640267,0.016577416201436712,0.10699737384684838,-0.041265701354261664,-0.040752396,-1,0.023686237934745336,0.16590643311636044,0.21775673378378912
9,9,2021-08-31,64018.227,64325.822,57981.165,62267.921,BC8888.XINE,True,2021,8,35,32,32,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.03521395872523192,-0.023686237934745336,0.04987474066757591,-0.07271918825640267,0.016577416201436712,0.10699737384684838,0.00090087485,0,-0.0,0.16590643311636044,0.1825427750585572
