,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-07-31,10758.711,11073.675,10728.05,10951.735,BR8888.XSGE,True,2023,7,31,55,55,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,0.10632516217749965,,,,,,0.5,1,0.10632516217749965,0.10632516217749965,0.10632516217749965
1,1,2023-08-31,10958.787,12178.85,10831.84,12116.18,BR8888.XSGE,True,2023,8,35,56,56,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.047861949888496236,0.10632516217749965,,,,,0.10865593,1,0.047861949888496236,0.1541871120659959,0.1541871120659959
2,2,2023-09-28,12209.213,14508.863,12161.419,12696.084,BR8888.XSGE,True,2023,9,39,57,57,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.010728741240212392,0.047861949888496236,0.10632516217749965,,,,0.050355263,1,0.010728741240212392,0.16491585330620828,0.16491585330620828
3,3,2023-10-31,12077.624,13297.959,12011.11,12832.297,BR8888.XSGE,True,2023,10,44,58,58,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,-0.05514749230009253,0.010728741240212392,0.047861949888496236,0.10632516217749965,,,0.013155113,0,-0.0,0.16491585330620828,0.10976836100611576
4,4,2023-11-30,12854.61,13061.909,11543.351,12124.628,BR8888.XSGE,True,2023,11,48,59,59,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.043071342065092555,-0.05514749230009253,0.010728741240212392,0.047861949888496236,0.10632516217749965,,-0.052149378,-1,-0.043071342065092555,0.12184451124111573,0.1528397030712083
5,5,2023-12-29,12104.89,12936.32,11405.914,12646.852,BR8888.XSGE,True,2023,12,52,60,60,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.00359765418303315,0.043071342065092555,-0.05514749230009253,0.010728741240212392,0.047861949888496236,0.10632516217749965,0.043193273,1,-0.00359765418303315,0.11824685705808258,0.14924204888817516
6,6,2024-01-31,12801.082,12920.056,11869.984,12601.353,BR8888.XSGE,True,2024,1,5,61,61,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.05369423426198772,-0.00359765418303315,0.043071342065092555,-0.05514749230009253,0.010728741240212392,0.047861949888496236,0.009375249,0,0.0,0.11824685705808258,0.20293628315016288
7,7,2024-02-29,12633.964,13671.916,12299.397,13277.973,BR8888.XSGE,True,2024,2,9,62,62,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.006074270523068526,0.05369423426198772,-0.00359765418303315,0.043071342065092555,-0.05514749230009253,0.010728741240212392,0.0058082184,0,0.0,0.11824685705808258,0.2090105536732314
8,8,2024-03-29,13300.469,14507.087,12972.378,13358.627,BR8888.XSGE,True,2024,3,13,63,63,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.02220609947414509,0.006074270523068526,0.05369423426198772,-0.00359765418303315,0.043071342065092555,-0.05514749230009253,-0.05254298,-1,0.02220609947414509,0.14045295653222767,0.1868044541990863
9,9,2024-04-30,13383.036,13798.49,12762.806,13061.984,BR8888.XSGE,True,2024,4,18,64,64,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.02220609947414509,-0.02220609947414509,0.006074270523068526,0.05369423426198772,-0.00359765418303315,0.043071342065092555,0.04408578,1,-0.02220609947414509,0.11824685705808258,0.16459835472494122
