,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-10-31,4602.219,4658.246,4229.442,4293.689,BU8888.XSGE,True,2013,10,44,-62,-62,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013.0,9.0,0.014561604252194327,,,,,,0.5,1,0.014561604252194327,0.014561604252194327,0.014561604252194327
1,1,2013-11-29,4289.457,4447.808,4251.185,4356.212,BU8888.XSGE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.010231825264702454,0.014561604252194327,,,,,0.017435657,0,-0.0,0.014561604252194327,0.004329778987491872
2,2,2013-12-31,4365.418,4443.376,4269.591,4311.64,BU8888.XSGE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,0.01833710606636929,-0.010231825264702454,0.014561604252194327,,,,0.0145238405,0,0.0,0.014561604252194327,0.022666885053861163
3,3,2014-01-30,4309.827,4492.314,4221.78,4390.703,BU8888.XSGE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.029572029809349587,0.01833710606636929,-0.010231825264702454,0.014561604252194327,,,-0.00823951,0,-0.0,0.014561604252194327,-0.006905144755488424
4,4,2014-02-28,4394.889,4440.933,4213.157,4260.861,BU8888.XSGE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,-0.020762939696929772,-0.029572029809349587,0.01833710606636929,-0.010231825264702454,0.014561604252194327,,0.017744418,0,-0.0,0.014561604252194327,-0.027668084452418196
5,5,2014-03-31,4270.908,4289.775,4050.882,4172.393,BU8888.XSGE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,0.014850231030490324,-0.020762939696929772,-0.029572029809349587,0.01833710606636929,-0.010231825264702454,0.014561604252194327,-0.019714551,0,0.0,0.014561604252194327,-0.012817853421927872
6,6,2014-04-30,4168.486,4239.74,4097.446,4234.354,BU8888.XSGE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.015346142528470885,0.014850231030490324,-0.020762939696929772,-0.029572029809349587,0.01833710606636929,-0.010231825264702454,0.0071501783,0,-0.0,0.014561604252194327,-0.028163995950398757
7,7,2014-05-30,4238.658,4242.386,4124.379,4169.373,BU8888.XSGE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.020817038916882913,-0.015346142528470885,0.014850231030490324,-0.020762939696929772,-0.029572029809349587,0.01833710606636929,-0.015108142,0,0.0,0.014561604252194327,-0.007346957033515844
8,8,2014-06-30,4181.423,4272.152,4130.413,4256.167,BU8888.XSGE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.0013829344572241498,0.020817038916882913,-0.015346142528470885,0.014850231030490324,-0.020762939696929772,-0.029572029809349587,0.012412417,0,-0.0,0.014561604252194327,-0.008729891490739994
9,9,2014-07-31,4252.04,4306.029,4220.194,4250.281,BU8888.XSGE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.004626988192074855,-0.0013829344572241498,0.020817038916882913,-0.015346142528470885,0.014850231030490324,-0.020762939696929772,-0.014700263,0,0.0,0.014561604252194327,-0.004102903298665139
