,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-04-30,8885.726,8993.088,8680.283,8813.371,CJ8888.XZCE,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,0.1892855752923599,,,,,,0.5,1,0.1892855752923599,0.1892855752923599,0.1892855752923599
1,1,2019-05-31,8786.884,10943.189,8523.311,10481.615,CJ8888.XZCE,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,-0.01440236070491041,0.1892855752923599,,,,,0.19112517,1,-0.01440236070491041,0.1748832145874495,0.1748832145874495
2,2,2019-06-28,10434.116,10668.673,9602.355,10330.655,CJ8888.XZCE,True,2019,6,26,6,6,2019-05,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,-3.1,-30.1,-9.0,-17.4,-21.5,-14.1,0.6,0.4,2019.0,5.0,-0.006981648307875954,-0.01440236070491041,0.1892855752923599,,,,0.18965136,1,-0.006981648307875954,0.16790156627957353,0.16790156627957353
3,3,2019-07-31,10370.392,10682.526,9991.982,10258.53,CJ8888.XZCE,True,2019,7,31,7,7,2019-06,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,-2.9,-23.7,-10.5,-14.0,-15.2,-14.2,0.0,0.3,2019.0,6.0,0.04295625201661446,-0.006981648307875954,-0.01440236070491041,0.1892855752923599,,,-0.0067040287,0,0.0,0.16790156627957353,0.210857818296188
4,4,2019-08-30,10217.212,10976.209,10018.989,10699.198,CJ8888.XZCE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,-0.04337512026602364,0.04295625201661446,-0.006981648307875954,-0.01440236070491041,0.1892855752923599,,0.043161664,1,-0.04337512026602364,0.1245264460135499,0.16748269803016436
5,5,2019-09-30,10702.815,11526.651,10052.07,10235.119,CJ8888.XZCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,0.04303115576868222,-0.04337512026602364,0.04295625201661446,-0.006981648307875954,-0.01440236070491041,0.1892855752923599,-0.033744376,-1,-0.04303115576868222,0.08149529024486768,0.21051385379884657
6,6,2019-10-31,10240.949,10759.939,9798.61,10675.548,CJ8888.XZCE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,0.03826023731990147,0.04303115576868222,-0.04337512026602364,0.04295625201661446,-0.006981648307875954,-0.01440236070491041,0.035392545,1,0.03826023731990147,0.11975552756476915,0.24877409111874804
7,7,2019-11-29,10686.922,11225.948,10615.03,11083.997,CJ8888.XZCE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,-0.015233854718654238,0.03826023731990147,0.04303115576868222,-0.04337512026602364,0.04295625201661446,-0.006981648307875954,-0.0408068,-1,0.015233854718654238,0.1349893822834234,0.2335402364000938
8,8,2019-12-31,11051.858,11099.661,10619.069,10915.145,CJ8888.XZCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.024263076670076433,-0.015233854718654238,0.03826023731990147,0.04303115576868222,-0.04337512026602364,0.04295625201661446,0.042650975,1,-0.024263076670076433,0.11072630561334695,0.20927715973001737
9,9,2020-01-23,10942.609,10971.973,10143.91,10650.31,CJ8888.XZCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.016941197016800413,-0.024263076670076433,-0.015233854718654238,0.03826023731990147,0.04303115576868222,-0.04337512026602364,-0.023773702,-1,0.016941197016800413,0.12766750263014737,0.19233596271321696
