,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-12-31,2829.019,2855.356,2695.488,2740.086,CS8888.XDCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,0.02794583819631935,,,,,,0.5,1,0.02794583819631935,0.02794583819631935,0.02794583819631935
1,1,2015-01-30,2747.1,2859.141,2651.042,2816.66,CS8888.XDCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.03704777999474551,0.02794583819631935,,,,,0.030740652,1,0.03704777999474551,0.06499361819106486,0.06499361819106486
2,2,2015-02-27,2819.104,2941.173,2804.705,2921.011,CS8888.XDCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,0.046695818673740064,0.03704777999474551,0.02794583819631935,,,,0.036739357,1,0.046695818673740064,0.11168943686480493,0.11168943686480493
3,3,2015-03-31,2921.85,3087.328,2889.228,3057.41,CS8888.XDCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.03451614274827375,0.046695818673740064,0.03704777999474551,0.02794583819631935,,,0.046250463,1,-0.03451614274827375,0.07717329411653118,0.07717329411653118
4,4,2015-04-30,3050.642,3055.95,2892.466,2951.88,CS8888.XDCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.024584332696451106,-0.03451614274827375,0.046695818673740064,0.03704777999474551,0.02794583819631935,,0.037090246,1,-0.024584332696451106,0.05258896142008007,0.05258896142008007
5,5,2015-05-29,2944.212,3003.396,2844.392,2879.31,CS8888.XDCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.030614279115482534,-0.024584332696451106,-0.03451614274827375,0.046695818673740064,0.03704777999474551,0.02794583819631935,0.041866664,1,-0.030614279115482534,0.021974682304597537,0.021974682304597537
6,6,2015-06-30,2886.158,2902.18,2776.315,2791.162,CS8888.XDCE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.0751600946129245,-0.030614279115482534,-0.024584332696451106,-0.03451614274827375,0.046695818673740064,0.03704777999474551,-0.030327525,-1,0.0751600946129245,0.09713477691752204,-0.05318541230832696
7,7,2015-07-31,2807.486,2842.324,2570.352,2581.378,CS8888.XDCE,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.0773470603685319,-0.0751600946129245,-0.030614279115482534,-0.024584332696451106,-0.03451614274827375,0.046695818673740064,-0.0726705,-1,0.0773470603685319,0.17448183728605393,-0.13053247267685886
8,8,2015-08-31,2571.942,2574.117,2372.393,2381.716,CS8888.XDCE,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.11379274439101894,-0.0773470603685319,-0.0751600946129245,-0.030614279115482534,-0.024584332696451106,-0.03451614274827375,-0.07578602,-1,0.11379274439101894,0.28827458167707287,-0.2443252170678778
9,9,2015-09-30,2390.427,2408.558,2106.852,2110.694,CS8888.XDCE,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.07399604111254399,-0.11379274439101894,-0.0773470603685319,-0.0751600946129245,-0.030614279115482534,-0.024584332696451106,-0.11126753,-1,0.07399604111254399,0.36227062278961686,-0.3183212581804218
