,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,29465.239,30314.647,28202.232,29767.136,CU8888.XSGE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.044839113846894874,,,,,,0.5,1,0.044839113846894874,0.044839113846894874,0.044839113846894874
1,1,2005-02-28,29839.894,31242.924,29003.732,31101.868,CU8888.XSGE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.025302885344378634,0.044839113846894874,,,,,0.047533907,1,0.025302885344378634,0.07014199919127351,0.07014199919127351
2,2,2005-03-31,30897.558,32128.185,30340.561,31888.835,CU8888.XSGE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.023580792462314815,0.025302885344378634,0.044839113846894874,,,,0.02742189,1,0.023580792462314815,0.09372279165358832,0.09372279165358832
3,3,2005-04-29,31964.062,33812.466,31613.622,32640.799,CU8888.XSGE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.07422355071639031,0.023580792462314815,0.025302885344378634,0.044839113846894874,,,0.025033152,1,-0.07422355071639031,0.019499240937198015,0.019499240937198015
4,4,2005-05-31,32546.372,33211.098,30184.411,30218.083,CU8888.XSGE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,0.09951193793464652,-0.07422355071639031,0.023580792462314815,0.025302885344378634,0.044839113846894874,,-0.07110615,-1,-0.09951193793464652,-0.08001269699744851,0.11901117887184454
5,5,2005-06-30,30389.96,34199.661,30268.975,33225.143,CU8888.XSGE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,0.04633123776171555,0.09951193793464652,-0.07422355071639031,0.023580792462314815,0.025302885344378634,0.044839113846894874,0.02545838,1,0.04633123776171555,-0.03368145923573296,0.16534241663356009
6,6,2005-07-29,32417.644,35186.538,31978.652,34764.505,CU8888.XSGE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,0.006433976264008434,0.04633123776171555,0.09951193793464652,-0.07422355071639031,0.023580792462314815,0.025302885344378634,0.024206275,1,0.006433976264008434,-0.027247482971724524,0.17177639289756852
7,7,2005-08-31,34746.239,35175.974,33391.862,34988.179,CU8888.XSGE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,0.02186066899909278,0.006433976264008434,0.04633123776171555,0.09951193793464652,-0.07422355071639031,0.023580792462314815,-0.07072072,-1,-0.02186066899909278,-0.049108151970817304,0.1936370618966613
8,8,2005-09-30,34631.953,35999.868,33902.787,35753.044,CU8888.XSGE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,0.01867301145043765,0.02186066899909278,0.006433976264008434,0.04633123776171555,0.09951193793464652,-0.07422355071639031,-0.044984326,-1,-0.01867301145043765,-0.06778116342125495,0.21231007334709895
9,9,2005-10-31,36626.246,37834.29,36322.977,36420.661,CU8888.XSGE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,0.021669430985890026,0.01867301145043765,0.02186066899909278,0.006433976264008434,0.04633123776171555,0.09951193793464652,0.04323521,1,0.021669430985890026,-0.04611173243536493,0.23397950433298897
10,10,2005-11-30,36378.911,37707.647,35499.707,37209.876,CU8888.XSGE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.11971628177422589,0.021669430985890026,0.01867301145043765,0.02186066899909278,0.006433976264008434,0.04633123776171555,0.020403067,1,0.11971628177422589,0.07360454933886096,0.35369578610721486
11,11,2005-12-30,37246.613,42344.079,37037.824,41664.504,CU8888.XSGE,True,2005,12,52,-156,-156,2005-11,27.8,38.0,,,,,,,8.5,5.0,14.7,-2.4,21.6,11.4,3.2,5.1,2005.0,11.0,0.09849787243357078,0.11971628177422589,0.021669430985890026,0.01867301145043765,0.02186066899909278,0.006433976264008434,0.10467051,1,0.09849787243357078,0.17210242177243174,0.45219365854078564
12,12,2006-01-27,41921.159,45872.428,41895.738,45768.369,CU8888.XSGE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.01978803308459598,0.09849787243357078,0.11971628177422589,0.021669430985890026,0.01867301145043765,0.02186066899909278,0.098379344,1,-0.01978803308459598,0.15231438868783576,0.43240562545618966
13,13,2006-02-28,47455.029,49214.703,44261.138,44862.703,CU8888.XSGE,True,2006,2,9,-154,-154,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.12048774680384278,-0.01978803308459598,0.09849787243357078,0.11971628177422589,0.021669430985890026,0.01867301145043765,-0.017447863,0,0.0,0.15231438868783576,0.5528933722600324
14,14,2006-03-31,45333.626,50534.749,44714.229,50268.109,CU8888.XSGE,True,2006,3,13,-153,-153,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,0.34845165948056667,0.12048774680384278,-0.01978803308459598,0.09849787243357078,0.11971628177422589,0.021669430985890026,0.119614154,1,0.34845165948056667,0.5007660481684024,0.9013450317405991
15,15,2006-04-28,49834.898,69557.765,49726.292,67784.115,CU8888.XSGE,True,2006,4,17,-152,-152,2006-03,29.8,36.3,21.5,22.0,23.9,21.7,25.7,24.9,-12.2,-4.2,13.6,21.8,29.5,36.3,2.49,2.9,2006.0,3.0,0.07902764534138984,0.34845165948056667,0.12048774680384278,-0.01978803308459598,0.09849787243357078,0.11971628177422589,0.2057875,1,0.07902764534138984,0.5797936935097923,0.9803726770819889
16,16,2006-05-31,69882.576,84580.408,69777.22,73140.934,CU8888.XSGE,True,2006,5,22,-151,-151,2006-04,29.6,37.6,17.9,16.4,20.6,20.2,21.4,24.1,-2.8,-3.4,12.7,13.0,21.4,31.8,1.87,2.6,2006.0,4.0,-0.1552837977157906,0.07902764534138984,0.34845165948056667,0.12048774680384278,-0.01978803308459598,0.09849787243357078,-0.0006264146,0,-0.0,0.5797936935097923,0.8250888793661983
17,17,2006-06-30,71559.775,71922.721,54831.349,61783.332,CU8888.XSGE,True,2006,6,26,-150,-150,2006-05,30.3,37.1,18.6,18.2,21.5,20.8,23.2,23.8,-1.6,-3.7,12.2,10.1,28.4,30.6,2.43,2.6,2006.0,5.0,0.09439981320528323,-0.1552837977157906,0.07902764534138984,0.34845165948056667,0.12048774680384278,-0.01978803308459598,0.120560996,1,0.09439981320528323,0.6741935067150755,0.9194886925714816
18,18,2006-07-31,63490.327,73256.883,60598.952,67615.667,CU8888.XSGE,True,2006,7,31,-149,-149,2006-06,31.3,38.6,19.2,24.5,21.9,21.8,22.3,23.9,20.4,1.3,10.8,7.3,15.4,27.8,3.52,2.7,2006.0,6.0,-0.006581610738233268,0.09439981320528323,-0.1552837977157906,0.07902764534138984,0.34845165948056667,0.12048774680384278,0.32175884,1,-0.006581610738233268,0.6676118959768422,0.9129070818332483
19,19,2006-08-31,67883.872,70607.739,65710.316,67170.647,CU8888.XSGE,True,2006,8,35,-148,-148,2006-07,30.5,38.1,21.3,24.3,22.2,20.8,21.9,23.7,5.6,2.0,11.6,15.1,10.4,25.3,3.58,2.9,2006.0,7.0,0.05660884880266237,-0.006581610738233268,0.09439981320528323,-0.1552837977157906,0.07902764534138984,0.34845165948056667,-0.0029786383,0,0.0,0.6676118959768422,0.9695159306359107
20,20,2006-09-29,68522.172,75088.112,67714.501,70973.1,CU8888.XSGE,True,2006,9,39,-147,-147,2006-08,29.1,36.0,21.4,22.7,23.7,21.8,20.9,23.7,16.2,4.0,12.3,17.9,13.3,24.1,3.4,2.9,2006.0,8.0,-0.023564026370554658,0.05660884880266237,-0.006581610738233268,0.09439981320528323,-0.1552837977157906,0.07902764534138984,0.06906663,1,-0.023564026370554658,0.6440478696062876,0.945951904265356
21,21,2006-10-31,70746.471,72481.267,68142.009,69300.688,CU8888.XSGE,True,2006,10,44,-146,-146,2006-09,28.2,33.8,21.2,21.4,24.4,22.2,16.4,22.5,16.9,6.3,13.0,16.2,23.2,24.0,3.5,3.0,2006.0,9.0,-0.05335515572370653,-0.023564026370554658,0.05660884880266237,-0.006581610738233268,0.09439981320528323,-0.1552837977157906,0.05664749,1,-0.05335515572370653,0.590692713882581,0.8925967485416495
22,22,2006-11-30,69041.719,69761.156,61332.056,65603.139,CU8888.XSGE,True,2006,11,48,-145,-145,2006-10,26.8,30.5,21.1,19.1,22.4,22.2,16.8,22.1,22.2,8.1,13.8,22.5,35.6,25.1,2.9,3.0,2006.0,10.0,-0.07928811150332304,-0.05335515572370653,-0.023564026370554658,0.05660884880266237,-0.006581610738233268,0.09439981320528323,-0.021485088,-1,0.07928811150332304,0.6699808253859041,0.8133086370383265
23,23,2006-12-29,66056.46,66364.842,59053.328,60401.59,CU8888.XSGE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.12384428952946436,-0.07928811150332304,-0.05335515572370653,-0.023564026370554658,0.05660884880266237,-0.006581610738233268,-0.07686545,-1,0.12384428952946436,0.7938251149153684,0.6894643475088621
