,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2017-08-31,22987.194,23317.006,22895.785,23012.035,CY8888.XZCE,True,2017,8,35,-16,-16,2017-07,8.3,4.8,7.9,5.4,11.5,11.2,11.9,12.1,2.8,3.6,5.2,6.8,4.3,6.0,5.5,6.4,2017.0,7.0,-0.004180855800019367,,,,,,0.5,1,-0.004180855800019367,-0.004180855800019367,-0.004180855800019367
1,1,2017-09-29,22990.996,24065.228,22592.87,22915.825,CY8888.XZCE,True,2017,9,39,-15,-15,2017-08,7.8,4.5,7.4,4.4,10.7,11.1,12.1,12.1,7.8,2.3,7.8,7.9,4.7,5.9,6.3,6.4,2017.0,8.0,0.0010527659379488963,-0.004180855800019367,,,,,-0.0011958377,0,0.0,-0.004180855800019367,-0.003128089862070471
2,2,2017-10-31,23033.036,23087.454,22767.632,22939.95,CY8888.XZCE,True,2017,10,44,-14,-14,2017-09,7.5,4.2,7.2,5.2,10.6,11.1,11.3,12.0,4.6,4.3,7.4,3.0,3.1,4.9,6.9,6.5,2017.0,9.0,0.011407566276299574,0.0010527659379488963,-0.004180855800019367,,,,0.00070894294,0,0.0,-0.004180855800019367,0.008279476414229103
3,3,2017-11-30,22990.799,23230.454,22863.993,23201.639,CY8888.XZCE,True,2017,11,48,-13,-13,2017-10,7.3,4.1,6.9,4.4,9.6,10.9,12.3,12.1,-2.5,0.7,7.3,6.3,0.6,5.3,6.9,6.5,2017.0,10.0,-0.005769463096982119,0.011407566276299574,0.0010527659379488963,-0.004180855800019367,,,0.007243325,0,-0.0,-0.004180855800019367,0.002510013317246984
4,4,2017-12-29,23079.011,23945.734,22897.331,23067.778,CY8888.XZCE,True,2017,12,52,-12,-12,2017-11,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,-12.8,-1.1,7.3,10.5,1.8,4.1,5.8,6.4,2017.0,11.0,0.007277684049152855,-0.005769463096982119,0.011407566276299574,0.0010527659379488963,-0.004180855800019367,,0.00093083386,0,0.0,-0.004180855800019367,0.009787697366399839
5,5,2018-01-31,22916.125,23486.172,22916.125,23235.658,CY8888.XZCE,True,2018,1,5,-11,-11,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.0020276593845544033,0.007277684049152855,-0.005769463096982119,0.011407566276299574,0.0010527659379488963,-0.004180855800019367,0.00534126,0,-0.0,-0.004180855800019367,0.007760037981845436
6,6,2018-02-28,23293.716,23353.331,22883.331,23188.544,CY8888.XZCE,True,2018,2,9,-10,-10,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,0.005851467000256516,-0.0020276593845544033,0.007277684049152855,-0.005769463096982119,0.011407566276299574,0.0010527659379488963,0.0020090372,0,0.0,-0.004180855800019367,0.013611504982101952
7,7,2018-03-30,23188.544,23757.692,22853.077,23324.231,CY8888.XZCE,True,2018,3,13,-9,-9,2018-02,7.9,4.3,5.5,5.7,8.5,9.1,10.7,10.3,-6.8,4.6,6.1,11.5,0.4,-5.0,3.7,4.0,2018.0,2.0,-0.0028181422144206714,0.005851467000256516,-0.0020276593845544033,0.007277684049152855,-0.005769463096982119,0.011407566276299574,-0.0018408308,0,-0.0,-0.004180855800019367,0.01079336276768128
8,8,2018-04-27,23017.498,23567.634,22775.529,23258.5,CY8888.XZCE,True,2018,4,17,-8,-8,2018-03,7.5,3.8,4.5,2.8,6.8,8.2,11.4,10.7,-14.4,-3.1,3.1,-2.0,0.9,-2.6,3.1,3.7,2018.0,3.0,0.14113459595416744,-0.0028181422144206714,0.005851467000256516,-0.0020276593845544033,0.007277684049152855,-0.005769463096982119,0.005694986,0,0.0,-0.004180855800019367,0.15192795872184872
9,9,2018-05-31,23182.141,28457.772,22882.498,26541.079,CY8888.XZCE,True,2018,5,22,-7,-7,2018-04,7.0,4.8,4.7,5.4,9.7,8.6,13.2,11.4,-6.4,-4.2,6.3,12.0,10.8,0.4,3.4,3.6,2018.0,4.0,-0.06182736579775072,0.14113459595416744,-0.0028181422144206714,0.005851467000256516,-0.0020276593845544033,0.007277684049152855,-0.0016073973,0,-0.0,-0.004180855800019367,0.090100592924098
10,10,2018-06-29,26562.055,27391.635,24710.498,24900.114,CY8888.XZCE,True,2018,6,26,-6,-6,2018-05,6.1,5.2,4.2,2.5,6.6,8.2,9.6,11.0,-14.8,-9.5,5.5,6.1,9.5,2.0,4.1,3.7,2018.0,5.0,0.029157256067181114,-0.06182736579775072,0.14113459595416744,-0.0028181422144206714,0.005851467000256516,-0.0020276593845544033,0.14049673,1,0.029157256067181114,0.024976400267161747,0.11925784899127911
11,11,2018-07-31,24904.552,25763.997,24250.689,25626.133,CY8888.XZCE,True,2018,7,31,-5,-5,2018-06,6.0,6.8,3.7,1.4,6.8,7.9,11.5,11.1,-4.8,-8.2,6.1,-2.1,5.3,3.5,4.7,3.9,2018.0,6.0,0.02537175624586019,0.029157256067181114,-0.06182736579775072,0.14113459595416744,-0.0028181422144206714,0.005851467000256516,-0.0021851119,0,0.0,0.024976400267161747,0.1446296052371393
12,12,2018-08-31,25586.062,27340.984,24795.086,26276.313,CY8888.XZCE,True,2018,8,35,-4,-4,2018-07,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,-8.6,-2.7,7.1,2.4,-0.5,3.2,4.6,4.0,2018.0,7.0,-0.07627333408610248,0.02537175624586019,0.029157256067181114,-0.06182736579775072,0.14113459595416744,-0.0028181422144206714,0.13705258,1,-0.07627333408610248,-0.05129693381894074,0.06835627115103682
13,13,2018-09-28,26254.171,27511.657,24012.886,24272.131,CY8888.XZCE,True,2018,9,39,-3,-3,2018-08,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,-10.3,-6.7,5.0,-2.3,-4.4,2.2,4.1,4.0,2018.0,8.0,-0.04183584045422295,-0.07627333408610248,0.02537175624586019,0.029157256067181114,-0.06182736579775072,0.14113459595416744,0.029133571,1,-0.04183584045422295,-0.09313277427316369,0.026520430696813868
14,14,2018-10-31,24181.647,24970.757,23138.166,23256.686,CY8888.XZCE,True,2018,10,44,-2,-2,2018-09,5.4,8.7,3.7,3.7,6.1,7.4,9.7,10.8,-16.2,-8.2,4.6,0.0,-10.6,0.6,3.6,4.0,2018.0,9.0,0.014982444188307742,-0.04183584045422295,-0.07627333408610248,0.02537175624586019,0.029157256067181114,-0.06182736579775072,0.025436355,1,0.014982444188307742,-0.07815033008485595,0.04150287488512161
15,15,2018-11-30,23243.015,23826.494,22265.845,23605.128,CY8888.XZCE,True,2018,11,48,-1,-1,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,0.00850510109498237,0.014982444188307742,-0.04183584045422295,-0.07627333408610248,0.02537175624586019,0.029157256067181114,-0.01715555,0,0.0,-0.07815033008485595,0.05000797598010398
16,16,2018-12-28,23615.362,24395.412,23148.934,23805.892,CY8888.XZCE,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.031577140650726365,0.00850510109498237,0.014982444188307742,-0.04183584045422295,-0.07627333408610248,0.02537175624586019,-0.041291695,-1,-0.031577140650726365,-0.10972747073558231,0.08158511663083035
17,17,2019-01-31,23643.421,24749.498,23612.179,24557.614,CY8888.XZCE,True,2019,1,5,1,1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,-0.003822113988761311,0.031577140650726365,0.00850510109498237,0.014982444188307742,-0.04183584045422295,-0.07627333408610248,-0.017341828,0,-0.0,-0.10972747073558231,0.07776300264206903
18,18,2019-02-28,24699.196,25221.585,24139.476,24463.752,CY8888.XZCE,True,2019,2,9,2,2,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.00043288535626095914,-0.003822113988761311,0.031577140650726365,0.00850510109498237,0.014982444188307742,-0.04183584045422295,0.0026173568,0,-0.0,-0.10972747073558231,0.07733011728580808
19,19,2019-03-29,24472.815,24965.128,23758.643,24453.162,CY8888.XZCE,True,2019,3,13,3,3,2019-02,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,0.3,0.9,0.0,-17.4,-14.9,-15.1,0.1,0.1,2019.0,2.0,-0.0097092964909814,-0.00043288535626095914,-0.003822113988761311,0.031577140650726365,0.00850510109498237,0.014982444188307742,-8.9478606e-05,0,-0.0,-0.10972747073558231,0.06762082079482667
20,20,2019-04-30,24457.917,24827.643,24090.506,24215.739,CY8888.XZCE,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,-0.10366951840701621,-0.0097092964909814,-0.00043288535626095914,-0.003822113988761311,0.031577140650726365,0.00850510109498237,-0.00031725832,0,-0.0,-0.10972747073558231,-0.03604869761218954
21,21,2019-05-31,24141.328,24364.131,21500.987,21705.305,CY8888.XZCE,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,0.006708636437037008,-0.10366951840701621,-0.0097092964909814,-0.00043288535626095914,-0.003822113988761311,0.031577140650726365,-0.1004223,-1,-0.006708636437037008,-0.11643610717261932,-0.029340061175152532
22,22,2019-06-28,21605.152,22175.455,20516.205,21850.918,CY8888.XZCE,True,2019,6,26,6,6,2019-05,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,-3.1,-30.1,-9.0,-17.4,-21.5,-14.1,0.6,0.4,2019.0,5.0,-0.02492943317072538,0.006708636437037008,-0.10366951840701621,-0.0097092964909814,-0.00043288535626095914,-0.003822113988761311,-0.095976524,-1,0.02492943317072538,-0.09150667400189394,-0.05426949434587791
23,23,2019-07-31,21910.945,22485.135,20975.726,21306.187,CY8888.XZCE,True,2019,7,31,7,7,2019-06,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,-2.9,-23.7,-10.5,-14.0,-15.2,-14.2,0.0,0.3,2019.0,6.0,-0.04671840156101148,-0.02492943317072538,0.006708636437037008,-0.10366951840701621,-0.0097092964909814,-0.00043288535626095914,-0.01542475,0,-0.0,-0.09150667400189394,-0.10098789590688939
24,24,2019-08-30,21381.337,21456.223,19966.221,20310.796,CY8888.XZCE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,-0.012501085629534114,-0.04671840156101148,-0.02492943317072538,0.006708636437037008,-0.10366951840701621,-0.0097092964909814,-0.0097422255,0,-0.0,-0.09150667400189394,-0.1134889815364235
25,25,2019-09-30,20290.794,21899.876,19806.233,20056.889,CY8888.XZCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,0.054514286836807146,-0.012501085629534114,-0.04671840156101148,-0.02492943317072538,0.006708636437037008,-0.10366951840701621,-0.024701033,-1,-0.054514286836807146,-0.14602096083870109,-0.05897469469961636
26,26,2019-10-31,20012.023,21340.094,20012.023,21150.276,CY8888.XZCE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,-0.016988525350685846,0.054514286836807146,-0.012501085629534114,-0.04671840156101148,-0.02492943317072538,0.006708636437037008,0.009065079,0,-0.0,-0.14602096083870109,-0.0759632200503022
27,27,2019-11-29,21050.28,21285.126,20445.721,20790.964,CY8888.XZCE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,0.06046992337632817,-0.016988525350685846,0.054514286836807146,-0.012501085629534114,-0.04671840156101148,-0.02492943317072538,-0.032596305,-1,-0.06046992337632817,-0.20649088421502926,-0.015493296673974033
28,28,2019-12-31,20748.758,22259.499,20590.964,22048.192,CY8888.XZCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.029806843118927784,0.06046992337632817,-0.016988525350685846,0.054514286836807146,-0.012501085629534114,-0.04671840156101148,0.054394156,1,-0.029806843118927784,-0.23629772733395704,-0.04530013979290182
29,29,2020-01-23,22100.449,22420.422,21051.391,21391.005,CY8888.XZCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.05511517574793712,-0.029806843118927784,0.06046992337632817,-0.016988525350685846,0.054514286836807146,-0.012501085629534114,0.05836277,1,-0.05511517574793712,-0.29141290308189416,-0.10041531554083893
