,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-09-30,8063.355,8142.956,7886.052,7944.0,EB8888.XDCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,-0.07784541792547839,,,,,,0.5,1,-0.07784541792547839,-0.07784541792547839,-0.07784541792547839
1,1,2019-10-31,7905.928,7983.337,7317.274,7325.596,EB8888.XDCE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,-0.027383164455151543,-0.07784541792547839,,,,,-0.07442426,-1,0.027383164455151543,-0.050462253470326845,-0.10522858238062993
2,2,2019-11-29,7316.795,7377.182,6876.531,7124.998,EB8888.XDCE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,0.02104070766054944,-0.027383164455151543,-0.07784541792547839,,,,-0.027210476,-1,-0.02104070766054944,-0.07150296113087629,-0.08418787472008049
3,3,2019-12-31,7115.072,7492.248,7011.702,7274.913,EB8888.XDCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,0.0009612486087462457,0.02104070766054944,-0.027383164455151543,-0.07784541792547839,,,-0.026138315,-1,-0.0009612486087462457,-0.07246420973962253,-0.08322662611133425
4,4,2020-01-23,7287.542,7585.074,7261.314,7281.906,EB8888.XDCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.0788093117378883,0.0009612486087462457,0.02104070766054944,-0.027383164455151543,-0.07784541792547839,,0.0010220364,0,-0.0,-0.07246420973962253,-0.16203593784922254
5,5,2020-02-28,6891.598,7085.16,6488.41,6708.024,EB8888.XDCE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,-0.32239330091842255,-0.0788093117378883,0.0009612486087462457,0.02104070766054944,-0.027383164455151543,-0.07784541792547839,-0.07742043,-1,0.32239330091842255,0.24992909117880002,-0.4844292387676451
6,6,2020-03-31,6687.745,6862.629,4442.238,4545.402,EB8888.XDCE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,0.2133586864264152,-0.32239330091842255,-0.0788093117378883,0.0009612486087462457,0.02104070766054944,-0.027383164455151543,-0.2584075,-1,-0.2133586864264152,0.03657040475238482,-0.2710705523412299
7,7,2020-04-30,4532.565,5739.687,4508.77,5515.203,EB8888.XDCE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.027973947649796216,0.2133586864264152,-0.32239330091842255,-0.0788093117378883,0.0009612486087462457,0.02104070766054944,0.0011522588,0,0.0,0.03657040475238482,-0.24309660469143368
8,8,2020-05-29,5788.302,5887.829,5356.339,5669.485,EB8888.XDCE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,8.99552604871623e-06,0.027973947649796216,0.2133586864264152,-0.32239330091842255,-0.0788093117378883,0.0009612486087462457,-0.07764921,-1,-8.99552604871623e-06,0.036561409226336106,-0.24308760916538497
9,9,2020-06-30,5670.712,5985.672,5588.516,5669.536,EB8888.XDCE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,-0.011278877142679722,8.99552604871623e-06,0.027973947649796216,0.2133586864264152,-0.32239330091842255,-0.0788093117378883,-0.3109013,-1,0.011278877142679722,0.04784028636901583,-0.2543664863080647
10,10,2020-07-31,5659.028,5808.799,5487.451,5605.59,EB8888.XDCE,True,2020,7,31,19,19,2020-06,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,-18.2,-25.6,-7.7,15.4,20.4,-16.5,-3.0,-1.9,2020.0,6.0,0.018674394666752248,-0.011278877142679722,8.99552604871623e-06,0.027973947649796216,0.2133586864264152,-0.32239330091842255,-0.0067378124,0,0.0,0.04784028636901583,-0.23569209164131244
11,11,2020-08-31,5607.805,5743.23,5265.773,5710.271,EB8888.XDCE,True,2020,8,36,20,20,2020-07,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,-17.3,-24.8,-9.1,14.7,26.8,-9.7,-2.4,-2.0,2020.0,7.0,-0.021616312080459887,0.018674394666752248,-0.011278877142679722,8.99552604871623e-06,0.027973947649796216,0.2133586864264152,0.018945387,0,-0.0,0.04784028636901583,-0.2573084037217723
12,12,2020-09-30,5741.487,5835.79,5492.573,5586.836,EB8888.XDCE,True,2020,9,40,21,21,2020-08,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,-17.4,-23.3,-6.7,11.8,7.6,-9.0,-2.0,-2.0,2020.0,8.0,0.19823814409443896,-0.021616312080459887,0.018674394666752248,-0.011278877142679722,8.99552604871623e-06,0.027973947649796216,-0.0037112096,0,0.0,0.04784028636901583,-0.059070259627333366
13,13,2020-10-30,5667.835,6892.415,5626.322,6694.36,EB8888.XDCE,True,2020,10,44,22,22,2020-09,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,-9.0,-20.0,-2.7,20.6,13.8,-6.1,-2.1,-2.0,2020.0,9.0,0.1063163618329459,0.19823814409443896,-0.021616312080459887,0.018674394666752248,-0.011278877142679722,8.99552604871623e-06,-0.015968595,0,0.0,0.04784028636901583,0.04724610220561254
