,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-12-28,5600.261,5772.757,5077.369,5123.01,EG8888.XDCE,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.03140829317139726,,,,,,0.5,1,0.03140829317139726,0.03140829317139726,0.03140829317139726
1,1,2019-01-31,5096.535,5458.374,5037.459,5283.915,EG8888.XDCE,True,2019,1,5,1,1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,-0.017881438289601648,0.03140829317139726,,,,,0.034182604,1,-0.017881438289601648,0.013526854881795614,0.013526854881795614
2,2,2019-02-28,5295.4,5334.691,5018.78,5189.431,EG8888.XDCE,True,2019,2,9,2,2,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.06321868428349842,-0.017881438289601648,0.03140829317139726,,,,0.03153882,1,-0.06321868428349842,-0.0496918294017028,-0.0496918294017028
3,3,2019-03-29,5207.488,5445.573,4832.115,4861.362,EG8888.XDCE,True,2019,3,13,3,3,2019-02,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,0.3,0.9,0.0,-17.4,-14.9,-15.1,0.1,0.1,2019.0,2.0,-0.037882181989327246,-0.06321868428349842,-0.017881438289601648,0.03140829317139726,,,-0.06045292,-1,0.037882181989327246,-0.011809647412375557,-0.08757401139103005
4,4,2019-04-30,4882.691,5000.216,4585.178,4677.203,EG8888.XDCE,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,-0.04004572818413066,-0.037882181989327246,-0.06321868428349842,-0.017881438289601648,0.03140829317139726,,-0.03742771,-1,0.04004572818413066,0.0282360807717551,-0.1276197395751607
5,5,2019-05-31,4641.796,4718.004,4344.836,4489.901,EG8888.XDCE,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,-0.014257775394156735,-0.04004572818413066,-0.037882181989327246,-0.06321868428349842,-0.017881438289601648,0.03140829317139726,-0.03858446,-1,0.014257775394156735,0.042493856165911836,-0.14187751496931744
6,6,2019-06-28,4494.441,4606.702,4322.414,4425.885,EG8888.XDCE,True,2019,6,26,6,6,2019-05,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,-3.1,-30.1,-9.0,-17.4,-21.5,-14.1,0.6,0.4,2019.0,5.0,0.00810911264074865,-0.014257775394156735,-0.04004572818413066,-0.037882181989327246,-0.06321868428349842,-0.017881438289601648,-0.03870055,-1,-0.00810911264074865,0.034384743525163186,-0.1337684023285688
7,7,2019-07-31,4430.544,4636.022,4179.08,4461.775,EG8888.XDCE,True,2019,7,31,7,7,2019-06,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,-2.9,-23.7,-10.5,-14.0,-15.2,-14.2,0.0,0.3,2019.0,6.0,0.024215026530921113,0.00810911264074865,-0.014257775394156735,-0.04004572818413066,-0.037882181989327246,-0.06321868428349842,0.0075563933,0,0.0,0.034384743525163186,-0.10955337579764768
8,8,2019-08-30,4463.168,4650.1,4261.81,4569.817,EG8888.XDCE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,0.07479708706059784,0.024215026530921113,0.00810911264074865,-0.014257775394156735,-0.04004572818413066,-0.037882181989327246,-0.00076082826,0,0.0,0.034384743525163186,-0.034756288737049834
9,9,2019-09-30,4571.354,5305.726,4537.576,4911.626,EG8888.XDCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,-0.07470072029099939,0.07479708706059784,0.024215026530921113,0.00810911264074865,-0.014257775394156735,-0.04004572818413066,0.07416138,1,-0.07470072029099939,-0.0403159767658362,-0.10945700902804922
