,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2009-04-30,2051.213,2071.754,2012.855,2040.225,ER8888.XZCE,True,2009,4,18,-116,-116,2009-03,28.6,27.3,5.3,9.8,11.4,6.8,14.4,11.3,34.0,21.5,-16.4,-18.3,10.8,3.7,-6.0,-4.6,2009,3,-0.0053273536007057976,,,,,,0.5,1,-0.0053273536007057976,-0.0053273536007057976,-0.0053273536007057976
1,1,2009-05-27,2047.181,2051.575,2027.459,2029.356,ER8888.XZCE,True,2009,5,22,-115,-115,2009-04,30.5,29.0,5.8,7.5,7.1,6.4,13.6,11.8,48.5,30.3,-20.5,-21.0,17.9,7.6,-6.6,-5.1,2009,4,0.018858692117105003,-0.0053273536007057976,,,,,-0.0023355482,0,0.0,-0.0053273536007057976,0.013531338516399205
2,2,2009-06-30,2029.735,2098.224,2028.589,2067.627,ER8888.XZCE,True,2009,6,27,-114,-114,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009,5,-0.010569121026181238,0.018858692117105003,-0.0053273536007057976,,,,0.018759318,0,-0.0,-0.0053273536007057976,0.0029622174902179665
3,3,2009-07-31,2066.95,2086.491,2030.734,2045.774,ER8888.XZCE,True,2009,7,31,-113,-113,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009,6,0.04092827457969461,-0.010569121026181238,0.018858692117105003,-0.0053273536007057976,,,0.018392574,0,0.0,-0.0053273536007057976,0.04389049206991258
4,4,2009-08-31,2050.722,2134.931,2013.996,2129.504,ER8888.XZCE,True,2009,8,36,-112,-112,2009-07,32.9,28.1,6.6,9.1,11.3,7.7,12.1,12.1,3.0,16.4,-18.6,-10.6,51.6,20.7,-8.2,-6.2,2009,7,-0.06022717027063573,0.04092827457969461,-0.010569121026181238,0.018858692117105003,-0.0053273536007057976,,-0.008922951,0,-0.0,-0.0053273536007057976,-0.016336678200723154
5,5,2009-09-30,2126.638,2140.099,1993.416,2001.25,ER8888.XZCE,True,2009,9,40,-111,-111,2009-08,33.0,27.3,7.0,8.5,12.0,8.4,10.4,11.8,1.2,13.7,-17.7,-9.2,90.0,27.1,-7.86,-6.4,2009,8,0.012967895065584045,-0.06022717027063573,0.04092827457969461,-0.010569121026181238,0.018858692117105003,-0.0053273536007057976,0.040345438,1,0.012967895065584045,0.007640541464878248,-0.0033687831351391084
6,6,2009-10-30,2013.725,2036.252,1999.34,2027.202,ER8888.XZCE,True,2009,10,44,-110,-110,2009-09,33.3,27.7,7.7,13.0,13.7,8.9,11.6,11.6,33.4,17.1,-20.1,2.8,78.7,31.7,-6.99,-6.5,2009,9,0.01205059979222578,0.012967895065584045,-0.06022717027063573,0.04092827457969461,-0.010569121026181238,0.018858692117105003,0.011612969,0,0.0,0.007640541464878248,0.008681816657086672
7,7,2009-11-30,2024.73,2078.089,2023.805,2051.631,ER8888.XZCE,True,2009,11,49,-109,-109,2009-10,33.1,27.5,8.6,14.0,15.5,9.4,11.8,11.6,18.6,17.3,-18.9,-7.9,78.6,37.5,-5.85,-6.4,2009,10,0.03954902221695833,0.01205059979222578,0.012967895065584045,-0.06022717027063573,0.04092827457969461,-0.010569121026181238,0.012180846,0,0.0,0.007640541464878248,0.048230838874045
8,8,2009-12-31,2049.247,2158.332,2044.959,2132.771,ER8888.XZCE,True,2009,12,53,-108,-108,2009-11,32.1,26.8,9.6,15.5,17.6,10.3,13.7,11.8,40.4,19.8,-15.9,24.4,100.8,43.2,-2.08,-6.0,2009,11,-0.02272255202269724,0.03954902221695833,0.01205059979222578,0.012967895065584045,-0.06022717027063573,0.04092827457969461,-0.05742445,-1,0.02272255202269724,0.030363093487575488,0.02550828685134776
9,9,2010-01-29,2142.534,2154.947,2080.33,2084.309,ER8888.XZCE,True,2010,1,4,-107,-107,2009-12,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,3.3,18.4,-13.6,43.1,130.5,47.8,1.7,-5.4,2009,12,0.011858606377461056,-0.02272255202269724,0.03954902221695833,0.01205059979222578,0.012967895065584045,-0.06022717027063573,0.012925111,0,0.0,0.030363093487575488,0.03736689322880882
