,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-12-31,74.786,76.056,69.354,69.854,FB8888.XDCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.07229364102270441,,,,,,0.5,1,-0.07229364102270441,-0.07229364102270441,-0.07229364102270441
1,1,2014-01-30,69.803,70.052,62.709,64.804,FB8888.XDCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.04306832911548675,-0.07229364102270441,,,,,-0.06890536,-1,0.04306832911548675,-0.029225311907217666,-0.11536197013819116
2,2,2014-02-28,64.805,67.259,61.913,62.013,FB8888.XDCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,0.07983809846322543,-0.04306832911548675,-0.07229364102270441,,,,-0.04299885,-1,-0.07983809846322543,-0.10906341037044309,-0.035523871674965735
3,3,2014-03-31,62.014,67.564,60.473,66.964,FB8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,-0.06499014395794755,0.07983809846322543,-0.04306832911548675,-0.07229364102270441,,,0.05228213,1,-0.06499014395794755,-0.17405355432839065,-0.10051401563291329
4,4,2014-04-30,67.02,67.958,61.849,62.612,FB8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.06030792819267872,-0.06499014395794755,0.07983809846322543,-0.04306832911548675,-0.07229364102270441,,-0.04287436,-1,0.06030792819267872,-0.11374562613571193,-0.160821943825592
5,5,2014-05-30,62.542,64.251,58.484,58.836,FB8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.017982187776191427,-0.06030792819267872,-0.06499014395794755,0.07983809846322543,-0.04306832911548675,-0.07229364102270441,0.062042613,1,0.017982187776191427,-0.0957634383595205,-0.14283975604940058
6,6,2014-06-30,58.786,61.284,58.396,59.894,FB8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,0.05195845994590442,0.017982187776191427,-0.06030792819267872,-0.06499014395794755,0.07983809846322543,-0.04306832911548675,0.01861909,0,0.0,-0.0957634383595205,-0.09088129610349616
7,7,2014-07-31,59.961,63.46,59.026,63.006,FB8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.027600545979747926,0.05195845994590442,0.017982187776191427,-0.06030792819267872,-0.06499014395794755,0.07983809846322543,-0.029362334,-1,0.027600545979747926,-0.06816289237977258,-0.11848184208324408
8,8,2014-08-29,63.04,65.226,59.824,61.267,FB8888.XDCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.00509246413240394,-0.027600545979747926,0.05195845994590442,0.017982187776191427,-0.06030792819267872,-0.06499014395794755,-0.027374389,-1,-0.00509246413240394,-0.07325535651217652,-0.11338937795084014
9,9,2014-09-30,59.471,63.048,57.542,61.579,FB8888.XDCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.0018512804689909679,0.00509246413240394,-0.027600545979747926,0.05195845994590442,0.017982187776191427,-0.06030792819267872,0.01791128,0,-0.0,-0.07325535651217652,-0.11524065841983111
