,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-12-31,1372.932,1384.785,1282.205,1376.797,FG8888.XZCE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012.0,11.0,0.12038230763140834,,,,,,0.5,1,0.12038230763140834,0.12038230763140834,0.12038230763140834
1,1,2013-01-31,1390.043,1555.446,1385.192,1542.539,FG8888.XZCE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012.0,12.0,0.0174984230544577,0.12038230763140834,,,,,0.12262984,1,0.0174984230544577,0.13788073068586604,0.13788073068586604
2,2,2013-02-28,1548.336,1613.102,1519.667,1569.531,FG8888.XZCE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013.0,1.0,-0.08691322439633242,0.0174984230544577,0.12038230763140834,,,,0.020373927,1,-0.08691322439633242,0.050967506289533615,0.050967506289533615
3,3,2013-03-29,1568.062,1568.936,1405.005,1433.118,FG8888.XZCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.06192093044676017,-0.08691322439633242,0.0174984230544577,0.12038230763140834,,,-0.083462015,-1,0.06192093044676017,0.11288843673629378,-0.010953424157226554
4,4,2013-04-26,1428.125,1452.558,1317.721,1344.378,FG8888.XZCE,True,2013,4,17,-68,-68,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,0.03377844624056636,-0.06192093044676017,-0.08691322439633242,0.0174984230544577,0.12038230763140834,,-0.061411273,-1,-0.03377844624056636,0.07910999049572742,0.022825022083339808
5,5,2013-05-31,1322.207,1475.326,1313.206,1389.789,FG8888.XZCE,True,2013,5,22,-67,-67,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.008394079964656465,0.03377844624056636,-0.06192093044676017,-0.08691322439633242,0.0174984230544577,0.12038230763140834,0.017854974,0,-0.0,0.07910999049572742,0.014430942118683343
6,6,2013-06-28,1397.936,1466.955,1355.675,1378.123,FG8888.XZCE,True,2013,6,26,-66,-66,2013-05,20.4,17.8,13.0,12.9,9.4,9.0,8.7,7.1,5.61,8.59,-4.88,-1.77,15.77,15.35,-2.87,-2.13,2013.0,5.0,-0.008322188948301501,-0.008394079964656465,0.03377844624056636,-0.06192093044676017,-0.08691322439633242,0.0174984230544577,-0.06138185,-1,0.008322188948301501,0.08743217944402892,0.006108753170381842
7,7,2013-07-31,1377.145,1423.518,1351.538,1366.654,FG8888.XZCE,True,2013,7,31,-65,-65,2013-06,20.1,17.1,12.7,11.5,9.9,9.2,7.6,7.2,6.69,7.37,-12.55,-9.07,13.35,15.11,-2.7,-2.23,2013.0,6.0,0.008877155446806562,-0.008322188948301501,-0.008394079964656465,0.03377844624056636,-0.06192093044676017,-0.08691322439633242,-0.008166322,0,0.0,0.08743217944402892,0.014985908617188404
8,8,2013-08-30,1369.841,1459.627,1363.866,1378.786,FG8888.XZCE,True,2013,8,35,-64,-64,2013-07,20.1,17.08,12.5,11.1,9.2,9.2,8.5,7.4,3.09,6.51,-5.37,-0.75,15.44,15.15,-2.27,-2.23,2013.0,7.0,-0.05272826965170807,0.008877155446806562,-0.008322188948301501,-0.008394079964656465,0.03377844624056636,-0.06192093044676017,-0.004600269,0,-0.0,0.08743217944402892,-0.03774236103451967
9,9,2013-09-30,1384.477,1397.997,1305.322,1306.085,FG8888.XZCE,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013.0,8.0,0.014547292098140652,-0.05272826965170807,0.008877155446806562,-0.008322188948301501,-0.008394079964656465,0.03377844624056636,0.019271407,0,0.0,0.08743217944402892,-0.023195068936379015
