,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,2002.145,2047.632,1979.271,2020.347,FU8888.XSGE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0625298525451321,,,,,,0.5,1,0.0625298525451321,0.0625298525451321,0.0625298525451321
1,1,2005-02-28,2025.726,2159.322,2016.187,2146.679,FU8888.XSGE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.15071559371475662,0.0625298525451321,,,,,0.06511991,1,0.15071559371475662,0.21324544625988873,0.21324544625988873
2,2,2005-03-31,2162.663,2496.871,2142.44,2470.217,FU8888.XSGE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.05193673268380872,0.15071559371475662,0.0625298525451321,,,,0.15078083,1,0.05193673268380872,0.26518217894369744,0.26518217894369744
3,3,2005-04-29,2498.717,2687.206,2466.489,2598.512,FU8888.XSGE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.005533166673850287,0.05193673268380872,0.15071559371475662,0.0625298525451321,,,0.15035897,1,-0.005533166673850287,0.25964901226984716,0.25964901226984716
4,4,2005-05-31,2605.873,2637.582,2447.264,2584.134,FU8888.XSGE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,0.07219401161085304,-0.005533166673850287,0.05193673268380872,0.15071559371475662,0.0625298525451321,,-0.0028936178,0,0.0,0.25964901226984716,0.3318430238807002
5,5,2005-06-30,2598.294,2867.024,2597.009,2770.693,FU8888.XSGE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,0.03125571833472707,0.07219401161085304,-0.005533166673850287,0.05193673268380872,0.15071559371475662,0.0625298525451321,0.072192736,1,0.03125571833472707,0.2909047306045742,0.36309874221542726
6,6,2005-07-29,2748.871,2958.043,2739.423,2857.293,FU8888.XSGE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,0.08155096449681554,0.03125571833472707,0.07219401161085304,-0.005533166673850287,0.05193673268380872,0.15071559371475662,0.051625617,1,0.08155096449681554,0.37245569510138976,0.4446497067122428
7,7,2005-08-31,2868.844,3102.751,2797.591,3090.308,FU8888.XSGE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,0.05456155179354294,0.08155096449681554,0.03125571833472707,0.07219401161085304,-0.005533166673850287,0.05193673268380872,0.03778011,1,0.05456155179354294,0.4270172468949327,0.49921125850578574
8,8,2005-09-30,3069.61,3266.798,3067.966,3258.92,FU8888.XSGE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,-0.031138536693137597,0.05456155179354294,0.08155096449681554,0.03125571833472707,0.07219401161085304,-0.005533166673850287,0.059648845,1,-0.031138536693137597,0.3958787102017951,0.46807272181264814
9,9,2005-10-31,3192.534,3280.31,3010.59,3157.442,FU8888.XSGE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,-0.07325486897304856,-0.031138536693137597,0.05456155179354294,0.08155096449681554,0.03125571833472707,0.07219401161085304,0.07212656,1,-0.07325486897304856,0.32262384122874654,0.3948178528395996
10,10,2005-11-30,3126.769,3182.596,2889.619,2926.144,FU8888.XSGE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.0441259896983881,-0.07325486897304856,-0.031138536693137597,0.05456155179354294,0.08155096449681554,0.03125571833472707,-0.04876432,-1,-0.0441259896983881,0.27849785153035844,0.4389438425379877
11,11,2005-12-30,2948.734,3208.346,2925.579,3055.263,FU8888.XSGE,True,2005,12,52,-156,-156,2005-11,27.8,38.0,,,,,,,8.5,5.0,14.7,-2.4,21.6,11.4,3.2,5.1,2005.0,11.0,0.12488679370646638,0.0441259896983881,-0.07325486897304856,-0.031138536693137597,0.05456155179354294,0.08155096449681554,-0.004180496,0,0.0,0.27849785153035844,0.5638306362444541
12,12,2006-01-27,3112.357,3471.861,3077.671,3436.825,FU8888.XSGE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.02160482422002863,0.12488679370646638,0.0441259896983881,-0.07325486897304856,-0.031138536693137597,0.05456155179354294,-0.020409008,-1,0.02160482422002863,0.30010267575038707,0.5422258120244254
