,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,3000.001,3000.001,3000.0,3000.0,GN8888.XZCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,3.33333333379926e-07,,,,,,0.5,1,3.33333333379926e-07,3.33333333379926e-07,3.33333333379926e-07
1,1,2005-02-28,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,-3.333332222466012e-07,3.33333333379926e-07,,,,,0.0029605955,0,-0.0,3.33333333379926e-07,1.1113332476497817e-13
2,2,2005-03-31,3000.001,3000.001,3000.0,3000.0,GN8888.XZCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,,,,0.00050425204,0,0.0,3.33333333379926e-07,3.3333344451325075e-07
3,3,2005-04-29,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005,3,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,,,0.00020576786,0,-0.0,3.33333333379926e-07,2.2226664952995634e-13
4,4,2005-05-31,3000.001,3000.001,3000.0,3000.0,GN8888.XZCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005,4,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,,0.000119605946,0,0.0,3.33333333379926e-07,3.333335556465755e-07
5,5,2005-06-30,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005,5,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,8.326486e-05,0,-0.0,3.33333333379926e-07,3.333999742949345e-13
6,6,2005-07-29,3000.001,3000.001,3000.0,3000.0,GN8888.XZCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005,6,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,8.313154e-05,0,0.0,3.33333333379926e-07,3.333336667799003e-07
7,7,2005-08-31,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005,7,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,8.326486e-05,0,-0.0,3.33333333379926e-07,4.445332990599127e-13
8,8,2005-09-30,3000.001,3000.001,3000.0,3000.0,GN8888.XZCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005,8,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,8.313154e-05,0,0.0,3.33333333379926e-07,3.3333377791322505e-07
9,9,2005-10-31,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005,9,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,-3.333332222466012e-07,3.33333333379926e-07,8.326486e-05,0,-0.0,3.33333333379926e-07,5.556666238248908e-13
