,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-03-31,3256.342,3423.819,3234.498,3412.443,HC8888.XSGE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,,,11.0,,12.1,,-3.89,1.33,,,12.53,-2.0,-1.8,2014.0,2.0,-0.020325614230039868,,,,,,0.5,1,-0.020325614230039868,-0.020325614230039868,-0.020325614230039868
1,1,2014-04-30,3413.521,3489.175,3326.222,3343.083,HC8888.XSGE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.02326415467399401,-0.020325614230039868,,,,,-0.017245011,0,-0.0,-0.020325614230039868,-0.043589768904033876
2,2,2014-05-30,3333.88,3369.908,3231.843,3265.309,HC8888.XSGE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.0067417815588048935,-0.02326415467399401,-0.020325614230039868,,,,-0.02164247,-1,-0.0067417815588048935,-0.02706739578884476,-0.03684798734522898
3,3,2014-06-30,3258.077,3328.36,3210.765,3287.323,HC8888.XSGE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,0.0004778964525238294,0.0067417815588048935,-0.02326415467399401,-0.020325614230039868,,,-0.02165667,-1,-0.0004778964525238294,-0.02754529224136859,-0.036370090892705154
4,4,2014-07-31,3288.724,3387.237,3263.014,3288.894,HC8888.XSGE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.04125125346088987,0.0004778964525238294,0.0067417815588048935,-0.02326415467399401,-0.020325614230039868,,-0.021704614,-1,0.04125125346088987,0.013705961219521279,-0.07762134435359502
5,5,2014-08-29,3288.147,3384.94,3106.467,3153.223,HC8888.XSGE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.10511720864651819,-0.04125125346088987,0.0004778964525238294,0.0067417815588048935,-0.02326415467399401,-0.020325614230039868,-0.031543944,-1,0.10511720864651819,0.11882316986603947,-0.1827385530001132
6,6,2014-09-30,3145.212,3159.595,2786.252,2821.765,HC8888.XSGE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.01187979863666877,-0.10511720864651819,-0.04125125346088987,0.0004778964525238294,0.0067417815588048935,-0.02326415467399401,-0.06437779,-1,-0.01187979863666877,0.1069433712293707,-0.17085875436344444
7,7,2014-10-31,2828.097,2940.858,2756.102,2855.287,HC8888.XSGE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.03125535191383588,0.01187979863666877,-0.10511720864651819,-0.04125125346088987,0.0004778964525238294,0.0067417815588048935,0.0007505572,0,0.0,0.1069433712293707,-0.13960340244960856
8,8,2014-11-28,2843.381,2970.388,2821.002,2944.53,HC8888.XSGE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.0003046326578436398,0.03125535191383588,0.01187979863666877,-0.10511720864651819,-0.04125125346088987,0.0004778964525238294,-0.021777239,-1,0.0003046326578436398,0.10724800388721434,-0.1399080351074522
9,9,2014-12-31,2924.217,2998.821,2854.298,2943.633,HC8888.XSGE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.11676659420518787,-0.0003046326578436398,0.03125535191383588,0.01187979863666877,-0.10511720864651819,-0.04125125346088987,-0.062245864,-1,0.11676659420518787,0.2240145980924022,-0.25667462931264007
10,10,2015-01-30,2935.511,2981.601,2544.564,2599.915,HC8888.XSGE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,-0.006466749874515121,-0.11676659420518787,-0.0003046326578436398,0.03125535191383588,0.01187979863666877,-0.10511720864651819,-0.104666434,-1,0.006466749874515121,0.23048134796691733,-0.2631413791871552
