,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-10-31,976.721,984.41,911.852,920.195,I8888.XDCE,True,2013,10,44,-62,-62,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013.0,9.0,0.018481952194915108,,,,,,0.5,1,0.018481952194915108,0.018481952194915108,0.018481952194915108
1,1,2013-11-29,919.222,955.57,919.222,937.202,I8888.XDCE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.03255007991873682,0.018481952194915108,,,,,0.021332793,1,-0.03255007991873682,-0.01406812772382171,-0.01406812772382171
2,2,2013-12-31,937.999,953.922,881.898,906.696,I8888.XDCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.04873518797921239,-0.03255007991873682,0.018481952194915108,,,,0.018606856,0,-0.0,-0.01406812772382171,-0.0628033157030341
3,3,2014-01-30,907.032,907.514,838.124,862.508,I8888.XDCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.058551340973069355,-0.04873518797921239,-0.03255007991873682,0.018481952194915108,,,-0.046599723,-1,0.058551340973069355,0.044483213249247644,-0.12135465667610346
4,4,2014-02-28,859.062,872.93,807.584,812.007,I8888.XDCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,-0.021620503271523428,-0.058551340973069355,-0.04873518797921239,-0.03255007991873682,0.018481952194915108,,-0.05670731,-1,0.021620503271523428,0.06610371652077107,-0.14297515994762688
5,5,2014-03-31,811.422,814.32,711.348,794.451,I8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,-0.03992820199106051,-0.021620503271523428,-0.058551340973069355,-0.04873518797921239,-0.03255007991873682,0.018481952194915108,-0.03230376,-1,0.03992820199106051,0.10603191851183158,-0.1829033619386874
6,6,2014-04-30,795.303,832.128,753.127,762.73,I8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.10873834777706393,-0.03992820199106051,-0.021620503271523428,-0.058551340973069355,-0.04873518797921239,-0.03255007991873682,-0.048753846,-1,0.10873834777706393,0.2147702662888955,-0.2916417097157513
7,7,2014-05-30,757.692,772.225,674.816,679.792,I8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.02070044954927397,-0.10873834777706393,-0.03992820199106051,-0.021620503271523428,-0.058551340973069355,-0.04873518797921239,-0.032039527,-1,-0.02070044954927397,0.19406981673962154,-0.27094126016647735
8,8,2014-06-30,684.974,716.591,657.202,693.864,I8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.016913977378852363,0.02070044954927397,-0.10873834777706393,-0.03992820199106051,-0.021620503271523428,-0.058551340973069355,-0.039784674,-1,0.016913977378852363,0.2109837941184739,-0.2878552375453297
9,9,2014-07-31,697.338,722.51,665.789,682.128,I8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.08048782633171492,-0.016913977378852363,0.02070044954927397,-0.10873834777706393,-0.03992820199106051,-0.021620503271523428,-0.105677485,-1,0.08048782633171492,0.2914716204501888,-0.36834306387704463
