,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-04-30,7668.964,8526.926,7480.747,8306.415,IC8888.CCFX,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,0.21970477034918168,,,,,,0.5,1,0.21970477034918168,0.21970477034918168,0.21970477034918168
1,1,2015-05-29,8336.153,10759.388,7862.954,10131.374,IC8888.CCFX,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.1841983130817203,0.21970477034918168,,,,,0.22136429,1,-0.1841983130817203,0.03550645726746138,0.03550645726746138
2,2,2015-06-30,10216.725,11546.779,7488.778,8265.192,IC8888.CCFX,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.12301396023226074,-0.1841983130817203,0.21970477034918168,,,,0.22038071,1,-0.12301396023226074,-0.08750750296479937,-0.08750750296479937
3,3,2015-07-31,8327.39,8704.224,5743.043,7248.458,IC8888.CCFX,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.19403520031432886,-0.12301396023226074,-0.1841983130817203,0.21970477034918168,,,-0.12226547,-1,0.19403520031432886,0.1065276973495295,-0.2815427032791282
4,4,2015-08-31,7192.977,8553.101,5225.96,5842.002,IC8888.CCFX,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.009713793319481967,-0.19403520031432886,-0.12301396023226074,-0.1841983130817203,0.21970477034918168,,-0.13076285,-1,0.009713793319481967,0.11624149066901146,-0.2912564965986102
5,5,2015-09-30,5827.595,6434.544,4972.414,5785.254,IC8888.CCFX,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.15249373666221056,-0.009713793319481967,-0.19403520031432886,-0.12301396023226074,-0.1841983130817203,0.21970477034918168,-0.19180009,-1,-0.15249373666221056,-0.036252245993199095,-0.13876275993639964
6,6,2015-10-30,6049.833,6873.973,6031.557,6667.469,IC8888.CCFX,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,0.05661728610961658,0.15249373666221056,-0.009713793319481967,-0.19403520031432886,-0.12301396023226074,-0.1841983130817203,-0.0041337875,0,0.0,-0.036252245993199095,-0.08214547382678306
7,7,2015-11-30,6547.822,7620.018,6472.523,7044.963,IC8888.CCFX,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,0.030922802575400476,0.05661728610961658,0.15249373666221056,-0.009713793319481967,-0.19403520031432886,-0.12301396023226074,0.054818496,1,0.030922802575400476,-0.005329443417798618,-0.05122267125138258
8,8,2015-12-31,7055.918,7592.428,6872.983,7262.813,IC8888.CCFX,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,-0.28210887434386656,0.030922802575400476,0.05661728610961658,0.15249373666221056,-0.009713793319481967,-0.19403520031432886,-0.14774498,-1,0.28210887434386656,0.27677943092606794,-0.33333154559524913
9,9,2016-01-29,7259.615,7274.756,5006.382,5213.909,IC8888.CCFX,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,-0.047887103514848484,-0.28210887434386656,0.030922802575400476,0.05661728610961658,0.15249373666221056,-0.009713793319481967,0.016730985,0,-0.0,0.27677943092606794,-0.3812186491100976
10,10,2016-02-29,5214.33,5830.092,4921.367,4964.23,IC8888.CCFX,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.18441450134260506,-0.047887103514848484,-0.28210887434386656,0.030922802575400476,0.05661728610961658,0.15249373666221056,0.055399302,1,0.18441450134260506,0.461193932268673,-0.19680414776749255
11,11,2016-03-31,4959.683,5944.976,4950.434,5879.706,IC8888.CCFX,True,2016,3,13,-33,-33,2016-02,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,12.1,15.6,-12.9,-11.3,16.3,5.3,-4.9,-5.1,2016.0,2.0,-0.026553708637812812,0.18441450134260506,-0.047887103514848484,-0.28210887434386656,0.030922802575400476,0.05661728610961658,0.056679584,1,-0.026553708637812812,0.4346402236308602,-0.22335785640530537
12,12,2016-04-29,5861.012,6241.55,5564.59,5723.578,IC8888.CCFX,True,2016,4,17,-32,-32,2016-03,10.7,6.4,8.3,8.2,6.0,4.8,4.1,3.8,15.1,15.8,-7.6,-1.5,8.9,6.5,-4.3,-4.8,2016.0,3.0,0.025750850254858015,-0.026553708637812812,0.18441450134260506,-0.047887103514848484,-0.28210887434386656,0.030922802575400476,0.03031622,1,0.025750850254858015,0.4603910738857182,-0.19760700615044735
13,13,2016-05-31,5738.017,6036.727,5362.533,5870.965,IC8888.CCFX,True,2016,5,22,-31,-31,2016-04,10.5,6.0,8.6,9.3,3.8,4.5,5.0,4.1,14.8,16.1,-7.1,-4.3,4.3,5.5,-3.4,-4.5,2016.0,4.0,0.01858484933907789,0.025750850254858015,-0.026553708637812812,0.18441450134260506,-0.047887103514848484,-0.28210887434386656,-0.27731597,-1,-0.01858484933907789,0.4418062245466403,-0.17902215681136946
14,14,2016-06-30,5871.181,6010.698,5563.806,5980.076,IC8888.CCFX,True,2016,6,26,-30,-30,2016-05,9.6,4.6,8.6,8.6,4.2,4.4,5.7,4.5,8.9,5.8,-8.2,-9.0,4.1,5.6,-2.8,-4.1,2016.0,5.0,0.007496727466340003,0.01858484933907789,0.025750850254858015,-0.026553708637812812,0.18441450134260506,-0.047887103514848484,-0.022265604,-1,-0.007496727466340003,0.4343094970803003,-0.17152542934502946
15,15,2016-07-29,5987.886,6356.753,5935.587,6024.907,IC8888.CCFX,True,2016,7,30,-29,-29,2016-06,9.0,3.3,8.7,8.9,4.9,4.5,6.9,4.9,0.2,6.2,-6.7,-1.4,8.1,6.0,-2.6,-3.9,2016.0,6.0,0.042785888645252124,0.007496727466340003,0.01858484933907789,0.025750850254858015,-0.026553708637812812,0.18441450134260506,0.0151918465,0,0.0,0.4343094970803003,-0.12873954069977733
16,16,2016-08-31,6005.554,6398.661,5884.944,6282.688,IC8888.CCFX,True,2016,8,35,-28,-28,2016-07,8.1,3.0,8.8,9.7,3.6,4.4,5.6,5.0,4.0,4.6,-6.0,-1.6,25.4,8.1,-1.7,-3.6,2016.0,7.0,-0.007129591665223534,0.042785888645252124,0.007496727466340003,0.01858484933907789,0.025750850254858015,-0.026553708637812812,0.007983677,0,-0.0,0.4343094970803003,-0.13586913236500087
17,17,2016-09-30,6276.081,6452.263,6097.804,6237.895,IC8888.CCFX,True,2016,9,39,-27,-27,2016-08,8.1,2.8,9.0,9.8,5.7,4.6,7.5,5.4,3.8,4.0,-2.9,10.9,24.7,10.0,-0.8,-3.2,2016.0,8.0,0.016483605447029648,-0.007129591665223534,0.042785888645252124,0.007496727466340003,0.01858484933907789,0.025750850254858015,0.014882633,0,0.0,0.4343094970803003,-0.11938552691797122
18,18,2016-10-31,6267.839,6444.373,6105.358,6340.718,IC8888.CCFX,True,2016,10,44,-26,-26,2016-09,8.2,3.1,8.8,7.9,7.0,4.9,7.8,5.7,3.0,3.6,-2.4,14.1,31.5,12.3,0.1,-2.9,2016.0,9.0,0.01732343245670287,0.016483605447029648,-0.007129591665223534,0.042785888645252124,0.007496727466340003,0.01858484933907789,0.018648408,0,0.0,0.4343094970803003,-0.10206209446126835
19,19,2016-11-30,6339.912,6539.132,6223.359,6450.561,IC8888.CCFX,True,2016,11,48,-25,-25,2016-10,8.3,3.1,8.7,7.6,8.2,5.3,8.3,6.0,4.6,3.5,-0.5,16.9,18.0,12.7,1.2,-2.5,2016.0,10.0,-0.0495276302324712,0.01732343245670287,0.016483605447029648,-0.007129591665223534,0.042785888645252124,0.007496727466340003,0.016839132,0,-0.0,0.4343094970803003,-0.15158972469373955
20,20,2016-12-30,6457.021,6505.416,6014.204,6131.08,IC8888.CCFX,True,2016,12,52,-24,-24,2016-11,8.3,3.6,8.5,6.6,8.6,5.7,10.7,6.5,6.2,3.8,1.4,20.3,17.8,13.3,3.3,-2.0,2016.0,11.0,-1.0112410864016042e-05,-0.0495276302324712,0.01732343245670287,0.016483605447029648,-0.007129591665223534,0.042785888645252124,0.016626773,0,-0.0,0.4343094970803003,-0.15159983710460356
21,21,2017-01-26,6153.861,6305.046,5792.356,6131.018,IC8888.CCFX,True,2017,1,4,-23,-23,2016-12,8.1,4.2,8.2,4.7,8.4,5.9,8.0,6.7,9.2,4.7,2.2,4.6,12.7,13.1,5.5,-1.4,2016.0,12.0,0.029275888604469946,-1.0112410864016042e-05,-0.0495276302324712,0.01732343245670287,0.016483605447029648,-0.007129591665223534,0.0006047673,0,0.0,0.4343094970803003,-0.12232394850013362
22,22,2017-02-28,6131.334,6352.65,6029.373,6310.509,IC8888.CCFX,True,2017,2,9,-22,-22,2017-01,8.1,4.2,8.2,4.7,8.4,5.9,8.0,6.7,9.2,4.7,2.2,4.6,12.7,13.1,6.9,6.9,2017.0,1.0,0.0036450308525033392,0.029275888604469946,-1.0112410864016042e-05,-0.0495276302324712,0.01732343245670287,0.016483605447029648,-0.03035293,-1,-0.0036450308525033392,0.43066446622779697,-0.11867891764763028
23,23,2017-03-31,6309.243,6622.674,6255.271,6333.511,IC8888.CCFX,True,2017,3,13,-21,-21,2017-02,8.9,4.3,8.4,4.7,8.4,10.6,8.0,11.5,9.2,1.2,3.1,4.6,12.7,11.1,7.8,7.3,2017.0,2.0,-0.028955503511401526,0.0036450308525033392,0.029275888604469946,-1.0112410864016042e-05,-0.0495276302324712,0.01732343245670287,0.00067224144,0,-0.0,0.43066446622779697,-0.1476344211590318
24,24,2017-04-28,6377.583,6569.691,6001.979,6150.121,IC8888.CCFX,True,2017,4,17,-20,-20,2017-03,9.2,5.8,8.7,9.1,10.6,10.6,13.5,12.4,9.0,4.3,3.4,1.5,4.8,9.0,7.6,7.4,2017.0,3.0,-0.06644519676929928,-0.028955503511401526,0.0036450308525033392,0.029275888604469946,-1.0112410864016042e-05,-0.0495276302324712,0.0035629673,0,-0.0,0.43066446622779697,-0.21407961792833108
25,25,2017-05-31,6146.289,6177.627,5610.675,5741.475,IC8888.CCFX,True,2017,5,22,-19,-19,2017-04,8.9,4.9,8.3,7.2,10.8,10.7,12.0,12.2,10.1,5.3,5.8,12.5,0.3,6.9,6.4,7.2,2017.0,4.0,0.05566357077231876,-0.06644519676929928,-0.028955503511401526,0.0036450308525033392,0.029275888604469946,-1.0112410864016042e-05,-2.2896702e-05,0,0.0,0.43066446622779697,-0.15841604715601232
26,26,2017-06-30,5721.839,6082.046,5580.252,6061.066,IC8888.CCFX,True,2017,6,26,-18,-18,2017-05,8.6,5.1,8.1,7.4,11.5,10.8,11.1,12.0,1.8,4.0,10.1,16.7,4.1,6.4,5.5,6.8,2017.0,5.0,0.028067669944527918,0.05566357077231876,-0.06644519676929928,-0.028955503511401526,0.0036450308525033392,0.029275888604469946,0.027991097,1,0.028067669944527918,0.4587321361723249,-0.1303483772114844
27,27,2017-07-31,6062.898,6243.781,5767.398,6231.186,IC8888.CCFX,True,2017,7,31,-17,-17,2017-06,8.6,5.5,8.3,9.2,12.3,11.2,12.0,12.0,-1.0,3.9,8.7,7.2,6.2,6.3,5.5,6.6,2017.0,6.0,0.0328618019105833,0.028067669944527918,0.05566357077231876,-0.06644519676929928,-0.028955503511401526,0.0036450308525033392,-0.02836068,-1,-0.0328618019105833,0.4258703342617416,-0.0974865753009011
28,28,2017-08-31,6231.052,6446.209,6080.177,6435.954,IC8888.CCFX,True,2017,8,35,-16,-16,2017-07,8.3,4.8,7.9,5.4,11.5,11.2,11.9,12.1,2.8,3.6,5.2,6.8,4.3,6.0,5.5,6.4,2017.0,7.0,0.021833748345622128,0.0328618019105833,0.028067669944527918,0.05566357077231876,-0.06644519676929928,-0.028955503511401526,-0.007014334,0,0.0,0.4258703342617416,-0.07565282695527897
29,29,2017-09-29,6444.449,6687.112,6407.483,6576.475,IC8888.CCFX,True,2017,9,39,-15,-15,2017-08,7.8,4.5,7.4,4.4,10.7,11.1,12.1,12.1,7.8,2.3,7.8,7.9,4.7,5.9,6.3,6.4,2017.0,8.0,-0.013803139219718874,0.021833748345622128,0.0328618019105833,0.028067669944527918,0.05566357077231876,-0.06644519676929928,-0.06340145,-1,0.013803139219718874,0.43967347348146046,-0.08945596617499785
30,30,2017-10-31,6675.167,6707.615,6388.205,6485.699,IC8888.CCFX,True,2017,10,44,-14,-14,2017-09,7.5,4.2,7.2,5.2,10.6,11.1,11.3,12.0,4.6,4.3,7.4,3.0,3.1,4.9,6.9,6.5,2017.0,9.0,-0.04684444961136791,-0.013803139219718874,0.021833748345622128,0.0328618019105833,0.028067669944527918,0.05566357077231876,0.02462961,1,-0.04684444961136791,0.39282902387009255,-0.13630041578636576
31,31,2017-11-30,6496.015,6633.349,6113.001,6181.88,IC8888.CCFX,True,2017,11,48,-13,-13,2017-10,7.3,4.1,6.9,4.4,9.6,10.9,12.3,12.1,-2.5,0.7,7.3,6.3,0.6,5.3,6.9,6.5,2017.0,10.0,0.013662833959895648,-0.04684444961136791,-0.013803139219718874,0.021833748345622128,0.0328618019105833,0.028067669944527918,-0.044412922,-1,-0.013662833959895648,0.3791661899101969,-0.12263758182647011
32,32,2017-12-29,6196.649,6306.603,6001.225,6266.342,IC8888.CCFX,True,2017,12,52,-12,-12,2017-11,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,-12.8,-1.1,7.3,10.5,1.8,4.1,5.8,6.4,2017.0,11.0,-0.015989711381855454,0.013662833959895648,-0.04684444961136791,-0.013803139219718874,0.021833748345622128,0.0328618019105833,0.014019393,0,-0.0,0.3791661899101969,-0.13862729320832556
33,33,2018-01-31,6273.545,6441.141,6141.541,6166.145,IC8888.CCFX,True,2018,1,5,-11,-11,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.03376728896255288,-0.015989711381855454,0.013662833959895648,-0.04684444961136791,-0.013803139219718874,0.021833748345622128,-0.012748157,0,-0.0,0.3791661899101969,-0.17239458217087844
34,34,2018-02-28,6172.48,6197.365,5428.969,5957.931,IC8888.CCFX,True,2018,2,9,-10,-10,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,0.016166350365588444,-0.03376728896255288,-0.015989711381855454,0.013662833959895648,-0.04684444961136791,-0.013803139219718874,-0.006592938,0,0.0,0.3791661899101969,-0.15622823180529
35,35,2018-03-30,5929.304,6254.206,5585.688,6054.249,IC8888.CCFX,True,2018,3,13,-9,-9,2018-02,7.9,4.3,5.5,5.7,8.5,9.1,10.7,10.3,-6.8,4.6,6.1,11.5,0.4,-5.0,3.7,4.0,2018.0,2.0,-0.03936937512811245,0.016166350365588444,-0.03376728896255288,-0.015989711381855454,0.013662833959895648,-0.04684444961136791,-0.015709741,0,-0.0,0.3791661899101969,-0.19559760693340245
36,36,2018-04-27,6079.557,6114.165,5659.734,5815.897,IC8888.CCFX,True,2018,4,17,-8,-8,2018-03,7.5,3.8,4.5,2.8,6.8,8.2,11.4,10.7,-14.4,-3.1,3.1,-2.0,0.9,-2.6,3.1,3.7,2018.0,3.0,-0.018242241910405244,-0.03936937512811245,0.016166350365588444,-0.03376728896255288,-0.015989711381855454,0.013662833959895648,-0.00391106,0,-0.0,0.3791661899101969,-0.2138398488438077
37,37,2018-05-31,5827.071,6047.436,5617.439,5709.802,IC8888.CCFX,True,2018,5,22,-7,-7,2018-04,7.0,4.8,4.7,5.4,9.7,8.6,13.2,11.4,-6.4,-4.2,6.3,12.0,10.8,0.4,3.4,3.6,2018.0,4.0,-0.09869186357075066,-0.018242241910405244,-0.03936937512811245,0.016166350365588444,-0.03376728896255288,-0.015989711381855454,0.004966939,0,-0.0,0.3791661899101969,-0.31253171241455835
38,38,2018-06-29,5682.287,5759.883,4915.547,5146.291,IC8888.CCFX,True,2018,6,26,-6,-6,2018-05,6.1,5.2,4.2,2.5,6.6,8.2,9.6,11.0,-14.8,-9.5,5.5,6.1,9.5,2.0,4.1,3.7,2018.0,5.0,-0.0033657249463739936,-0.09869186357075066,-0.018242241910405244,-0.03936937512811245,0.016166350365588444,-0.03376728896255288,-0.018289741,0,-0.0,0.3791661899101969,-0.31589743736093234
39,39,2018-07-31,5137.8,5308.217,4809.139,5128.97,IC8888.CCFX,True,2018,7,31,-5,-5,2018-06,6.0,6.8,3.7,1.4,6.8,7.9,11.5,11.1,-4.8,-8.2,6.1,-2.1,5.3,3.5,4.7,3.9,2018.0,6.0,-0.07274209051719949,-0.0033657249463739936,-0.09869186357075066,-0.018242241910405244,-0.03936937512811245,0.016166350365588444,-0.08454465,-1,0.07274209051719949,0.4519082804273964,-0.38863952787813183
40,40,2018-08-31,5159.323,5210.91,4664.361,4755.878,IC8888.CCFX,True,2018,8,35,-4,-4,2018-07,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,-8.6,-2.7,7.1,2.4,-0.5,3.2,4.6,4.0,2018.0,7.0,0.007519957408495426,-0.07274209051719949,-0.0033657249463739936,-0.09869186357075066,-0.018242241910405244,-0.03936937512811245,-0.003966978,0,0.0,0.4519082804273964,-0.3811195704696364
41,41,2018-09-28,4745.073,4864.043,4526.412,4791.642,IC8888.CCFX,True,2018,9,39,-3,-3,2018-08,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,-10.3,-6.7,5.0,-2.3,-4.4,2.2,4.1,4.0,2018.0,8.0,-0.11682446226157961,0.007519957408495426,-0.07274209051719949,-0.0033657249463739936,-0.09869186357075066,-0.018242241910405244,-0.072229244,-1,0.11682446226157961,0.568732742688976,-0.497944032731216
42,42,2018-10-31,4704.66,4714.818,3924.798,4231.861,IC8888.CCFX,True,2018,10,44,-2,-2,2018-09,5.4,8.7,3.7,3.7,6.1,7.4,9.7,10.8,-16.2,-8.2,4.6,0.0,-10.6,0.6,3.6,4.0,2018.0,9.0,0.018362606900368617,-0.11682446226157961,0.007519957408495426,-0.07274209051719949,-0.0033657249463739936,-0.09869186357075066,0.006872816,0,0.0,0.568732742688976,-0.4795814258308474
43,43,2018-11-30,4274.861,4700.672,4220.021,4309.569,IC8888.CCFX,True,2018,11,48,-1,-1,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,-0.04895153088394688,0.018362606900368617,-0.11682446226157961,0.007519957408495426,-0.07274209051719949,-0.0033657249463739936,-0.1138398,-1,0.04895153088394688,0.6176842735729229,-0.5285329567147943
44,44,2018-12-28,4464.542,4510.319,4066.311,4098.609,IC8888.CCFX,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.01601421360271238,-0.04895153088394688,0.018362606900368617,-0.11682446226157961,0.007519957408495426,-0.07274209051719949,0.010821482,0,0.0,0.6176842735729229,-0.5125187431120819
45,45,2019-01-31,4115.243,4390.883,4032.905,4164.245,IC8888.CCFX,True,2019,1,5,1,1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.20753533953934022,0.01601421360271238,-0.04895153088394688,0.018362606900368617,-0.11682446226157961,0.007519957408495426,-0.11360507,-1,-0.20753533953934022,0.41014893403358266,-0.3049834035727417
46,46,2019-02-28,4179.388,5172.345,4179.301,5028.473,IC8888.CCFX,True,2019,2,9,2,2,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,0.0962405485721014,0.20753533953934022,0.01601421360271238,-0.04895153088394688,0.018362606900368617,-0.11682446226157961,0.016410956,0,0.0,0.41014893403358266,-0.20874285500064027
47,47,2019-03-29,5062.414,5604.41,4970.809,5512.416,IC8888.CCFX,True,2019,3,13,3,3,2019-02,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,0.3,0.9,0.0,-17.4,-14.9,-15.1,0.1,0.1,2019.0,2.0,-0.04907866169752073,0.0962405485721014,0.20753533953934022,0.01601421360271238,-0.04895153088394688,0.018362606900368617,0.20423022,1,-0.04907866169752073,0.3610702723360619,-0.257821516698161
48,48,2019-04-30,5555.788,5921.28,5198.19,5241.874,IC8888.CCFX,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,-0.09224277424447813,-0.04907866169752073,0.0962405485721014,0.20753533953934022,0.01601421360271238,-0.04895153088394688,0.13796416,1,-0.09224277424447813,0.2688274980915838,-0.35006429094263913
49,49,2019-05-31,5093.674,5097.275,4696.119,4758.349,IC8888.CCFX,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,0.022426055760096597,-0.09224277424447813,-0.04907866169752073,0.0962405485721014,0.20753533953934022,0.01601421360271238,0.15596485,1,0.022426055760096597,0.2912535538516804,-0.32763823518254254
50,50,2019-06-28,4799.947,4995.003,4542.646,4865.06,IC8888.CCFX,True,2019,6,26,6,6,2019-05,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,-3.1,-30.1,-9.0,-17.4,-21.5,-14.1,0.6,0.4,2019.0,5.0,-0.009920535409635223,0.022426055760096597,-0.09224277424447813,-0.04907866169752073,0.0962405485721014,0.20753533953934022,0.09406382,1,-0.009920535409635223,0.28133301844204517,-0.33755877059217776
51,51,2019-07-31,4975.215,5024.365,4651.983,4816.796,IC8888.CCFX,True,2019,7,31,7,7,2019-06,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,-2.9,-23.7,-10.5,-14.0,-15.2,-14.2,0.0,0.3,2019.0,6.0,-0.001503696648145425,-0.009920535409635223,0.022426055760096597,-0.09224277424447813,-0.04907866169752073,0.0962405485721014,-0.009282737,0,-0.0,0.28133301844204517,-0.3390624672403232
