,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2010-04-30,3474.055,3514.659,3062.854,3125.241,IF8888.CCFX,True,2010,4,17,-104,-104,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.10351425698050165,,,,,,0.5,1,-0.10351425698050165,-0.10351425698050165,-0.10351425698050165
1,1,2010-05-31,3101.05,3113.894,2684.442,2801.734,IF8888.CCFX,True,2010,5,22,-103,-103,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,-0.07589942514171588,-0.10351425698050165,,,,,-0.099941134,-1,0.07589942514171588,-0.02761483183878577,-0.17941368212221753
2,2,2010-06-30,2790.292,2829.746,2574.014,2589.084,IF8888.CCFX,True,2010,6,26,-102,-102,2010-05,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,26.4,16.2,28.2,31.9,26.6,53.6,7.13,5.9,2010.0,5.0,0.11241311599005677,-0.07589942514171588,-0.10351425698050165,,,,-0.07577213,-1,-0.11241311599005677,-0.14002794782884254,-0.06700056613216077
3,3,2010-07-30,2587.6,2903.45,2490.177,2880.131,IF8888.CCFX,True,2010,7,30,-101,-101,2010-06,25.5,24.9,18.8,16.2,19.7,21.4,19.4,20.6,11.3,16.0,25.7,32.0,18.4,46.6,6.41,6.0,2010.0,6.0,0.012687617334072643,0.11241311599005677,-0.07589942514171588,-0.10351425698050165,,,0.08658936,1,0.012687617334072643,-0.1273403304947699,-0.05431294879808812
4,4,2010-08-31,2895.172,3018.351,2821.228,2916.673,IF8888.CCFX,True,2010,8,35,-100,-100,2010-07,24.9,25.1,18.8,17.4,21.0,21.5,20.6,20.4,12.4,15.3,29.0,34.0,17.1,42.3,4.84,5.83,2010.0,7.0,0.014715396617996035,0.012687617334072643,0.11241311599005677,-0.07589942514171588,-0.10351425698050165,,0.013015795,0,0.0,-0.1273403304947699,-0.03959755218009209
5,5,2010-09-30,2930.762,3014.865,2847.61,2959.593,IF8888.CCFX,True,2010,9,39,-99,-99,2010-08,24.8,24.9,18.9,19.3,20.1,21.4,22.1,20.9,20.6,16.1,32.2,58.1,13.1,38.4,4.32,5.64,2010.0,8.0,0.16156005234503534,0.014715396617996035,0.012687617334072643,0.11241311599005677,-0.07589942514171588,-0.10351425698050165,0.0146414125,0,0.0,-0.1273403304947699,0.12196250016494325
6,6,2010-10-29,2980.006,3631.658,2971.777,3437.745,IF8888.CCFX,True,2010,10,43,-98,-98,2010-09,24.5,25.4,18.5,16.2,20.2,21.4,19.1,20.7,19.5,17.3,32.3,32.0,17.8,35.3,4.33,5.5,2010.0,9.0,-0.07856167342254872,0.16156005234503534,0.014715396617996035,0.012687617334072643,0.11241311599005677,-0.07589942514171588,0.013343092,0,-0.0,-0.1273403304947699,0.04340082674239454
7,7,2010-11-30,3468.037,3671.309,3077.56,3167.67,IF8888.CCFX,True,2010,11,48,-97,-97,2010-10,24.4,25.7,18.5,15.9,18.8,21.4,17.0,20.6,56.3,21.5,33.2,43.5,23.0,33.8,5.04,5.45,2010.0,10.0,0.0035830752572079128,-0.07856167342254872,0.16156005234503534,0.014715396617996035,0.012687617334072643,0.11241311599005677,0.014894851,0,0.0,-0.1273403304947699,0.04698390199960245
8,8,2010-12-31,3167.621,3327.633,3071.334,3179.02,IF8888.CCFX,True,2010,12,52,-96,-96,2010-11,24.9,26.1,18.5,17.3,19.0,21.1,18.8,20.6,70.7,26.8,32.3,44.9,27.6,33.1,6.06,5.51,2010.0,11.0,-0.026144220545954333,0.0035830752572079128,-0.07856167342254872,0.16156005234503534,0.014715396617996035,0.012687617334072643,0.1515638,1,-0.026144220545954333,-0.15348455104072423,0.020839681453648118
9,9,2011-01-31,3195.231,3249.869,2949.552,3095.907,IF8888.CCFX,True,2011,1,5,-95,-95,2010-12,24.5,26.9,19.0,21.2,23.9,21.7,19.2,20.6,43.1,28.0,32.7,44.9,23.9,31.9,5.93,5.54,2010.0,12.0,0.05499616106039351,-0.026144220545954333,0.0035830752572079128,-0.07856167342254872,0.16156005234503534,0.014715396617996035,-0.025284752,-1,-0.05499616106039351,-0.20848071210111774,0.07583584251404163
