,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-04-30,3105.589,3377.906,3088.832,3271.287,IH8888.CCFX,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.04558175421477839,,,,,,0.5,1,-0.04558175421477839,-0.04558175421477839,-0.04558175421477839
1,1,2015-05-29,3295.906,3512.508,2962.049,3122.176,IH8888.CCFX,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.08566717571334859,-0.04558175421477839,,,,,-0.042351626,-1,0.08566717571334859,0.040085421498570195,-0.13124892992812698
2,2,2015-06-30,3106.587,3573.245,2475.898,2854.708,IH8888.CCFX,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.1624449856167427,-0.08566717571334859,-0.04558175421477839,,,,-0.08288746,-1,0.1624449856167427,0.2025304071153129,-0.2936939155448697
3,3,2015-07-31,2855.864,3001.265,2318.115,2390.975,IH8888.CCFX,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.1475912546137036,-0.1624449856167427,-0.08566717571334859,-0.04558175421477839,,,-0.15899414,-1,0.1475912546137036,0.3501216617290165,-0.44128517015857327
4,4,2015-08-31,2378.526,2587.872,1772.105,2038.088,IH8888.CCFX,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,0.02469029796554434,-0.1475912546137036,-0.1624449856167427,-0.08566717571334859,-0.04558175421477839,,-0.14712326,-1,-0.02469029796554434,0.32543136376347215,-0.41659487219302893
5,5,2015-09-30,2035.877,2230.01,1952.327,2088.409,IH8888.CCFX,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.08859710909117902,0.02469029796554434,-0.1475912546137036,-0.1624449856167427,-0.08566717571334859,-0.04558175421477839,0.018237045,0,0.0,0.32543136376347215,-0.3279977631018499
6,6,2015-10-30,2181.147,2333.765,2147.499,2273.436,IH8888.CCFX,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,0.011658124530446345,0.08859710909117902,0.02469029796554434,-0.1475912546137036,-0.1624449856167427,-0.08566717571334859,-0.10368849,-1,-0.011658124530446345,0.3137732392330258,-0.31633963857140357
7,7,2015-11-30,2251.795,2553.853,2236.194,2299.94,IH8888.CCFX,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,0.033180430793846805,0.011658124530446345,0.08859710909117902,0.02469029796554434,-0.1475912546137036,-0.1624449856167427,-0.15987219,-1,-0.033180430793846805,0.280592808439179,-0.28315920777755677
8,8,2015-12-31,2298.78,2499.051,2280.617,2376.253,IH8888.CCFX,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,-0.18486878291158393,0.033180430793846805,0.011658124530446345,0.08859710909117902,0.02469029796554434,-0.1475912546137036,0.025339754,1,-0.18486878291158393,0.09572402552759507,-0.4680279906891407
9,9,2016-01-29,2362.29,2373.838,1872.541,1936.958,IH8888.CCFX,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,-0.023118725341489066,-0.18486878291158393,0.033180430793846805,0.011658124530446345,0.08859710909117902,0.02469029796554434,0.02551872,1,-0.023118725341489066,0.072605300186106,-0.49114671603062976
10,10,2016-02-29,1939.871,2020.662,1853.09,1892.178,IH8888.CCFX,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.13155316254601823,-0.023118725341489066,-0.18486878291158393,0.033180430793846805,0.011658124530446345,0.08859710909117902,0.016005574,0,0.0,0.072605300186106,-0.35959355348461153
11,11,2016-03-31,1892.856,2190.472,1891.13,2141.1,IH8888.CCFX,True,2016,3,13,-33,-33,2016-02,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,12.1,15.6,-12.9,-11.3,16.3,5.3,-4.9,-5.1,2016.0,2.0,-0.01351688384475258,0.13155316254601823,-0.023118725341489066,-0.18486878291158393,0.033180430793846805,0.011658124530446345,-0.020769048,-1,0.01351688384475258,0.08612218403085858,-0.3731104373293641
12,12,2016-04-29,2137.549,2187.583,2070.697,2112.159,IH8888.CCFX,True,2016,4,17,-32,-32,2016-03,10.7,6.4,8.3,8.2,6.0,4.8,4.1,3.8,15.1,15.8,-7.6,-1.5,8.9,6.5,-4.3,-4.8,2016.0,3.0,0.009854371758944103,-0.01351688384475258,0.13155316254601823,-0.023118725341489066,-0.18486878291158393,0.033180430793846805,0.026119873,1,0.009854371758944103,0.09597655578980269,-0.36325606557042
13,13,2016-05-31,2117.789,2151.728,2021.841,2132.973,IH8888.CCFX,True,2016,5,22,-31,-31,2016-04,10.5,6.0,8.6,9.3,3.8,4.5,5.0,4.1,14.8,16.1,-7.1,-4.3,4.3,5.5,-3.4,-4.5,2016.0,4.0,-0.0197742774990588,0.009854371758944103,-0.01351688384475258,0.13155316254601823,-0.023118725341489066,-0.18486878291158393,-0.15645891,-1,0.0197742774990588,0.11575083328886149,-0.3830303430694788
