,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2022-07-29,6891.741,7103.288,6771.913,7024.024,IM8888.CCFX,True,2022,7,30,43,43,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022.0,6.0,-0.057488129311631164,,,,,,0.5,1,-0.057488129311631164,-0.057488129311631164,-0.057488129311631164
1,1,2022-08-31,7009.742,7277.902,6608.024,6620.226,IM8888.CCFX,True,2022,8,35,44,44,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,-0.08957262184100667,-0.057488129311631164,,,,,-0.05418751,-1,0.08957262184100667,0.03208449252937551,-0.14706075115263784
2,2,2022-09-30,6629.952,6861.003,6018.143,6027.235,IM8888.CCFX,True,2022,9,39,45,45,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,0.03279132139364083,-0.08957262184100667,-0.057488129311631164,,,,-0.08689643,-1,-0.03279132139364083,-0.0007068288642653187,-0.11426942975899701
3,3,2022-10-31,6039.929,6514.355,5807.544,6224.876,IM8888.CCFX,True,2022,10,44,46,46,2022-09,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,16.4,4.6,-11.1,-12.0,25.4,8.1,0.9,5.9,2022.0,9.0,0.04833863357278112,0.03279132139364083,-0.08957262184100667,-0.057488129311631164,,,-0.086897194,-1,-0.04833863357278112,-0.04904546243704644,-0.06593079618621589
4,4,2022-11-30,6247.375,6759.765,6212.776,6525.778,IM8888.CCFX,True,2022,11,48,47,47,2022-10,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022.0,10.0,-0.044796344589104975,0.04833863357278112,0.03279132139364083,-0.08957262184100667,-0.057488129311631164,,-0.04232064,-1,0.044796344589104975,-0.004249117847941464,-0.11072714077532086
5,5,2022-12-30,6604.946,6690.799,6086.35,6233.447,IM8888.CCFX,True,2022,12,52,48,48,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0,0.08991188984200882,-0.044796344589104975,0.04833863357278112,0.03279132139364083,-0.08957262184100667,-0.057488129311631164,-0.07450164,-1,-0.08991188984200882,-0.09416100768995028,-0.020815250933312046
6,6,2023-01-31,6227.942,6860.375,6222.635,6793.908,IM8888.CCFX,True,2023,1,5,49,49,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0,0.011418906467382195,0.08991188984200882,-0.044796344589104975,0.04833863357278112,0.03279132139364083,-0.08957262184100667,0.050568357,1,0.011418906467382195,-0.08274210122256809,-0.009396344465929851
7,7,2023-02-28,6804.339,7030.841,6746.802,6871.487,IM8888.CCFX,True,2023,2,9,50,50,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,-0.008638013868031758,0.011418906467382195,0.08991188984200882,-0.044796344589104975,0.04833863357278112,0.03279132139364083,0.07775864,1,-0.008638013868031758,-0.09138011509059984,-0.01803435833396161
8,8,2023-03-31,6862.635,6946.275,6602.453,6812.131,IM8888.CCFX,True,2023,3,13,51,51,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.01620183170288425,-0.008638013868031758,0.011418906467382195,0.08991188984200882,-0.044796344589104975,0.04833863357278112,0.007268042,0,-0.0,-0.09138011509059984,-0.03423619003684586
9,9,2023-04-28,6816.761,6973.598,6483.441,6701.762,IM8888.CCFX,True,2023,4,17,52,52,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0,-0.027480832652666543,-0.01620183170288425,-0.008638013868031758,0.011418906467382195,0.08991188984200882,-0.044796344589104975,0.01132741,0,-0.0,-0.09138011509059984,-0.0617170226895124
