,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2011-04-29,2299.811,2396.139,2227.363,2330.938,J8888.XDCE,True,2011,4,17,-92,-92,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,0.014839090529220389,,,,,,0.5,1,0.014839090529220389,0.014839090529220389,0.014839090529220389
1,1,2011-05-31,2332.498,2444.408,2256.572,2365.527,J8888.XDCE,True,2011,5,22,-91,-91,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,-0.02330516624836665,0.014839090529220389,,,,,0.017711498,0,-0.0,0.014839090529220389,-0.00846607571914626
2,2,2011-06-30,2371.185,2376.308,2271.981,2310.398,J8888.XDCE,True,2011,6,26,-90,-90,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,-0.008875959899549812,-0.02330516624836665,0.014839090529220389,,,,0.014880193,0,-0.0,0.014839090529220389,-0.017342035618696072
3,3,2011-07-29,2309.335,2350.248,2280.064,2289.891,J8888.XDCE,True,2011,7,30,-89,-89,2011-06,25.6,32.4,19.0,19.3,18.5,20.2,18.9,22.1,37.6,29.9,24.7,27.3,3.6,5.0,7.12,6.98,2011.0,6.0,-0.03463265282059291,-0.008875959899549812,-0.02330516624836665,0.014839090529220389,,,-0.008529729,0,-0.0,0.014839090529220389,-0.051974688439288985
4,4,2011-08-31,2292.44,2321.409,2087.889,2210.586,J8888.XDCE,True,2011,8,35,-88,-88,2011-07,25.4,31.8,19.0,17.9,15.8,19.7,17.4,21.5,23.5,28.8,23.1,23.5,-1.3,4.0,7.54,7.06,2011.0,7.0,-0.07605132756653654,-0.03463265282059291,-0.008875959899549812,-0.02330516624836665,0.014839090529220389,,-0.018579751,0,-0.0,0.014839090529220389,-0.12802601600582553
5,5,2011-09-30,2208.769,2245.555,2006.408,2042.468,J8888.XDCE,True,2011,9,39,-87,-87,2011-08,25.0,32.2,18.6,16.0,15.7,19.0,17.6,21.2,18.4,27.0,20.1,11.3,9.5,4.7,7.25,7.09,2011.0,8.0,-0.03913745527469714,-0.07605132756653654,-0.03463265282059291,-0.008875959899549812,-0.02330516624836665,0.014839090529220389,-0.07363758,-1,0.03913745527469714,0.05397654580391753,-0.16716347128052267
6,6,2011-10-31,2061.623,2089.594,1888.918,1962.531,J8888.XDCE,True,2011,10,44,-86,-86,2011-09,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,30.4,26.9,20.3,15.2,2.5,4.5,6.52,7.02,2011.0,9.0,0.014195954102126374,-0.03913745527469714,-0.07605132756653654,-0.03463265282059291,-0.008875959899549812,-0.02330516624836665,-0.07367114,-1,-0.014195954102126374,0.03978059170179116,-0.1529675171783963
7,7,2011-11-30,1957.511,2084.236,1896.222,1990.391,J8888.XDCE,True,2011,11,48,-85,-85,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011.0,10.0,-0.006053082032625778,0.014195954102126374,-0.03913745527469714,-0.07605132756653654,-0.03463265282059291,-0.008875959899549812,-0.008962454,0,-0.0,0.03978059170179116,-0.15902059921102207
8,8,2011-12-30,2033.445,2055.971,1909.838,1978.343,J8888.XDCE,True,2011,12,52,-84,-84,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011.0,11.0,0.06009979058232062,-0.006053082032625778,0.014195954102126374,-0.03913745527469714,-0.07605132756653654,-0.03463265282059291,-0.07360865,-1,-0.06009979058232062,-0.020319198880529465,-0.09892080862870145
9,9,2012-01-31,1990.668,2119.849,1955.228,2097.241,J8888.XDCE,True,2012,1,5,-83,-83,2011-12,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,32.7,28.9,15.3,-11.0,-6.5,3.0,1.69,6.03,2011.0,12.0,-0.0018719832389314517,0.06009979058232062,-0.006053082032625778,0.014195954102126374,-0.03913745527469714,-0.07605132756653654,-0.013613654,0,-0.0,-0.020319198880529465,-0.1007927918676329
10,10,2012-02-29,2096.649,2125.664,2038.416,2093.315,J8888.XDCE,True,2012,2,9,-82,-82,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,-0.028963151747348204,-0.0018719832389314517,0.06009979058232062,-0.006053082032625778,0.014195954102126374,-0.03913745527469714,0.04518119,1,-0.028963151747348204,-0.04928235062787767,-0.1297559436149811
11,11,2012-03-30,2089.131,2100.661,2004.146,2032.686,J8888.XDCE,True,2012,3,13,-81,-81,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,-0.02278364685937717,-0.028963151747348204,-0.0018719832389314517,0.06009979058232062,-0.006053082032625778,0.014195954102126374,0.010045356,0,-0.0,-0.04928235062787767,-0.15253959047435828
12,12,2012-04-27,2028.259,2054.091,1960.491,1986.374,J8888.XDCE,True,2012,4,17,-80,-80,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,-0.05882628346927621,-0.02278364685937717,-0.028963151747348204,-0.0018719832389314517,0.06009979058232062,-0.006053082032625778,-0.022461519,-1,0.05882628346927621,0.00954393284139854,-0.21136587394363449
13,13,2012-05-31,1997.838,2001.317,1852.005,1869.523,J8888.XDCE,True,2012,5,22,-79,-79,2012-04,20.2,24.36,12.0,10.1,7.4,9.0,6.8,10.9,0.6,-0.1,-9.2,-19.0,10.7,3.1,-0.7,-0.07,2012.0,4.0,-0.10748089218479784,-0.05882628346927621,-0.02278364685937717,-0.028963151747348204,-0.0018719832389314517,0.06009979058232062,0.009583578,0,-0.0,0.00954393284139854,-0.3188467661284323
