,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-11-29,4144.396,4294.172,4034.42,4254.241,JD8888.XDCE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.04937449476886713,,,,,,0.5,1,-0.04937449476886713,-0.04937449476886713,-0.04937449476886713
1,1,2013-12-31,4257.569,4277.703,4029.827,4044.19,JD8888.XDCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.010502968455982531,-0.04937449476886713,,,,,-0.04612191,-1,0.010502968455982531,-0.0388715263128846,-0.05987746322484966
2,2,2014-01-30,4042.544,4123.372,3824.072,4001.714,JD8888.XDCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,0.007899615014966166,-0.010502968455982531,-0.04937449476886713,,,,-0.0104196165,0,0.0,-0.0388715263128846,-0.05197784820988349
3,3,2014-02-28,4019.279,4127.447,3929.624,4033.326,JD8888.XDCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,0.11620781459272078,0.007899615014966166,-0.010502968455982531,-0.04937449476886713,,,-0.029045869,-1,-0.11620781459272078,-0.15507934090560538,0.06422996638283729
4,4,2014-03-31,4051.741,4546.58,4029.448,4502.03,JD8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,0.09978720710435063,0.11620781459272078,0.007899615014966166,-0.010502968455982531,-0.04937449476886713,,0.07606169,1,0.09978720710435063,-0.05529213380125475,0.16401717348718792
5,5,2014-04-30,4513.451,4954.183,4465.787,4951.275,JD8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.02673351813421787,0.09978720710435063,0.11620781459272078,0.007899615014966166,-0.010502968455982531,-0.04937449476886713,0.09968085,1,-0.02673351813421787,-0.08202565193547262,0.13728365535297005
6,6,2014-05-30,4977.744,5203.98,4811.222,4818.91,JD8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.08557993405147646,-0.02673351813421787,0.09978720710435063,0.11620781459272078,0.007899615014966166,-0.010502968455982531,-0.024727067,-1,-0.08557993405147646,-0.16760558598694908,0.2228635894044465
7,7,2014-06-30,4747.579,5239.555,4742.123,5231.312,JD8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.03619742045590091,0.08557993405147646,-0.02673351813421787,0.09978720710435063,0.11620781459272078,0.007899615014966166,0.017028544,0,-0.0,-0.16760558598694908,0.1866661689485456
8,8,2014-07-31,5198.783,5310.582,4917.547,5041.952,JD8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.0915147546029792,-0.03619742045590091,0.08557993405147646,-0.02673351813421787,0.09978720710435063,0.11620781459272078,0.09977437,1,-0.0915147546029792,-0.2591203405899283,0.0951514143455664
9,9,2014-08-29,5012.579,5071.453,4532.276,4580.539,JD8888.XDCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.001013854483064014,-0.0915147546029792,-0.03619742045590091,0.08557993405147646,-0.02673351813421787,0.09978720710435063,-0.07298619,-1,0.001013854483064014,-0.25810648610686426,0.09413755986250238
