,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-03-29,1280.605,1304.482,1233.098,1242.309,JM8888.XDCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,,,9.2,,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.08205285480504443,,,,,,0.5,1,-0.08205285480504443,-0.08205285480504443,-0.08205285480504443
1,1,2013-04-26,1236.856,1243.895,1128.752,1140.374,JM8888.XDCE,True,2013,4,17,-68,-68,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.0350271051426988,-0.08205285480504443,,,,,-0.0786068,-1,0.0350271051426988,-0.04702574966234563,-0.11707995994774323
2,2,2013-05-31,1125.567,1189.733,1099.32,1100.43,JM8888.XDCE,True,2013,5,22,-67,-67,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.06710195105549654,-0.0350271051426988,-0.08205285480504443,,,,-0.0348393,-1,0.06710195105549654,0.020076201393150916,-0.18418191100323977
3,3,2013-06-28,1100.537,1112.538,999.355,1026.589,JM8888.XDCE,True,2013,6,26,-66,-66,2013-05,20.4,17.8,13.0,12.9,9.4,9.0,8.7,7.1,5.61,8.59,-4.88,-1.77,15.77,15.35,-2.87,-2.13,2013.0,5.0,0.024800577446280947,-0.06710195105549654,-0.0350271051426988,-0.08205285480504443,,,-0.035287745,-1,-0.024800577446280947,-0.0047243760531300305,-0.15938133355695883
4,4,2013-07-31,1023.665,1078.927,1008.563,1052.049,JM8888.XDCE,True,2013,7,31,-65,-65,2013-06,20.1,17.1,12.7,11.5,9.9,9.2,7.6,7.2,6.69,7.37,-12.55,-9.07,13.35,15.11,-2.7,-2.23,2013.0,6.0,0.08127473150014897,0.024800577446280947,-0.06710195105549654,-0.0350271051426988,-0.08205285480504443,,-0.07993003,-1,-0.08127473150014897,-0.085999107553279,-0.07810660205680986
5,5,2013-08-30,1057.694,1223.752,1054.065,1137.554,JM8888.XDCE,True,2013,8,35,-64,-64,2013-07,20.1,17.08,12.5,11.1,9.2,9.2,8.5,7.4,3.09,6.51,-5.37,-0.75,15.44,15.15,-2.27,-2.23,2013.0,7.0,0.007407120892722441,0.08127473150014897,0.024800577446280947,-0.06710195105549654,-0.0350271051426988,-0.08205285480504443,0.064669415,1,0.007407120892722441,-0.07859198666055656,-0.07069948116408742
6,6,2013-09-30,1146.048,1184.483,1129.545,1145.98,JM8888.XDCE,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013.0,8.0,-0.041299150072427016,0.007407120892722441,0.08127473150014897,0.024800577446280947,-0.06710195105549654,-0.0350271051426988,0.059529558,1,-0.041299150072427016,-0.11989113673298357,-0.11199863123651443
7,7,2013-10-31,1149.966,1181.702,1095.468,1098.652,JM8888.XDCE,True,2013,10,44,-62,-62,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013.0,9.0,0.0034578738308399526,-0.041299150072427016,0.007407120892722441,0.08127473150014897,0.024800577446280947,-0.06710195105549654,-0.0250156,-1,-0.0034578738308399526,-0.12334901056382352,-0.10854075740567448
8,8,2013-11-29,1099.457,1124.557,1090.169,1102.451,JM8888.XDCE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.08494799315343726,0.0034578738308399526,-0.041299150072427016,0.007407120892722441,0.08127473150014897,0.024800577446280947,0.021020642,1,-0.08494799315343726,-0.2082970037172608,-0.19348875055911174
9,9,2013-12-31,1104.056,1124.156,1005.688,1008.8,JM8888.XDCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.07050455987311655,-0.08494799315343726,0.0034578738308399526,-0.041299150072427016,0.007407120892722441,0.08127473150014897,-0.040754102,-1,0.07050455987311655,-0.13779244384414424,-0.2639933104322283
10,10,2014-01-30,1008.478,1016.327,919.411,937.675,JM8888.XDCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.01583277788146209,-0.07050455987311655,-0.08494799315343726,0.0034578738308399526,-0.041299150072427016,0.007407120892722441,-0.082818605,-1,0.01583277788146209,-0.12195966596268215,-0.2798260883136904
11,11,2014-02-28,943.675,965.06,908.148,922.829,JM8888.XDCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,-0.09648591450853838,-0.01583277788146209,-0.07050455987311655,-0.08494799315343726,0.0034578738308399526,-0.041299150072427016,-0.015839398,0,-0.0,-0.12195966596268215,-0.37631200282222876
12,12,2014-03-31,919.325,922.029,783.357,833.789,JM8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,-0.012798201943177379,-0.09648591450853838,-0.01583277788146209,-0.07050455987311655,-0.08494799315343726,0.0034578738308399526,-0.08014978,-1,0.012798201943177379,-0.10916146401950477,-0.38911020476540614
13,13,2014-04-30,835.309,904.346,810.908,823.118,JM8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,0.003681124699010274,-0.012798201943177379,-0.09648591450853838,-0.01583277788146209,-0.07050455987311655,-0.08494799315343726,-0.029990017,-1,-0.003681124699010274,-0.11284258871851505,-0.38542908006639587
14,14,2014-05-30,822.353,870.355,801.741,826.148,JM8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,-0.017703849673424088,0.003681124699010274,-0.012798201943177379,-0.09648591450853838,-0.01583277788146209,-0.07050455987311655,-0.085270226,-1,0.017703849673424088,-0.09513873904509096,-0.40313292973981996
15,15,2014-06-30,830.256,846.691,797.77,811.522,JM8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.048842791692646714,-0.017703849673424088,0.003681124699010274,-0.012798201943177379,-0.09648591450853838,-0.01583277788146209,-0.012833825,0,-0.0,-0.09513873904509096,-0.45197572143246667
16,16,2014-07-31,813.746,823.518,762.03,771.885,JM8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.028901973739611453,-0.048842791692646714,-0.017703849673424088,0.003681124699010274,-0.012798201943177379,-0.09648591450853838,-0.046548188,-1,-0.028901973739611453,-0.12404071278470241,-0.4230737476928552
17,17,2014-08-29,771.558,815.605,765.193,794.194,JM8888.XDCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.01810137069783957,0.028901973739611453,-0.048842791692646714,-0.017703849673424088,0.003681124699010274,-0.012798201943177379,0.0035864292,0,-0.0,-0.12404071278470241,-0.4411751183906948
18,18,2014-09-30,795.998,813.839,761.05,779.818,JM8888.XDCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.020423996368383435,-0.01810137069783957,0.028901973739611453,-0.048842791692646714,-0.017703849673424088,0.003681124699010274,-0.046655245,-1,0.020423996368383435,-0.10361671641631898,-0.4615991147590782
19,19,2014-10-31,785.524,835.397,758.629,763.891,JM8888.XDCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.0003181082117735823,-0.020423996368383435,-0.01810137069783957,0.028901973739611453,-0.048842791692646714,-0.017703849673424088,-0.017800383,0,-0.0,-0.10361671641631898,-0.4619172229708518
20,20,2014-11-28,761.3,783.021,742.693,763.648,JM8888.XDCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.024956524472008024,-0.0003181082117735823,-0.020423996368383435,-0.01810137069783957,0.028901973739611453,-0.048842791692646714,-0.017768139,0,-0.0,-0.10361671641631898,-0.4868737474428598
21,21,2014-12-31,757.95,785.67,714.557,744.59,JM8888.XDCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.022197450946158326,-0.024956524472008024,-0.0003181082117735823,-0.020423996368383435,-0.01810137069783957,0.028901973739611453,-0.0025984857,0,-0.0,-0.10361671641631898,-0.5090711983890182
22,22,2015-01-30,739.868,759.109,716.135,728.062,JM8888.XDCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,-0.00015383305267957503,-0.022197450946158326,-0.024956524472008024,-0.0003181082117735823,-0.020423996368383435,-0.01810137069783957,-0.019842062,0,-0.0,-0.10361671641631898,-0.5092250314416977
23,23,2015-02-27,728.995,744.819,726.229,727.95,JM8888.XDCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.04981386084209083,-0.00015383305267957503,-0.022197450946158326,-0.024956524472008024,-0.0003181082117735823,-0.020423996368383435,-0.021837808,-1,0.04981386084209083,-0.05380285557422815,-0.5590388922837886
24,24,2015-03-31,727.057,734.557,687.427,691.688,JM8888.XDCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.029767756560761582,-0.04981386084209083,-0.00015383305267957503,-0.022197450946158326,-0.024956524472008024,-0.0003181082117735823,-0.021895299,-1,0.029767756560761582,-0.024035099013466565,-0.5888066488445501
25,25,2015-04-30,689.317,696.913,658.663,671.098,JM8888.XDCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,0.02589487675421487,-0.029767756560761582,-0.04981386084209083,-0.00015383305267957503,-0.022197450946158326,-0.024956524472008024,-0.0007476524,0,0.0,-0.024035099013466565,-0.5629117720903353
26,26,2015-05-29,669.032,699.963,655.357,688.476,JM8888.XDCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.015551740365677191,0.02589487675421487,-0.029767756560761582,-0.04981386084209083,-0.00015383305267957503,-0.022197450946158326,-0.02611082,-1,0.015551740365677191,-0.008483358647789374,-0.5784635124560125
