,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-11-29,3061.965,3125.548,3026.091,3098.068,JR8888.XZCE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.008017254624495096,,,,,,0.5,1,-0.008017254624495096,-0.008017254624495096,-0.008017254624495096
1,1,2013-12-31,3094.452,3111.991,3015.93,3073.23,JR8888.XZCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,0.003318007438428028,-0.008017254624495096,,,,,-0.005009524,0,0.0,-0.008017254624495096,-0.004699247186067068
2,2,2014-01-30,3079.721,3179.638,3044.332,3083.427,JR8888.XZCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,0.009912671842077003,0.003318007438428028,-0.008017254624495096,,,,0.0031127336,0,0.0,-0.008017254624495096,0.005213424656009935
3,3,2014-02-28,3066.048,3123.68,3060.885,3113.992,JR8888.XZCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,0.006973685224624715,0.009912671842077003,0.003318007438428028,-0.008017254624495096,,,-0.0002736278,0,0.0,-0.008017254624495096,0.01218710988063465
4,4,2014-03-31,3114.844,3180.369,3091.159,3135.708,JR8888.XZCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,0.009643755094543183,0.006973685224624715,0.009912671842077003,0.003318007438428028,-0.008017254624495096,,0.00710648,0,0.0,-0.008017254624495096,0.021830864975177833
5,5,2014-04-30,3150.088,3208.854,3063.279,3165.948,JR8888.XZCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,0.00792906263779436,0.009643755094543183,0.006973685224624715,0.009912671842077003,0.003318007438428028,-0.008017254624495096,0.007253673,0,0.0,-0.008017254624495096,0.029759927612972192
6,6,2014-05-30,3220.528,3476.455,3132.791,3191.051,JR8888.XZCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.014468900685072228,0.00792906263779436,0.009643755094543183,0.006973685224624715,0.009912671842077003,0.003318007438428028,0.0089190705,0,0.0,-0.008017254624495096,0.04422882829804442
7,7,2014-06-30,3191.051,3304.028,3150.216,3237.222,JR8888.XZCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.02388251408151809,0.014468900685072228,0.00792906263779436,0.009643755094543183,0.006973685224624715,0.009912671842077003,0.012335595,0,-0.0,-0.008017254624495096,0.02034631421652633
8,8,2014-07-31,3255.593,3330.741,3156.091,3159.909,JR8888.XZCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.07406384171189728,-0.02388251408151809,0.014468900685072228,0.00792906263779436,0.009643755094543183,0.006973685224624715,0.013852286,0,0.0,-0.008017254624495096,0.09441015592842361
9,9,2014-08-29,3138.364,3409.944,3138.364,3393.944,JR8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0930578112072562,0.07406384171189728,-0.02388251408151809,0.014468900685072228,0.00792906263779436,0.009643755094543183,-0.021759056,-1,0.0930578112072562,0.0850405565827611,0.001352344721167409
