,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-07-31,12808.801,12934.324,12458.259,12576.355,L8888.XDCE,True,2007,7,31,-137,-137,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007.0,6.0,-0.0222752140822996,,,,,,0.5,1,-0.0222752140822996,-0.0222752140822996,-0.0222752140822996
1,1,2007-08-31,12630.608,12831.105,12244.389,12296.214,L8888.XDCE,True,2007,8,35,-136,-136,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,0.01394038848055179,-0.0222752140822996,,,,,-0.019183068,0,0.0,-0.0222752140822996,-0.008334825601747808
2,2,2007-09-28,12319.444,12522.437,12283.301,12467.628,L8888.XDCE,True,2007,9,39,-135,-135,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,0.04912426004369075,0.01394038848055179,-0.0222752140822996,,,,0.013959276,0,0.0,-0.0222752140822996,0.04078943444194294
3,3,2007-10-31,12470.33,13137.729,12440.211,13080.091,L8888.XDCE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,0.06482997710031224,0.04912426004369075,0.01394038848055179,-0.0222752140822996,,,0.014249255,0,0.0,-0.0222752140822996,0.10561941154225518
4,4,2007-11-30,13160.187,14224.827,13030.689,13928.073,L8888.XDCE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,-0.021198984238523177,0.06482997710031224,0.04912426004369075,0.01394038848055179,-0.0222752140822996,,0.06423377,1,-0.021198984238523177,-0.04347419832082278,0.084420427303732
5,5,2007-12-28,13873.977,14072.37,13360.458,13632.812,L8888.XDCE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.017003975408741878,-0.021198984238523177,0.06482997710031224,0.04912426004369075,0.01394038848055179,-0.0222752140822996,0.013989205,0,0.0,-0.04347419832082278,0.10142440271247388
6,6,2008-01-31,13634.12,14389.136,13553.559,13864.624,L8888.XDCE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.048004186770589596,0.017003975408741878,-0.021198984238523177,0.06482997710031224,0.04912426004369075,0.01394038848055179,0.04610814,1,0.048004186770589596,0.00452998844976682,0.14942858948306348
7,7,2008-02-29,13864.717,14748.14,13847.981,14530.184,L8888.XDCE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,-0.06151064570138953,0.048004186770589596,0.017003975408741878,-0.021198984238523177,0.06482997710031224,0.04912426004369075,0.06425928,1,-0.06151064570138953,-0.05698065725162271,0.08791794378167395
8,8,2008-03-31,14598.036,14966.177,13599.92,13636.423,L8888.XDCE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,0.04335418459811646,-0.06151064570138953,0.048004186770589596,0.017003975408741878,-0.021198984238523177,0.06482997710031224,0.01701017,0,0.0,-0.05698065725162271,0.1312721283797904
9,9,2008-04-30,13575.426,14392.956,13532.075,14227.619,L8888.XDCE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008.0,3.0,0.054173013769907685,0.04335418459811646,-0.06151064570138953,0.048004186770589596,0.017003975408741878,-0.021198984238523177,0.0045994134,0,0.0,-0.05698065725162271,0.1854451421496981
