,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-07-31,211182.462,231241.735,201024.827,220630.671,LC8888.GFEX,True,2023,7,31,55,55,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,-0.16414673370594068,,,,,,0.5,1,-0.16414673370594068,-0.16414673370594068,-0.16414673370594068
1,1,2023-08-31,221399.051,226020.083,178255.922,184414.867,LC8888.GFEX,True,2023,8,35,56,56,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.22210081359655243,-0.16414673370594068,,,,,-0.16021463,-1,0.22210081359655243,0.05795407989061174,-0.3862475473024931
2,2,2023-09-28,185455.184,190820.625,139299.466,143456.175,LC8888.GFEX,True,2023,9,39,57,57,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.010497554392482455,-0.22210081359655243,-0.16414673370594068,,,,-0.21867032,-1,0.010497554392482455,0.0684516342830942,-0.39674510169497557
3,3,2023-10-31,142606.429,163418.385,138588.89,141950.236,LC8888.GFEX,True,2023,10,44,58,58,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,-0.24735946194552305,-0.010497554392482455,-0.22210081359655243,-0.16414673370594068,,,-0.21849047,-1,0.24735946194552305,0.31581109622861725,-0.6441045636404986
4,4,2023-11-30,141233.071,143462.626,106759.34,106837.502,LC8888.GFEX,True,2023,11,48,59,59,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.0017105603985386741,-0.24735946194552305,-0.010497554392482455,-0.22210081359655243,-0.16414673370594068,,-0.011165188,0,-0.0,0.31581109622861725,-0.6458151240390373
5,5,2023-12-29,106834.107,113901.515,85268.952,106654.75,LC8888.GFEX,True,2023,12,52,60,60,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.07131467656152213,-0.0017105603985386741,-0.24735946194552305,-0.010497554392482455,-0.22210081359655243,-0.16414673370594068,-0.2443734,-1,0.07131467656152213,0.3871257727901394,-0.7171298006005594
6,6,2024-01-31,105889.924,109096.993,94959.841,99048.701,LC8888.GFEX,True,2024,1,5,61,61,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.200005278211574,-0.07131467656152213,-0.0017105603985386741,-0.24735946194552305,-0.010497554392482455,-0.22210081359655243,-0.07089607,-1,-0.200005278211574,0.1871204945785654,-0.5171245223889854
7,7,2024-02-29,98902.125,119509.532,92500.557,118858.964,LC8888.GFEX,True,2024,2,9,62,62,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.0985394757437058,0.200005278211574,-0.07131467656152213,-0.0017105603985386741,-0.24735946194552305,-0.010497554392482455,-0.061707467,-1,0.0985394757437058,0.2856599703222712,-0.6156639981326912
8,8,2024-03-29,119308.46,124628.046,105811.57,107146.664,LC8888.GFEX,True,2024,3,13,63,63,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.044052346790750097,-0.0985394757437058,0.200005278211574,-0.07131467656152213,-0.0017105603985386741,-0.24735946194552305,0.1993481,1,0.044052346790750097,0.3297123171130213,-0.5716116513419411
9,9,2024-04-30,107160.8,117282.27,106109.339,111866.726,LC8888.GFEX,True,2024,4,18,64,64,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.044052346790750097,0.044052346790750097,-0.0985394757437058,0.200005278211574,-0.07131467656152213,-0.0017105603985386741,-0.07079209,-1,-0.044052346790750097,0.2856599703222712,-0.527559304551191
