,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2021-01-29,25853.805,26290.606,24068.213,25247.999,LH8888.XDCE,True,2021,1,4,25,25,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.13255878218309491,,,,,,0.5,1,0.13255878218309491,0.13255878218309491,0.13255878218309491
1,1,2021-02-26,25275.145,29327.575,24905.569,28594.843,LH8888.XDCE,True,2021,2,8,26,26,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.06738771043436054,0.13255878218309491,,,,,0.13473421,1,-0.06738771043436054,0.06517107174873438,0.06517107174873438
2,2,2021-03-31,28935.087,29099.044,26103.2,26667.902,LH8888.XDCE,True,2021,3,13,27,27,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.007509102140843327,-0.06738771043436054,0.13255878218309491,,,,0.13296726,1,0.007509102140843327,0.0726801738895777,0.0726801738895777
3,3,2021-04-30,26792.24,27616.607,26198.974,26868.154,LH8888.XDCE,True,2021,4,17,28,28,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.20389078460693644,0.007509102140843327,-0.06738771043436054,0.13255878218309491,,,0.010466436,0,-0.0,0.0726801738895777,-0.13121061071735873
4,4,2021-05-31,26552.286,26785.223,21245.998,21389.985,LH8888.XDCE,True,2021,5,22,29,29,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.10551568876743012,-0.20389078460693644,0.007509102140843327,-0.06738771043436054,0.13255878218309491,,-0.12929772,-1,0.10551568876743012,0.17819586265700782,-0.23672629948478885
5,5,2021-06-30,21452.093,21584.912,16869.738,19133.006,LH8888.XDCE,True,2021,6,26,30,30,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,-0.02899492113262292,-0.10551568876743012,-0.20389078460693644,0.007509102140843327,-0.06738771043436054,0.13255878218309491,-0.19615726,-1,0.02899492113262292,0.20719078378963074,-0.26572122061741177
6,6,2021-07-30,19245.708,19333.381,17955.406,18578.246,LH8888.XDCE,True,2021,7,30,31,31,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.12553160292957688,-0.02899492113262292,-0.10551568876743012,-0.20389078460693644,0.007509102140843327,-0.06738771043436054,-0.047530133,-1,0.12553160292957688,0.3327223867192076,-0.39125282354698865
7,7,2021-08-31,18474.405,18519.144,15958.636,16246.089,LH8888.XDCE,True,2021,8,35,32,32,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.13643572923920344,-0.12553160292957688,-0.02899492113262292,-0.10551568876743012,-0.20389078460693644,0.007509102140843327,-0.032464292,-1,0.13643572923920344,0.46915811595841106,-0.5276885527861921
8,8,2021-09-30,16337.66,16436.76,13443.636,14029.542,LH8888.XDCE,True,2021,9,39,33,33,2021-08,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021.0,8.0,0.1533174782184621,-0.13643572923920344,-0.12553160292957688,-0.02899492113262292,-0.10551568876743012,-0.20389078460693644,-0.10934916,-1,-0.1533174782184621,0.31584063773994897,-0.37437107456773
9,9,2021-10-29,14118.78,17082.82,14052.673,16180.516,LH8888.XDCE,True,2021,10,43,34,34,2021-09,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,-0.7,12.5,38.4,2.1,-13.7,9.4,10.7,6.7,2021.0,9.0,-0.0507618545663191,0.1533174782184621,-0.13643572923920344,-0.12553160292957688,-0.02899492113262292,-0.10551568876743012,-0.04877387,-1,0.0507618545663191,0.36660249230626807,-0.4251329291340491
10,10,2021-11-30,16253.141,16376.525,15212.882,15359.163,LH8888.XDCE,True,2021,11,48,35,35,2021-10,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021.0,10.0,-0.019453794454814988,-0.0507618545663191,0.1533174782184621,-0.13643572923920344,-0.12553160292957688,-0.02899492113262292,-0.13426034,-1,0.019453794454814988,0.38605628676108306,-0.4445867235888641
11,11,2021-12-31,15337.305,15509.809,14442.881,15060.369,LH8888.XDCE,True,2021,12,52,36,36,2021-11,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021.0,11.0,-0.04607556428398274,-0.019453794454814988,-0.0507618545663191,0.1533174782184621,-0.13643572923920344,-0.12553160292957688,-0.050415292,-1,0.04607556428398274,0.4321318510450658,-0.4906622878728468
12,12,2022-01-28,15003.908,15259.596,14103.339,14366.454,LH8888.XDCE,True,2022,1,4,37,37,2021-12,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,8.1,2021.0,12.0,0.05549121585604899,-0.04607556428398274,-0.019453794454814988,-0.0507618545663191,0.1533174782184621,-0.13643572923920344,-0.041272245,-1,-0.05549121585604899,0.3766406351890168,-0.43517107201679783
13,13,2022-02-28,14530.276,15382.38,14298.295,15163.666,LH8888.XDCE,True,2022,2,9,38,38,2022-01,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,9.1,9.1,2022.0,1.0,0.012767756820811105,0.05549121585604899,-0.04607556428398274,-0.019453794454814988,-0.0507618545663191,0.1533174782184621,-0.045754924,-1,-0.012767756820811105,0.3638728783682057,-0.42240331519598673
14,14,2022-03-31,15559.402,15669.152,14085.207,15357.272,LH8888.XDCE,True,2022,3,13,39,39,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022.0,2.0,0.18490425903767282,0.012767756820811105,0.05549121585604899,-0.04607556428398274,-0.019453794454814988,-0.0507618545663191,-0.01924881,0,0.0,0.3638728783682057,-0.2374990561583139
15,15,2022-04-29,15497.89,18331.035,14799.641,18196.897,LH8888.XDCE,True,2022,4,17,40,40,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022.0,3.0,0.05459848456580252,0.18490425903767282,0.012767756820811105,0.05549121585604899,-0.04607556428398274,-0.019453794454814988,0.1420426,1,0.05459848456580252,0.4184713629340082,-0.18290057159251139
16,16,2022-05-31,18226.281,19850.689,18031.427,19190.42,LH8888.XDCE,True,2022,5,22,41,41,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022.0,4.0,0.06926992739085458,0.05459848456580252,0.18490425903767282,0.012767756820811105,0.05549121585604899,-0.04607556428398274,0.18357028,1,0.06926992739085458,0.4877412903248628,-0.1136306442016568
17,17,2022-06-30,19182.548,20826.699,18727.667,20519.739,LH8888.XDCE,True,2022,6,26,42,42,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022.0,5.0,0.03537574235227825,0.06926992739085458,0.05459848456580252,0.18490425903767282,0.012767756820811105,0.05549121585604899,0.06837311,1,0.03537574235227825,0.523117032677141,-0.07825490184937856
18,18,2022-07-29,20507.355,22750.759,20303.691,21245.64,LH8888.XDCE,True,2022,7,30,43,43,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022.0,6.0,0.05564445222643344,0.03537574235227825,0.06926992739085458,0.05459848456580252,0.18490425903767282,0.012767756820811105,0.06923009,1,0.05564445222643344,0.5787614849035745,-0.022610449622945117
19,19,2022-08-31,21279.602,22911.21,20325.718,22427.842,LH8888.XDCE,True,2022,8,35,44,44,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,-0.04094201305680689,0.05564445222643344,0.03537574235227825,0.06926992739085458,0.05459848456580252,0.18490425903767282,0.055899844,1,-0.04094201305680689,0.5378194718467676,-0.06355246267975201
20,20,2022-09-30,22448.864,22571.48,20831.59,21509.601,LH8888.XDCE,True,2022,9,39,45,45,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,-0.031203647152729608,-0.04094201305680689,0.05564445222643344,0.03537574235227825,0.06926992739085458,0.05459848456580252,0.055573724,1,-0.031203647152729608,0.506615824694038,-0.09475610983248162
