,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-07-31,2760.029,2901.419,2759.755,2869.735,LR8888.XZCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.013685584208995016,,,,,,0.5,1,-0.013685584208995016,-0.013685584208995016,-0.013685584208995016
1,1,2014-08-29,2871.799,2875.628,2824.916,2830.461,LR8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.00015792480447518464,-0.013685584208995016,,,,,-0.010644294,0,-0.0,-0.013685584208995016,-0.013843509013470201
2,2,2014-09-30,2821.681,2844.563,2792.991,2830.014,LR8888.XZCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.002765710699664359,-0.00015792480447518464,-0.013685584208995016,,,,-0.0003314289,0,0.0,-0.013685584208995016,-0.011077798313805842
3,3,2014-10-31,2829.187,2846.72,2809.848,2837.841,LR8888.XZCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.003417034287685694,0.002765710699664359,-0.00015792480447518464,-0.013685584208995016,,,-0.00962032,0,-0.0,-0.013685584208995016,-0.014494832601491536
4,4,2014-11-28,2823.542,2846.516,2813.639,2828.144,LR8888.XZCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,0.021662616896452436,-0.003417034287685694,0.002765710699664359,-0.00015792480447518464,-0.013685584208995016,,-2.2606018e-05,0,0.0,-0.013685584208995016,0.007167784294960899
5,5,2014-12-31,2838.092,2930.0,2799.262,2889.409,LR8888.XZCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.0364811627568129,0.021662616896452436,-0.003417034287685694,0.002765710699664359,-0.00015792480447518464,-0.013685584208995016,-0.010915456,0,-0.0,-0.013685584208995016,-0.029313378461852002
6,6,2015-01-30,2889.104,2889.104,2772.0,2784.0,LR8888.XZCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.0,-0.0364811627568129,0.021662616896452436,-0.003417034287685694,0.002765710699664359,-0.00015792480447518464,0.021000149,1,0.0,-0.013685584208995016,-0.029313378461852002
7,7,2015-02-27,2787.0,2793.0,2755.0,2784.0,LR8888.XZCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.03951149425287359,0.0,-0.0364811627568129,0.021662616896452436,-0.003417034287685694,0.002765710699664359,0.0045024944,0,-0.0,-0.013685584208995016,-0.0688248727147256
8,8,2015-03-31,2784.0,2873.0,2670.0,2674.0,LR8888.XZCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.027673896783844465,-0.03951149425287359,0.0,-0.0364811627568129,0.021662616896452436,-0.003417034287685694,4.9029906e-05,0,-0.0,-0.013685584208995016,-0.09649876949857006
9,9,2015-04-30,2670.0,2850.0,2578.0,2600.0,LR8888.XZCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.030063846153846163,-0.027673896783844465,-0.03951149425287359,0.0,-0.0364811627568129,0.021662616896452436,-0.008352257,0,-0.0,-0.013685584208995016,-0.12656261565241622
10,10,2015-05-29,2600.0,2800.0,2488.0,2521.834,LR8888.XZCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,0.0,-0.030063846153846163,-0.027673896783844465,-0.03951149425287359,0.0,-0.0364811627568129,-0.029963443,-1,-0.0,-0.013685584208995016,-0.12656261565241622
11,11,2015-06-30,2521.834,2521.834,2521.834,2521.834,LR8888.XZCE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.024519456871467282,0.0,-0.030063846153846163,-0.027673896783844465,-0.03951149425287359,0.0,-0.037829675,-1,0.024519456871467282,0.010833872662472266,-0.1510820725238835
12,12,2015-07-31,2491.667,2589.0,2348.0,2460.0,LR8888.XZCE,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,0.05650406504065031,-0.024519456871467282,0.0,-0.030063846153846163,-0.027673896783844465,-0.03951149425287359,-0.02443512,-1,-0.05650406504065031,-0.04567019237817804,-0.0945780074832332
13,13,2015-08-31,2460.0,2684.0,2460.0,2599.0,LR8888.XZCE,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,0.010773374374759559,0.05650406504065031,-0.024519456871467282,0.0,-0.030063846153846163,-0.027673896783844465,-6.257018e-05,0,0.0,-0.04567019237817804,-0.08380463310847364
14,14,2015-09-30,2599.0,2627.0,2599.0,2627.0,LR8888.XZCE,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.0,0.010773374374759559,0.05650406504065031,-0.024519456871467282,0.0,-0.030063846153846163,0.055809863,1,0.0,-0.04567019237817804,-0.08380463310847364
15,15,2015-10-30,2627.0,2627.0,2627.0,2627.0,LR8888.XZCE,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.03730491054434715,0.0,0.010773374374759559,0.05650406504065031,-0.024519456871467282,0.0,0.0011222146,0,-0.0,-0.04567019237817804,-0.12110954365282078
16,16,2015-11-30,2627.0,2628.0,2344.0,2529.0,LR8888.XZCE,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,-0.02161605377619613,-0.03730491054434715,0.0,0.010773374374759559,0.05650406504065031,-0.024519456871467282,0.04511825,1,-0.02161605377619613,-0.06728624615437417,-0.14272559742901691
17,17,2015-12-31,2529.0,2628.0,2432.0,2474.333,LR8888.XZCE,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,0.00538892703609406,-0.02161605377619613,-0.03730491054434715,0.0,0.010773374374759559,0.05650406504065031,0.0003199026,0,0.0,-0.06728624615437417,-0.13733667039292285
18,18,2016-01-29,2481.0,2539.667,2427.667,2487.667,LR8888.XZCE,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,0.08535426968320126,0.00538892703609406,-0.02161605377619613,-0.03730491054434715,0.0,0.010773374374759559,0.005377689,0,0.0,-0.06728624615437417,-0.0519824007097216
19,19,2016-02-29,2487.667,2700.0,2487.667,2700.0,LR8888.XZCE,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.009074074074074012,0.08535426968320126,0.00538892703609406,-0.02161605377619613,-0.03730491054434715,0.0,0.00031561215,0,0.0,-0.06728624615437417,-0.04290832663564759
20,20,2016-03-31,2700.0,2779.333,2682.667,2724.5,LR8888.XZCE,True,2016,3,13,-33,-33,2016-02,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,12.1,15.6,-12.9,-11.3,16.3,5.3,-4.9,-5.1,2016.0,2.0,-0.008992475683611723,0.009074074074074012,0.08535426968320126,0.00538892703609406,-0.02161605377619613,-0.03730491054434715,-0.032035302,-1,0.008992475683611723,-0.05829377047076245,-0.05190080231925931
