,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2020-06-30,2617.191,2685.12,2490.024,2537.081,LU8888.XINE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,-0.03916311698365171,,,,,,0.5,1,-0.03916311698365171,-0.03916311698365171,-0.03916311698365171
1,1,2020-07-31,2529.179,2615.425,2392.527,2437.721,LU8888.XINE,True,2020,7,31,19,19,2020-06,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,-18.2,-25.6,-7.7,15.4,20.4,-16.5,-3.0,-1.9,2020.0,6.0,0.03198315147631736,-0.03916311698365171,,,,,-0.035970986,-1,-0.03198315147631736,-0.07114626845996908,-0.007179965507334352
2,2,2020-08-31,2438.148,2578.803,2407.9,2515.687,LU8888.XINE,True,2020,8,36,20,20,2020-07,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,-17.3,-24.8,-9.1,14.7,26.8,-9.7,-2.4,-2.0,2020.0,7.0,-0.11206322567155602,0.03198315147631736,-0.03916311698365171,,,,0.032224867,1,-0.11206322567155602,-0.1832094941315251,-0.11924319117889037
3,3,2020-09-30,2515.838,2537.169,2201.544,2233.771,LU8888.XINE,True,2020,9,40,21,21,2020-08,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,-17.4,-23.3,-6.7,11.8,7.6,-9.0,-2.0,-2.0,2020.0,8.0,-0.05636119369442982,-0.11206322567155602,0.03198315147631736,-0.03916311698365171,,,0.03148605,1,-0.05636119369442982,-0.23957068782595492,-0.1756043848733202
4,4,2020-10-30,2353.445,2416.259,2052.701,2107.873,LU8888.XINE,True,2020,10,44,22,22,2020-09,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,-9.0,-20.0,-2.7,20.6,13.8,-6.1,-2.1,-2.0,2020.0,9.0,0.19496051232688116,-0.05636119369442982,-0.11206322567155602,0.03198315147631736,-0.03916311698365171,,-0.05071323,-1,-0.19496051232688116,-0.4345312001528361,0.019356127453560967
5,5,2020-11-30,2117.392,2637.958,2029.267,2518.825,LU8888.XINE,True,2020,11,49,23,23,2020-10,1.8,-5.3,3.1,14.1,13.1,3.7,8.0,5.4,-7.1,-18.1,0.6,29.0,11.1,-4.1,-2.1,-2.0,2020.0,10.0,0.05410776850317123,0.19496051232688116,-0.05636119369442982,-0.11206322567155602,0.03198315147631736,-0.03916311698365171,-0.10912751,-1,-0.05410776850317123,-0.4886389686560073,0.0734638959567322
6,6,2020-12-31,2542.757,2740.528,2464.32,2655.113,LU8888.XINE,True,2020,12,53,24,24,2020-11,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020.0,11.0,0.05740772614950851,0.05410776850317123,0.19496051232688116,-0.05636119369442982,-0.11206322567155602,0.03198315147631736,-0.108893506,-1,-0.05740772614950851,-0.5460466948055158,0.1308716221062407
7,7,2021-01-29,2666.097,2923.321,2607.815,2807.537,LU8888.XINE,True,2021,1,4,25,25,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.17305738090005596,0.05740772614950851,0.05410776850317123,0.19496051232688116,-0.05636119369442982,-0.11206322567155602,0.0012283603,0,0.0,-0.5460466948055158,0.30392900300629666
8,8,2021-02-26,2822.974,3408.01,2776.565,3293.402,LU8888.XINE,True,2021,2,8,26,26,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.04764708347174129,0.17305738090005596,0.05740772614950851,0.05410776850317123,0.19496051232688116,-0.05636119369442982,0.17016898,1,-0.04764708347174129,-0.5936937782772571,0.25628191953455537
9,9,2021-03-31,3272.983,3521.11,2978.167,3136.481,LU8888.XINE,True,2021,3,13,27,27,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.03710145223261363,-0.04764708347174129,0.17305738090005596,0.05740772614950851,0.05410776850317123,0.19496051232688116,0.084798306,1,0.03710145223261363,-0.5565923260446435,0.293383371767169
