,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-06-30,2868.0,3020.0,2826.0,2991.0,MA8888.XZCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.024740889334670668,,,,,,0.5,1,-0.024740889334670668,-0.024740889334670668,-0.024740889334670668
1,1,2014-07-31,2994.0,3038.0,2825.0,2917.0,MA8888.XZCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.031188207062050055,-0.024740889334670668,,,,,-0.021634145,-1,0.031188207062050055,0.006447317727379387,-0.05592909639672072
2,2,2014-08-29,2899.907,3011.663,2793.157,2826.024,MA8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.018509750801833258,-0.031188207062050055,-0.024740889334670668,,,,-0.029318195,-1,-0.018509750801833258,-0.012062433074453871,-0.037419345594887465
3,3,2014-09-30,2825.023,2960.571,2811.16,2878.333,MA8888.XZCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.036561787673629165,0.018509750801833258,-0.031188207062050055,-0.024740889334670668,,,-0.029388664,-1,0.036561787673629165,0.024499354599175294,-0.07398113326851663
4,4,2014-10-31,2872.461,2874.567,2700.097,2773.096,MA8888.XZCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.08357590216855104,-0.036561787673629165,0.018509750801833258,-0.031188207062050055,-0.024740889334670668,,0.017917406,0,-0.0,0.024499354599175294,-0.15755703543706767
5,5,2014-11-28,2769.751,2772.801,2522.828,2541.332,MA8888.XZCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.18729154632295186,-0.08357590216855104,-0.036561787673629165,0.018509750801833258,-0.031188207062050055,-0.024740889334670668,-0.07584602,-1,0.18729154632295186,0.21179090092212716,-0.34484858176001953
6,6,2014-12-31,2515.029,2552.325,1983.67,2065.362,MA8888.XZCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.007904667559488376,-0.18729154632295186,-0.08357590216855104,-0.036561787673629165,0.018509750801833258,-0.031188207062050055,-0.1834631,-1,0.007904667559488376,0.21969556848161553,-0.3527532493195079
7,7,2015-01-30,2045.975,2103.91,1908.374,2049.036,MA8888.XZCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.1519338850073888,-0.007904667559488376,-0.18729154632295186,-0.08357590216855104,-0.036561787673629165,0.018509750801833258,-0.05236233,-1,-0.1519338850073888,0.06776168347422673,-0.2008193643121191
8,8,2015-02-27,2055.493,2370.399,2031.875,2360.354,MA8888.XZCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,0.021723436399794238,0.1519338850073888,-0.007904667559488376,-0.18729154632295186,-0.08357590216855104,-0.036561787673629165,-0.0364286,-1,-0.021723436399794238,0.04603824707443249,-0.17909592791232487
9,9,2015-03-31,2360.533,2530.803,2302.362,2411.629,MA8888.XZCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.06797065386093792,0.021723436399794238,0.1519338850073888,-0.007904667559488376,-0.18729154632295186,-0.08357590216855104,-0.05329787,-1,-0.06797065386093792,-0.021932406786505432,-0.11112527405138695
