,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2011-10-31,3197.644,3222.006,3115.473,3137.559,ME8888.XZCE,True,2011,10,44,-86,-86,2011-09,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,30.4,26.9,20.3,15.2,2.5,4.5,6.52,7.02,2011,9,-0.12062147675948098,,,,,,0.5,1,-0.12062147675948098,-0.12062147675948098,-0.12062147675948098
1,1,2011-11-30,3143.662,3156.867,2722.822,2759.102,ME8888.XZCE,True,2011,11,48,-85,-85,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011,10,-0.011318900134899001,-0.12062147675948098,,,,,-0.11694707,-1,0.011318900134899001,-0.10930257662458198,-0.13194037689437998
2,2,2011-12-30,2820.328,2850.429,2665.787,2727.872,ME8888.XZCE,True,2011,12,52,-84,-84,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,0.1034517015461136,-0.011318900134899001,-0.12062147675948098,,,,-0.010856009,0,0.0,-0.10930257662458198,-0.02848867534826638
3,3,2012-01-31,2752.812,3016.288,2733.571,3010.075,ME8888.XZCE,True,2012,1,5,-83,-83,2011-12,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,32.7,28.9,15.3,-11.0,-6.5,3.0,1.69,6.03,2011,12,-0.012615964718487027,0.1034517015461136,-0.011318900134899001,-0.12062147675948098,,,-0.009561868,0,-0.0,-0.10930257662458198,-0.041104640066753406
4,4,2012-02-29,3000.742,3036.864,2877.216,2972.1,ME8888.XZCE,True,2012,2,9,-82,-82,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012,1,-0.0031210255374987117,-0.012615964718487027,0.1034517015461136,-0.011318900134899001,-0.12062147675948098,,-0.0111390045,0,-0.0,-0.10930257662458198,-0.04422566560425212
5,5,2012-03-30,2964.825,3059.767,2939.854,2962.824,ME8888.XZCE,True,2012,3,13,-81,-81,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012,2,0.04676248066034305,-0.0031210255374987117,-0.012615964718487027,0.1034517015461136,-0.011318900134899001,-0.12062147675948098,-0.010473564,0,0.0,-0.10930257662458198,0.0025368150560909353
6,6,2012-04-27,2952.781,3134.367,2945.976,3101.373,ME8888.XZCE,True,2012,4,17,-80,-80,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012,3,-0.08025735698350378,0.04676248066034305,-0.0031210255374987117,-0.012615964718487027,0.1034517015461136,-0.011318900134899001,-0.008434792,0,-0.0,-0.10930257662458198,-0.07772054192741285
7,7,2012-05-31,3110.33,3160.134,2816.891,2852.465,ME8888.XZCE,True,2012,5,22,-79,-79,2012-04,20.2,24.36,12.0,10.1,7.4,9.0,6.8,10.9,0.6,-0.1,-9.2,-19.0,10.7,3.1,-0.7,-0.07,2012,4,-0.038920722953655895,-0.08025735698350378,0.04676248066034305,-0.0031210255374987117,-0.012615964718487027,0.1034517015461136,-0.0029950181,0,-0.0,-0.10930257662458198,-0.11664126488106874
8,8,2012-06-29,2836.531,2844.555,2655.946,2741.445,ME8888.XZCE,True,2012,6,26,-78,-78,2012-05,20.1,24.48,10.8,7.9,7.8,8.7,9.5,10.5,13.7,1.6,-12.7,-24.4,18.5,6.2,-1.4,-0.34,2012,5,0.03286660866805646,-0.038920722953655895,-0.08025735698350378,0.04676248066034305,-0.0031210255374987117,-0.012615964718487027,0.011307935,0,0.0,-0.10930257662458198,-0.08377465621301228
9,9,2012-07-31,2799.098,2877.151,2710.283,2831.547,ME8888.XZCE,True,2012,7,31,-77,-77,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012,6,-0.06025292887598188,0.03286660866805646,-0.038920722953655895,-0.08025735698350378,0.04676248066034305,-0.0031210255374987117,-0.043505,-1,0.06025292887598188,-0.0490496477486001,-0.14402758508899416
10,10,2012-08-31,2812.109,2878.863,2623.608,2660.938,ME8888.XZCE,True,2012,8,35,-76,-76,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012,7,0.05674126943205726,-0.06025292887598188,0.03286660866805646,-0.038920722953655895,-0.08025735698350378,0.04676248066034305,-0.03858317,-1,-0.05674126943205726,-0.10579091718065736,-0.0872863156569369
11,11,2012-09-28,2670.068,2842.982,2545.312,2811.923,ME8888.XZCE,True,2012,9,39,-75,-75,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012,8,0.004871043766134564,0.05674126943205726,-0.06025292887598188,0.03286660866805646,-0.038920722953655895,-0.08025735698350378,-0.006879203,0,0.0,-0.10579091718065736,-0.08241527189080233
12,12,2012-10-31,2802.951,2889.918,2699.118,2825.62,ME8888.XZCE,True,2012,10,44,-74,-74,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012,9,-0.0270829056985723,0.004871043766134564,0.05674126943205726,-0.06025292887598188,0.03286660866805646,-0.038920722953655895,-0.05791653,-1,0.0270829056985723,-0.07870801148208506,-0.10949817758937463
13,13,2012-11-30,2821.752,2844.257,2680.017,2749.094,ME8888.XZCE,True,2012,11,48,-73,-73,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012,10,-0.0070485039798565685,-0.0270829056985723,0.004871043766134564,0.05674126943205726,-0.06025292887598188,0.03286660866805646,0.03274661,1,-0.0070485039798565685,-0.08575651546194163,-0.1165466815692312
14,14,2012-12-31,2738.462,2792.002,2715.913,2729.717,ME8888.XZCE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012,11,0.07665886243885356,-0.0070485039798565685,-0.0270829056985723,0.004871043766134564,0.05674126943205726,-0.06025292887598188,-0.0067220572,0,0.0,-0.08575651546194163,-0.039887819130377644
15,15,2013-01-31,2735.593,2999.559,2724.121,2938.974,ME8888.XZCE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012,12,-0.013120224949251025,0.07665886243885356,-0.0070485039798565685,-0.0270829056985723,0.004871043766134564,0.05674126943205726,0.053529218,1,-0.013120224949251025,-0.09887674041119265,-0.05300804407962867
16,16,2013-02-28,2929.978,3015.47,2852.595,2900.414,ME8888.XZCE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013,1,-0.021434181465128765,-0.013120224949251025,0.07665886243885356,-0.0070485039798565685,-0.0270829056985723,0.004871043766134564,-0.01928021,0,-0.0,-0.09887674041119265,-0.07444222554475743
17,17,2013-03-29,2894.929,2898.182,2775.897,2838.246,ME8888.XZCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013,2,-0.025199718417642458,-0.021434181465128765,-0.013120224949251025,0.07665886243885356,-0.0070485039798565685,-0.0270829056985723,-0.0070084245,0,-0.0,-0.09887674041119265,-0.09964194396239989
