,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-03-31,101990.817,102787.372,93875.077,95051.446,NI8888.XSGE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,,,4.8,,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.11163597658472235,,,,,,0.5,1,0.11163597658472235,0.11163597658472235,0.11163597658472235
1,1,2015-04-30,93946.233,106632.814,91311.693,105662.607,NI8888.XSGE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.0700539595809897,0.11163597658472235,,,,,0.11393529,1,-0.0700539595809897,0.04158201700373265,0.04158201700373265
2,2,2015-05-29,105607.3,113739.573,96841.37,98260.523,NI8888.XSGE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.11133480329633505,-0.0700539595809897,0.11163597658472235,,,,0.112127,1,-0.11133480329633505,-0.0697527862926024,-0.0697527862926024
3,3,2015-06-30,98058.143,102193.915,87319.416,87320.707,NI8888.XSGE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.061642011212758474,-0.11133480329633505,-0.0700539595809897,0.11163597658472235,,,-0.10833779,-1,0.061642011212758474,-0.008110775079843924,-0.13139479750536087
4,4,2015-07-31,87242.864,90743.334,75277.38,81938.083,NI8888.XSGE,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.06532901190768636,-0.061642011212758474,-0.11133480329633505,-0.0700539595809897,0.11163597658472235,,-0.06947506,-1,0.06532901190768636,0.05721823682784244,-0.19672380941304723
5,5,2015-08-31,82452.363,84602.749,72862.904,76585.149,NI8888.XSGE,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,0.006655755151693921,-0.06532901190768636,-0.061642011212758474,-0.11133480329633505,-0.0700539595809897,0.11163597658472235,-0.064986676,-1,-0.006655755151693921,0.05056248167614852,-0.19006805426135331
6,6,2015-09-30,76422.165,80037.303,75130.498,77094.881,NI8888.XSGE,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.0009248473968070936,0.006655755151693921,-0.06532901190768636,-0.061642011212758474,-0.11133480329633505,-0.0700539595809897,-0.06089623,-1,-0.0009248473968070936,0.049637634279341425,-0.18914320686454622
7,7,2015-10-30,78195.87,80987.062,77133.723,77166.182,NI8888.XSGE,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.1019648218438487,0.0009248473968070936,0.006655755151693921,-0.06532901190768636,-0.061642011212758474,-0.11133480329633505,0.0030966944,0,-0.0,0.049637634279341425,-0.2911080287083949
8,8,2015-11-30,77111.367,77396.191,63366.207,69297.946,NI8888.XSGE,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,0.01478118846408516,-0.1019648218438487,0.0009248473968070936,0.006655755151693921,-0.06532901190768636,-0.061642011212758474,-0.09942541,-1,-0.01478118846408516,0.034856445815256265,-0.27632684024430976
9,9,2015-12-31,69159.548,71511.157,67299.98,70322.252,NI8888.XSGE,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,-0.010353564900054568,0.01478118846408516,-0.1019648218438487,0.0009248473968070936,0.006655755151693921,-0.06532901190768636,-0.06472634,-1,0.010353564900054568,0.04521001071531083,-0.2866804051443643
10,10,2016-01-29,70546.611,70926.769,65600.896,69594.166,NI8888.XSGE,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,-0.036437752555293135,-0.010353564900054568,0.01478118846408516,-0.1019648218438487,0.0009248473968070936,0.006655755151693921,-0.09876501,-1,0.036437752555293135,0.08164776327060397,-0.32311815769965746
11,11,2016-02-29,69428.349,70205.91,64282.981,67058.311,NI8888.XSGE,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,-0.00612507225241643,-0.036437752555293135,-0.010353564900054568,0.01478118846408516,-0.1019648218438487,0.0009248473968070936,0.00087356294,0,-0.0,0.08164776327060397,-0.3292432299520739
12,12,2016-03-31,67256.604,75914.862,66497.681,66647.574,NI8888.XSGE,True,2016,3,13,-33,-33,2016-02,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,12.1,15.6,-12.9,-11.3,16.3,5.3,-4.9,-5.1,2016.0,2.0,0.09660945798267173,-0.00612507225241643,-0.036437752555293135,-0.010353564900054568,0.01478118846408516,-0.1019648218438487,-0.07394766,-1,-0.09660945798267173,-0.014961694712067763,-0.23263377196940216
13,13,2016-04-29,66521.743,74883.647,65674.784,73086.36,NI8888.XSGE,True,2016,4,17,-32,-32,2016-03,10.7,6.4,8.3,8.2,6.0,4.8,4.1,3.8,15.1,15.8,-7.6,-1.5,8.9,6.5,-4.3,-4.8,2016.0,3.0,-0.06687710264952318,0.09660945798267173,-0.00612507225241643,-0.036437752555293135,-0.010353564900054568,0.01478118846408516,0.0139498785,0,-0.0,-0.014961694712067763,-0.29951087461892534
14,14,2016-05-31,73155.631,76266.993,66463.689,68198.556,NI8888.XSGE,True,2016,5,22,-31,-31,2016-04,10.5,6.0,8.6,9.3,3.8,4.5,5.0,4.1,14.8,16.1,-7.1,-4.3,4.3,5.5,-3.4,-4.5,2016.0,4.0,0.10321922358590707,-0.06687710264952318,0.09660945798267173,-0.00612507225241643,-0.036437752555293135,-0.010353564900054568,-0.032506086,-1,-0.10321922358590707,-0.11818091829797484,-0.19629165103301827
15,15,2016-06-30,68261.005,75717.576,66859.019,75237.958,NI8888.XSGE,True,2016,6,26,-30,-30,2016-05,9.6,4.6,8.6,8.6,4.2,4.4,5.7,4.5,8.9,5.8,-8.2,-9.0,4.1,5.6,-2.8,-4.1,2016.0,5.0,0.07774973105995242,0.10321922358590707,-0.06687710264952318,0.09660945798267173,-0.00612507225241643,-0.036437752555293135,0.066307165,1,0.07774973105995242,-0.040431187238022415,-0.11854191997306585
16,16,2016-07-29,75131.387,84651.748,73999.288,81087.689,NI8888.XSGE,True,2016,7,30,-29,-29,2016-06,9.0,3.3,8.7,8.9,4.9,4.5,6.9,4.9,0.2,6.2,-6.7,-1.4,8.1,6.0,-2.6,-3.9,2016.0,6.0,-0.03917994259276525,0.07774973105995242,0.10321922358590707,-0.06687710264952318,0.09660945798267173,-0.00612507225241643,0.027781967,1,-0.03917994259276525,-0.07961112983078766,-0.1577218625658311
17,17,2016-08-31,81457.566,85056.572,77385.664,77910.678,NI8888.XSGE,True,2016,8,35,-28,-28,2016-07,8.1,3.0,8.8,9.7,3.6,4.4,5.6,5.0,4.0,4.6,-6.0,-1.6,25.4,8.1,-1.7,-3.6,2016.0,7.0,0.0453895549464991,-0.03917994259276525,0.07774973105995242,0.10321922358590707,-0.06687710264952318,0.09660945798267173,0.07115816,1,0.0453895549464991,-0.034221574884288564,-0.112332307619332
18,18,2016-09-30,77903.349,83671.486,77885.619,81447.009,NI8888.XSGE,True,2016,9,39,-27,-27,2016-08,8.1,2.8,9.0,9.8,5.7,4.6,7.5,5.4,3.8,4.0,-2.9,10.9,24.7,10.0,-0.8,-3.2,2016.0,8.0,0.032969129658278806,0.0453895549464991,-0.03917994259276525,0.07774973105995242,0.10321922358590707,-0.06687710264952318,0.07763314,1,0.032969129658278806,-0.0012524452260097574,-0.07936317796105319
19,19,2016-10-31,80787.181,84214.92,79230.012,84132.246,NI8888.XSGE,True,2016,10,44,-26,-26,2016-09,8.2,3.1,8.8,7.9,7.0,4.9,7.8,5.7,3.0,3.6,-2.4,14.1,31.5,12.3,0.1,-2.9,2016.0,9.0,0.07901957116418834,0.032969129658278806,0.0453895549464991,-0.03917994259276525,0.07774973105995242,0.10321922358590707,0.033540737,1,0.07901957116418834,0.07776712593817858,-0.0003436067968648482
20,20,2016-11-30,84107.571,100216.207,82002.776,90780.34,NI8888.XSGE,True,2016,11,48,-25,-25,2016-10,8.3,3.1,8.7,7.6,8.2,5.3,8.3,6.0,4.6,3.5,-0.5,16.9,18.0,12.7,1.2,-2.5,2016.0,10.0,-0.057935925333613025,0.07901957116418834,0.032969129658278806,0.0453895549464991,-0.03917994259276525,0.07774973105995242,0.0776585,1,-0.057935925333613025,0.019831200604565558,-0.058279532130477874
21,21,2016-12-30,91372.88,97486.422,83782.955,85520.897,NI8888.XSGE,True,2016,12,52,-24,-24,2016-11,8.3,3.6,8.5,6.6,8.6,5.7,10.7,6.5,6.2,3.8,1.4,20.3,17.8,13.3,3.3,-2.0,2016.0,11.0,-0.03374538973790231,-0.057935925333613025,0.07901957116418834,0.032969129658278806,0.0453895549464991,-0.03917994259276525,0.045287184,1,-0.03374538973790231,-0.013914189133336752,-0.09202492186838018
22,22,2017-01-26,85519.375,88305.555,81308.242,82634.961,NI8888.XSGE,True,2017,1,4,-23,-23,2016-12,8.1,4.2,8.2,4.7,8.4,5.9,8.0,6.7,9.2,4.7,2.2,4.6,12.7,13.1,5.5,-1.4,2016.0,12.0,0.10248058324853582,-0.03374538973790231,-0.057935925333613025,0.07901957116418834,0.032969129658278806,0.0453895549464991,0.033928525,1,0.10248058324853582,0.08856639411519907,0.010455661380155634
23,23,2017-02-28,85888.462,92797.654,83680.469,91103.44,NI8888.XSGE,True,2017,2,9,-22,-22,2017-01,8.1,4.2,8.2,4.7,8.4,5.9,8.0,6.7,9.2,4.7,2.2,4.6,12.7,13.1,6.9,6.9,2017.0,1.0,-0.07804796394076896,0.10248058324853582,-0.03374538973790231,-0.057935925333613025,0.07901957116418834,0.032969129658278806,0.05156564,1,-0.07804796394076896,0.010518430174430105,-0.06759230256061333
24,24,2017-03-31,91258.788,92337.675,80201.686,83993.002,NI8888.XSGE,True,2017,3,13,-21,-21,2017-02,8.9,4.3,8.4,4.7,8.4,10.6,8.0,11.5,9.2,1.2,3.1,4.6,12.7,11.1,7.8,7.3,2017.0,2.0,-0.058857534345539864,-0.07804796394076896,0.10248058324853582,-0.03374538973790231,-0.057935925333613025,0.07901957116418834,-0.0265867,-1,0.058857534345539864,0.06937596451996997,-0.1264498369061532
25,25,2017-04-28,83710.163,86266.069,77056.891,79049.381,NI8888.XSGE,True,2017,4,17,-20,-20,2017-03,9.2,5.8,8.7,9.1,10.6,10.6,13.5,12.4,9.0,4.3,3.4,1.5,4.8,9.0,7.6,7.4,2017.0,3.0,-0.07619194386860528,-0.058857534345539864,-0.07804796394076896,0.10248058324853582,-0.03374538973790231,-0.057935925333613025,0.09998836,1,-0.07619194386860528,-0.006815979348635315,-0.20264178077475847
26,26,2017-05-31,79394.382,80295.693,72837.755,73026.455,NI8888.XSGE,True,2017,5,22,-19,-19,2017-04,8.9,4.9,8.3,7.2,10.8,10.7,12.0,12.2,10.1,5.3,5.8,12.5,0.3,6.9,6.4,7.2,2017.0,4.0,0.052519487629517414,-0.07619194386860528,-0.058857534345539864,-0.07804796394076896,0.10248058324853582,-0.03374538973790231,-0.075556934,-1,-0.052519487629517414,-0.05933546697815273,-0.15012229314524106
27,27,2017-06-30,73010.765,77214.463,71688.085,76861.767,NI8888.XSGE,True,2017,6,26,-18,-18,2017-05,8.6,5.1,8.1,7.4,11.5,10.8,11.1,12.0,1.8,4.0,10.1,16.7,4.1,6.4,5.5,6.8,2017.0,5.0,0.08866811505907735,0.052519487629517414,-0.07619194386860528,-0.058857534345539864,-0.07804796394076896,0.10248058324853582,0.101283364,1,0.08866811505907735,0.029332648080924617,-0.06145417808616371
28,28,2017-07-31,76808.612,84521.9,73300.22,83676.955,NI8888.XSGE,True,2017,7,31,-17,-17,2017-06,8.6,5.5,8.3,9.2,12.3,11.2,12.0,12.0,-1.0,3.9,8.7,7.2,6.2,6.3,5.5,6.6,2017.0,6.0,0.11739379139692652,0.08866811505907735,0.052519487629517414,-0.07619194386860528,-0.058857534345539864,-0.07804796394076896,0.053630874,1,0.11739379139692652,0.14672643947785113,0.055939613310762804
29,29,2017-08-31,83519.053,95264.221,82242.945,93500.11,NI8888.XSGE,True,2017,8,35,-16,-16,2017-07,8.3,4.8,7.9,5.4,11.5,11.2,11.9,12.1,2.8,3.6,5.2,6.8,4.3,6.0,5.5,6.4,2017.0,7.0,-0.09270255403977612,0.11739379139692652,0.08866811505907735,0.052519487629517414,-0.07619194386860528,-0.058857534345539864,-0.0017708077,0,-0.0,0.14672643947785113,-0.036762940729013316
