,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-08-30,9811.607,10239.548,9730.27,10090.897,NR8888.XINE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,-0.03051879332432006,,,,,,0.5,1,-0.03051879332432006,-0.03051879332432006,-0.03051879332432006
1,1,2019-09-30,10099.294,10501.444,9739.241,9782.935,NR8888.XINE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,0.03731967962579752,-0.03051879332432006,,,,,-0.02737784,-1,-0.03731967962579752,-0.06783847295011758,0.00680088630147746
2,2,2019-10-31,9771.644,10239.47,9658.933,10148.031,NR8888.XINE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,0.049565181659378066,0.03731967962579752,-0.03051879332432006,,,,0.037507296,1,0.049565181659378066,-0.018273291290739513,0.056366067960855526
3,3,2019-11-29,10106.428,11320.309,10005.263,10651.02,NR8888.XINE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,0.017702623786266525,0.049565181659378066,0.03731967962579752,-0.03051879332432006,,,0.04909162,1,0.017702623786266525,-0.0005706675044729881,0.07406869174712205
4,4,2019-12-31,10619.529,11477.87,10597.899,10839.571,NR8888.XINE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.0657181912457605,0.017702623786266525,0.049565181659378066,0.03731967962579752,-0.03051879332432006,,0.03741513,1,-0.0657181912457605,-0.06628885875023349,0.008350500501361546
5,5,2020-01-23,10839.672,11176.002,10052.919,10127.214,NR8888.XINE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.11631481274119415,-0.0657181912457605,0.017702623786266525,0.049565181659378066,0.03731967962579752,-0.03051879332432006,-0.028020352,-1,0.11631481274119415,0.05002595399096066,-0.1079643122398326
6,6,2020-02-28,9353.186,9939.626,8314.534,8949.269,NR8888.XINE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,-0.12976020723033355,-0.11631481274119415,-0.0657181912457605,0.017702623786266525,0.049565181659378066,0.03731967962579752,-0.09646686,-1,0.12976020723033355,0.1797861612212942,-0.23772451947016615
7,7,2020-03-31,8831.18,9704.912,7578.861,7788.01,NR8888.XINE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,0.03986217275016335,-0.12976020723033355,-0.11631481274119415,-0.0657181912457605,0.017702623786266525,0.049565181659378066,-0.12746134,-1,-0.03986217275016335,0.13992398847113086,-0.1978623467200028
8,8,2020-04-30,7757.996,8451.301,7428.729,8098.457,NR8888.XINE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.041785984663498255,0.03986217275016335,-0.12976020723033355,-0.11631481274119415,-0.0657181912457605,0.017702623786266525,0.01769986,0,0.0,0.13992398847113086,-0.15607636205650455
9,9,2020-05-29,8167.609,8669.612,8085.641,8436.859,NR8888.XINE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.01836429884628865,0.041785984663498255,0.03986217275016335,-0.12976020723033355,-0.11631481274119415,-0.0657181912457605,-0.064002775,-1,-0.01836429884628865,0.1215596896248422,-0.1377120632102159
