,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-07-31,10052.0,10052.0,10052.0,10052.0,OI8888.XZCE,True,2012,7,31,-77,-77,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012.0,6.0,0.005173099880620757,,,,,,0.5,1,0.005173099880620757,0.005173099880620757,0.005173099880620757
1,1,2012-08-31,10052.0,10230.0,9810.0,10104.0,OI8888.XZCE,True,2012,8,35,-76,-76,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.013064133016627011,0.005173099880620757,,,,,0.008102737,0,0.0,0.005173099880620757,0.018237232897247768
2,2,2012-09-28,10104.0,10794.0,10012.0,10236.0,OI8888.XZCE,True,2012,9,39,-75,-75,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.01836654943337246,0.013064133016627011,0.005173099880620757,,,,0.01274028,0,-0.0,0.005173099880620757,-0.00012931653612469063
3,3,2012-10-31,10234.0,10234.0,9896.0,10048.0,OI8888.XZCE,True,2012,10,44,-74,-74,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,-0.03085191082802552,-0.01836654943337246,0.013064133016627011,0.005173099880620757,,,0.01273462,0,-0.0,0.005173099880620757,-0.03098122736415021
4,4,2012-11-30,10192.0,10192.0,9538.0,9738.0,OI8888.XZCE,True,2012,11,48,-73,-73,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,0.012601868966933827,-0.03085191082802552,-0.01836654943337246,0.013064133016627011,0.005173099880620757,,-0.028996643,-1,-0.012601868966933827,-0.0074287690863130695,-0.018379358397216383
5,5,2012-12-31,9756.492,10055.497,9609.882,9860.717,OI8888.XZCE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012.0,11.0,0.012322633333864186,0.012601868966933827,-0.03085191082802552,-0.01836654943337246,0.013064133016627011,0.005173099880620757,0.0055824956,0,0.0,-0.0074287690863130695,-0.006056725063352197
6,6,2013-01-31,9930.96,10151.256,9787.508,9982.227,OI8888.XZCE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012.0,12.0,-0.028573583830542093,0.012322633333864186,0.012601868966933827,-0.03085191082802552,-0.01836654943337246,0.013064133016627011,-0.029088387,-1,0.028573583830542093,0.021144814744229024,-0.03463030889389429
7,7,2013-02-28,9989.67,10006.765,9616.046,9696.999,OI8888.XZCE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013.0,1.0,0.0010782717415975807,-0.028573583830542093,0.012322633333864186,0.012601868966933827,-0.03085191082802552,-0.01836654943337246,-0.028385319,-1,-0.0010782717415975807,0.020066543002631443,-0.03355203715229671
8,8,2013-03-29,9672.574,9884.998,9631.301,9707.455,OI8888.XZCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,0.007572427582718699,0.0010782717415975807,-0.028573583830542093,0.012322633333864186,0.012601868966933827,-0.03085191082802552,0.012126851,0,0.0,0.020066543002631443,-0.02597960956957801
9,9,2013-04-26,9706.304,9865.613,9311.196,9780.964,OI8888.XZCE,True,2013,4,17,-68,-68,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.011624416570800267,0.007572427582718699,0.0010782717415975807,-0.028573583830542093,0.012322633333864186,0.012601868966933827,0.003923346,0,-0.0,0.020066543002631443,-0.03760402614037828
