,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-10-31,8379.324,8694.554,8378.534,8536.038,P8888.XDCE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,-0.0026869608593588223,,,,,,0.5,1,-0.0026869608593588223,-0.0026869608593588223,-0.0026869608593588223
1,1,2007-11-30,8699.988,8957.917,8417.071,8513.102,P8888.XDCE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.09186992003619832,-0.0026869608593588223,,,,,0.0002892125,0,0.0,-0.0026869608593588223,0.0891829591768395
2,2,2007-12-28,8560.902,9480.277,8469.735,9295.2,P8888.XDCE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.04963895343833369,0.09186992003619832,-0.0026869608593588223,,,,0.09205483,1,0.04963895343833369,0.046951992578974866,0.13882191261517318
3,3,2008-01-31,9298.819,10284.321,9139.233,9756.604,P8888.XDCE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.24534756150808223,0.04963895343833369,0.09186992003619832,-0.0026869608593588223,,,0.050141018,1,0.24534756150808223,0.2922995540870571,0.3841694741232554
4,4,2008-02-29,9846.915,12150.363,9748.467,12150.363,P8888.XDCE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,-0.14511681667453058,0.24534756150808223,0.04963895343833369,0.09186992003619832,-0.0026869608593588223,,0.14868142,1,-0.14511681667453058,0.14718273741252652,0.23905265744872484
5,5,2008-03-31,12322.191,12989.183,9704.17,10387.141,P8888.XDCE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,-0.008198887451320913,-0.14511681667453058,0.24534756150808223,0.04963895343833369,0.09186992003619832,-0.0026869608593588223,0.24480064,1,-0.008198887451320913,0.1389838499612056,0.23085376999740392
6,6,2008-04-30,9792.663,10977.034,9702.309,10301.978,P8888.XDCE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008.0,3.0,-0.0008330439067136819,-0.008198887451320913,-0.14511681667453058,0.24534756150808223,0.04963895343833369,0.09186992003619832,-0.004814408,0,-0.0,0.1389838499612056,0.23002072609069024
7,7,2008-05-30,10201.08,10876.049,10006.149,10293.396,P8888.XDCE,True,2008,5,22,-127,-127,2008-04,25.7,31.2,18.7,15.7,21.4,22.0,20.6,22.4,-16.6,-11.7,12.9,7.7,22.2,17.4,8.12,7.2,2008.0,4.0,0.041207294463362576,-0.0008330439067136819,-0.008198887451320913,-0.14511681667453058,0.24534756150808223,0.04963895343833369,0.23270056,1,0.041207294463362576,0.18019114442456818,0.2712280205540528
8,8,2008-06-30,10438.951,11243.971,10341.506,10717.559,P8888.XDCE,True,2008,6,27,-126,-126,2008-05,25.6,30.5,18.6,17.7,21.7,22.1,21.8,22.2,1.5,-0.2,16.2,12.5,21.7,18.1,8.22,7.4,2008.0,5.0,-0.17597094636941113,0.041207294463362576,-0.0008330439067136819,-0.008198887451320913,-0.14511681667453058,0.24534756150808223,0.04837398,1,-0.17597094636941113,0.004220198055157054,0.09525707418464169
9,9,2008-07-31,10723.12,10920.821,8604.597,8831.58,P8888.XDCE,True,2008,7,31,-125,-125,2008-06,26.8,31.4,19.3,17.2,20.6,21.8,21.3,22.4,18.2,3.5,8.6,1.4,14.8,17.6,8.84,7.6,2008.0,6.0,-0.15577733542582417,-0.17597094636941113,0.041207294463362576,-0.0008330439067136819,-0.008198887451320913,-0.14511681667453058,-0.007875848,0,-0.0,0.004220198055157054,-0.06052026124118248
10,10,2008-08-29,8705.015,8720.419,7080.912,7455.82,P8888.XDCE,True,2008,8,35,-124,-124,2008-07,27.3,32.2,18.4,14.6,18.4,21.3,20.4,22.2,15.6,6.1,6.8,-2.9,13.2,17.2,10.03,8.0,2008.0,7.0,-0.11824950173153326,-0.15577733542582417,-0.17597094636941113,0.041207294463362576,-0.0008330439067136819,-0.008198887451320913,-0.14913033,-1,0.11824950173153326,0.12246969978669031,-0.17876976297271574
11,11,2008-09-26,7460.887,7574.062,5825.413,6574.173,P8888.XDCE,True,2008,9,39,-123,-123,2008-08,27.4,33.0,17.9,15.7,15.0,20.6,21.4,21.8,14.4,6.4,5.6,-3.5,-3.3,14.9,10.06,8.2,2008.0,8.0,-0.3026646849725433,-0.11824950173153326,-0.15577733542582417,-0.17597094636941113,0.041207294463362576,-0.0008330439067136819,0.03579847,1,-0.3026646849725433,-0.18019498518585297,-0.481434447945259
12,12,2008-10-31,6177.513,6178.493,4332.455,4584.403,P8888.XDCE,True,2008,10,44,-122,-122,2008-09,27.6,33.4,17.7,16.8,16.2,20.0,22.3,21.7,10.9,7.1,2.9,-14.5,3.2,13.6,9.13,8.3,2008.0,9.0,0.02717147685314747,-0.3026646849725433,-0.11824950173153326,-0.15577733542582417,-0.17597094636941113,0.041207294463362576,-0.15470389,-1,-0.02717147685314747,-0.20736646203900044,-0.45426297109211156
