,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2011-03-31,19229.921,19574.085,18488.257,18666.88,PB8888.XSGE,True,2011,3,13,-93,-93,2011-02,24.9,29.9,19.5,20.0,22.7,22.4,23.0,24.7,41.5,38.5,20.5,22.2,6.2,10.3,7.23,6.94,2011.0,2.0,-0.059524355435937926,,,,,,0.5,1,-0.059524355435937926,-0.059524355435937926,-0.059524355435937926
1,1,2011-04-29,18781.063,19442.273,17425.889,17555.746,PB8888.XSGE,True,2011,4,17,-92,-92,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,-0.026225715500782454,-0.059524355435937926,,,,,-0.05621167,-1,0.026225715500782454,-0.03329863993515547,-0.08575007093672038
2,2,2011-05-31,17556.33,17653.523,16199.11,17095.334,PB8888.XSGE,True,2011,5,22,-91,-91,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,0.006109503329972954,-0.026225715500782454,-0.059524355435937926,,,,-0.02618026,-1,-0.006109503329972954,-0.039408143265128426,-0.07964056760674743
3,3,2011-06-30,17085.641,17209.443,16459.802,17199.778,PB8888.XSGE,True,2011,6,26,-90,-90,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,0.023351929309785247,0.006109503329972954,-0.026225715500782454,-0.059524355435937926,,,-0.02563288,-1,-0.023351929309785247,-0.06276007257491367,-0.05628863829696218
4,4,2011-07-29,17200.947,17848.88,17078.813,17601.426,PB8888.XSGE,True,2011,7,30,-89,-89,2011-06,25.6,32.4,19.0,19.3,18.5,20.2,18.9,22.1,37.6,29.9,24.7,27.3,3.6,5.0,7.12,6.98,2011.0,6.0,-0.03693143953222877,0.023351929309785247,0.006109503329972954,-0.026225715500782454,-0.059524355435937926,,-0.010532388,0,-0.0,-0.06276007257491367,-0.09322007782919095
5,5,2011-08-31,17619.534,17729.699,15181.219,16951.38,PB8888.XSGE,True,2011,8,35,-88,-88,2011-07,25.4,31.8,19.0,17.9,15.8,19.7,17.4,21.5,23.5,28.8,23.1,23.5,-1.3,4.0,7.54,7.06,2011.0,7.0,-0.12373682850599776,-0.03693143953222877,0.023351929309785247,0.006109503329972954,-0.026225715500782454,-0.059524355435937926,-0.025906503,-1,0.12373682850599776,0.06097675593108409,-0.21695690633518872
6,6,2011-09-30,16931.634,16982.228,13616.992,14853.87,PB8888.XSGE,True,2011,9,39,-87,-87,2011-08,25.0,32.2,18.6,16.0,15.7,19.0,17.6,21.2,18.4,27.0,20.1,11.3,9.5,4.7,7.25,7.09,2011.0,8.0,0.03300076007128094,-0.12373682850599776,-0.03693143953222877,0.023351929309785247,0.006109503329972954,-0.026225715500782454,0.0060527287,0,0.0,0.06097675593108409,-0.18395614626390777
7,7,2011-10-31,14764.38,15703.727,13763.737,15344.059,PB8888.XSGE,True,2011,10,44,-86,-86,2011-09,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,30.4,26.9,20.3,15.2,2.5,4.5,6.52,7.02,2011.0,9.0,-0.0019632354124811124,0.03300076007128094,-0.12373682850599776,-0.03693143953222877,0.023351929309785247,0.006109503329972954,0.02172303,1,-0.0019632354124811124,0.05901352051860298,-0.18591938167638888
8,8,2011-11-30,15591.133,15609.263,14629.023,15313.935,PB8888.XSGE,True,2011,11,48,-85,-85,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011.0,10.0,-0.002216282098624456,-0.0019632354124811124,0.03300076007128094,-0.12373682850599776,-0.03693143953222877,0.023351929309785247,-0.12031823,-1,0.002216282098624456,0.061229802617227436,-0.18813566377501334
9,9,2011-12-30,16112.122,16126.939,14895.358,15279.995,PB8888.XSGE,True,2011,12,52,-84,-84,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011.0,11.0,0.05716690352320142,-0.002216282098624456,-0.0019632354124811124,0.03300076007128094,-0.12373682850599776,-0.03693143953222877,-0.005450488,0,0.0,0.061229802617227436,-0.13096876025181192
