,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2020-10-30,5929.883,6615.255,5899.687,6014.945,PF8888.XZCE,True,2020,10,44,22,22,2020-09,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,-9.0,-20.0,-2.7,20.6,13.8,-6.1,-2.1,-2.0,2020.0,9.0,0.00040266369850439077,,,,,,0.5,1,0.00040266369850439077,0.00040266369850439077,0.00040266369850439077
1,1,2020-11-30,6009.547,6169.345,5853.746,6017.367,PF8888.XZCE,True,2020,11,49,23,23,2020-10,1.8,-5.3,3.1,14.1,13.1,3.7,8.0,5.4,-7.1,-18.1,0.6,29.0,11.1,-4.1,-2.1,-2.0,2020.0,10.0,0.06738296002221578,0.00040266369850439077,,,,,0.0033605448,0,0.0,0.00040266369850439077,0.06778562372072017
2,2,2020-12-31,6031.477,6450.735,5909.539,6422.835,PF8888.XZCE,True,2020,12,53,24,24,2020-11,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020.0,11.0,0.031016210131507238,0.06738296002221578,0.00040266369850439077,,,,0.06749375,1,0.031016210131507238,0.03141887383001163,0.0988018338522274
3,3,2021-01-29,6402.198,6910.267,6401.189,6622.047,PF8888.XZCE,True,2021,1,4,25,25,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.25908046258203865,0.031016210131507238,0.06738296002221578,0.00040266369850439077,,,0.066980004,1,0.25908046258203865,0.2904993364120503,0.35788229643426606
4,4,2021-02-26,6638.483,8553.813,6608.043,8337.69,PF8888.XZCE,True,2021,2,8,26,26,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.1627323635203517,0.25908046258203865,0.031016210131507238,0.06738296002221578,0.00040266369850439077,,0.002689605,0,-0.0,0.2904993364120503,0.19514993291391436
5,5,2021-03-31,8277.651,8373.067,6903.473,6980.878,PF8888.XZCE,True,2021,3,13,27,27,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.027015942693741524,-0.1627323635203517,0.25908046258203865,0.031016210131507238,0.06738296002221578,0.00040266369850439077,0.25847843,1,0.027015942693741524,0.3175152791057918,0.22216587560765588
6,6,2021-04-30,6917.632,7346.222,6829.261,7169.473,PF8888.XZCE,True,2021,4,17,28,28,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.026701544172075042,0.027015942693741524,-0.1627323635203517,0.25908046258203865,0.031016210131507238,0.06738296002221578,0.0299338,1,-0.026701544172075042,0.29081373493371676,0.19546433143558084
7,7,2021-05-31,7258.385,7457.185,6730.607,6978.037,PF8888.XZCE,True,2021,5,22,29,29,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,0.03526263904877536,-0.026701544172075042,0.027015942693741524,-0.1627323635203517,0.25908046258203865,0.031016210131507238,0.25465447,1,0.03526263904877536,0.3260763739824921,0.2307269704843562
8,8,2021-06-30,6998.785,7425.994,6867.318,7224.101,PF8888.XZCE,True,2021,6,26,30,30,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,0.036355250293427455,0.03526263904877536,-0.026701544172075042,0.027015942693741524,-0.1627323635203517,0.25908046258203865,0.038686138,1,0.036355250293427455,0.3624316242759196,0.26708222077778365
9,9,2021-07-30,7233.744,7609.411,7091.36,7486.735,PF8888.XZCE,True,2021,7,30,31,31,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.07692912865220947,0.036355250293427455,0.03526263904877536,-0.026701544172075042,0.027015942693741524,-0.1627323635203517,0.035745893,1,-0.07692912865220947,0.2855024956237101,0.19015309212557419
10,10,2021-08-31,7516.066,7585.129,6798.801,6910.787,PF8888.XZCE,True,2021,8,35,32,32,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,0.0764112683548197,-0.07692912865220947,0.036355250293427455,0.03526263904877536,-0.026701544172075042,0.027015942693741524,0.027687296,1,0.0764112683548197,0.3619137639785298,0.2665643604803939
11,11,2021-09-30,6907.287,7492.146,6713.713,7438.849,PF8888.XZCE,True,2021,9,39,33,33,2021-08,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021.0,8.0,-0.022089304407173826,0.0764112683548197,-0.07692912865220947,0.036355250293427455,0.03526263904877536,-0.026701544172075042,-0.01297357,0,-0.0,0.3619137639785298,0.24447505607322007
12,12,2021-10-29,7850.173,8507.367,7164.725,7274.53,PF8888.XZCE,True,2021,10,43,34,34,2021-09,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,-0.7,12.5,38.4,2.1,-13.7,9.4,10.7,6.7,2021.0,9.0,-0.09920709654094484,-0.022089304407173826,0.0764112683548197,-0.07692912865220947,0.036355250293427455,0.03526263904877536,0.035420813,1,-0.09920709654094484,0.262706667437585,0.14526795953227523
13,13,2021-11-30,7253.85,7510.75,6540.487,6552.845,PF8888.XZCE,True,2021,11,48,35,35,2021-10,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021.0,10.0,0.07629785230689867,-0.09920709654094484,-0.022089304407173826,0.0764112683548197,-0.07692912865220947,0.036355250293427455,0.07574968,1,0.07629785230689867,0.33900451974448365,0.2215658118391739
14,14,2021-12-31,6558.496,7099.007,6503.47,7052.813,PF8888.XZCE,True,2021,12,52,36,36,2021-11,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021.0,11.0,0.07681814334223791,0.07629785230689867,-0.09920709654094484,-0.022089304407173826,0.0764112683548197,-0.07692912865220947,-0.07637688,-1,-0.07681814334223791,0.26218637640224574,0.2983839551814118
15,15,2022-01-28,7048.346,7746.192,7000.141,7594.597,PF8888.XZCE,True,2022,1,4,37,37,2021-12,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,8.1,2021.0,12.0,-0.013341590080421573,0.07681814334223791,0.07629785230689867,-0.09920709654094484,-0.022089304407173826,0.0764112683548197,-0.0028045126,0,-0.0,0.26218637640224574,0.28504236510099024
16,16,2022-02-28,7871.84,8004.683,7189.803,7493.273,PF8888.XZCE,True,2022,2,9,38,38,2022-01,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,9.1,9.1,2022.0,1.0,0.03518742744325465,-0.013341590080421573,0.07681814334223791,0.07629785230689867,-0.09920709654094484,-0.022089304407173826,-0.08856667,-1,-0.03518742744325465,0.2269989489589911,0.3202297925442449
17,17,2022-03-31,7463.291,8526.282,7391.76,7756.942,PF8888.XZCE,True,2022,3,13,39,39,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022.0,2.0,0.034279230139918626,0.03518742744325465,-0.013341590080421573,0.07681814334223791,0.07629785230689867,-0.09920709654094484,-0.016670719,0,0.0,0.2269989489589911,0.3545090226841635
18,18,2022-04-29,7740.009,8054.287,7498.281,8022.844,PF8888.XZCE,True,2022,4,17,40,40,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022.0,3.0,0.0522072970632359,0.034279230139918626,0.03518742744325465,-0.013341590080421573,0.07681814334223791,0.07629785230689867,0.035093952,1,0.0522072970632359,0.279206246022227,0.4067163197473994
19,19,2022-05-31,8121.432,8515.083,7926.99,8441.695,PF8888.XZCE,True,2022,5,22,41,41,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022.0,4.0,-0.055270179744707604,0.0522072970632359,0.034279230139918626,0.03518742744325465,-0.013341590080421573,0.07681814334223791,0.035039335,1,-0.055270179744707604,0.22393606627751939,0.3514461400026918
