,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2020-03-31,2435.695,2561.201,2415.492,2560.527,PG8888.XDCE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,,,-28.2,,-24.4,,-31.5,-44.6,,,-45.8,-0.4,-0.2,2020.0,2.0,0.3262406528031143,,,,,,0.5,1,0.3262406528031143,0.3262406528031143,0.3262406528031143
1,1,2020-04-30,2553.561,3658.922,2539.512,3395.875,PG8888.XDCE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.013052600581587859,0.3262406528031143,,,,,0.3272694,1,0.013052600581587859,0.3392932533847022,0.3392932533847022
2,2,2020-05-29,3498.994,3525.761,3172.902,3440.2,PG8888.XDCE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.035364804371838865,0.013052600581587859,0.3262406528031143,,,,0.01614772,0,0.0,0.3392932533847022,0.37465805775654104
3,3,2020-06-30,3438.136,3677.777,3270.384,3561.862,PG8888.XDCE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,0.07955080797627745,0.035364804371838865,0.013052600581587859,0.3262406528031143,,,0.035766724,1,0.07955080797627745,0.4188440613609796,0.4542088657328185
4,4,2020-07-31,3553.499,4066.127,3511.514,3845.211,PG8888.XDCE,True,2020,7,31,19,19,2020-06,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,-18.2,-25.6,-7.7,15.4,20.4,-16.5,-3.0,-1.9,2020.0,6.0,-0.03792015574697971,0.07955080797627745,0.035364804371838865,0.013052600581587859,0.3262406528031143,,0.037506636,1,-0.03792015574697971,0.3809239056139999,0.4162887099858388
5,5,2020-08-31,3843.169,4052.643,3504.905,3699.4,PG8888.XDCE,True,2020,8,36,20,20,2020-07,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,-17.3,-24.8,-9.1,14.7,26.8,-9.7,-2.4,-2.0,2020.0,7.0,-0.07062064118505695,-0.03792015574697971,0.07955080797627745,0.035364804371838865,0.013052600581587859,0.3262406528031143,-0.013474994,0,-0.0,0.3809239056139999,0.3456680688007818
6,6,2020-09-30,3693.663,3725.318,3360.531,3438.146,PG8888.XDCE,True,2020,9,40,21,21,2020-08,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,-17.4,-23.3,-6.7,11.8,7.6,-9.0,-2.0,-2.0,2020.0,8.0,0.12246222237217363,-0.07062064118505695,-0.03792015574697971,0.07955080797627745,0.035364804371838865,0.013052600581587859,-0.02933231,-1,-0.12246222237217363,0.2584616832418263,0.46813029117295546
7,7,2020-10-30,3531.058,3911.336,3509.963,3859.189,PG8888.XDCE,True,2020,10,44,22,22,2020-09,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,-9.0,-20.0,-2.7,20.6,13.8,-6.1,-2.1,-2.0,2020.0,9.0,-0.05090162725899139,0.12246222237217363,-0.07062064118505695,-0.03792015574697971,0.07955080797627745,0.035364804371838865,0.0064409464,0,-0.0,0.2584616832418263,0.41722866391396407
8,8,2020-11-30,3872.821,3923.417,3418.116,3662.75,PG8888.XDCE,True,2020,11,49,23,23,2020-10,1.8,-5.3,3.1,14.1,13.1,3.7,8.0,5.4,-7.1,-18.1,0.6,29.0,11.1,-4.1,-2.1,-2.0,2020.0,10.0,0.02934325302027152,-0.05090162725899139,0.12246222237217363,-0.07062064118505695,-0.03792015574697971,0.07955080797627745,-0.06840491,-1,-0.02934325302027152,0.22911843022155476,0.4465719169342356
9,9,2020-12-31,3668.023,4084.89,3595.645,3770.227,PG8888.XDCE,True,2020,12,53,24,24,2020-11,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020.0,11.0,-0.10587717927859519,0.02934325302027152,-0.05090162725899139,0.12246222237217363,-0.07062064118505695,-0.03792015574697971,-0.043891232,-1,0.10587717927859519,0.33499560950014995,0.3406947376556404
10,10,2021-01-29,3854.31,4022.459,3327.848,3371.046,PG8888.XDCE,True,2021,1,4,25,25,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.16967285525026954,-0.10587717927859519,0.02934325302027152,-0.05090162725899139,0.12246222237217363,-0.07062064118505695,0.1218156,1,0.16967285525026954,0.5046684647504195,0.5103675929059099
