,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-01-31,2219.0,2220.0,2198.0,2200.0,PM8888.XZCE,True,2012,1,5,-83,-83,2011-12,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,32.7,28.9,15.3,-11.0,-6.5,3.0,1.69,6.03,2011.0,12.0,0.01727272727272733,,,,,,0.5,1,0.01727272727272733,0.01727272727272733,0.01727272727272733
1,1,2012-02-29,2207.0,2238.0,2191.0,2238.0,PM8888.XZCE,True,2012,2,9,-82,-82,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,0.018319928507596117,0.01727272727272733,,,,,0.02013073,1,0.018319928507596117,0.035592655780323446,0.035592655780323446
2,2,2012-03-30,2218.0,2296.0,2140.0,2279.0,PM8888.XZCE,True,2012,3,13,-81,-81,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,0.000877577885037395,0.018319928507596117,0.01727272727272733,,,,0.018282631,0,0.0,0.035592655780323446,0.03647023366536084
3,3,2012-04-27,2292.0,2373.0,2280.0,2281.0,PM8888.XZCE,True,2012,4,17,-80,-80,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,-0.030249890398947876,0.000877577885037395,0.018319928507596117,0.01727272727272733,,,0.01788764,0,-0.0,0.035592655780323446,0.006220343266412964
4,4,2012-05-31,2282.0,2282.0,2200.0,2212.0,PM8888.XZCE,True,2012,5,22,-79,-79,2012-04,20.2,24.36,12.0,10.1,7.4,9.0,6.8,10.9,0.6,-0.1,-9.2,-19.0,10.7,3.1,-0.7,-0.07,2012.0,4.0,0.004520795660036159,-0.030249890398947876,0.000877577885037395,0.018319928507596117,0.01727272727272733,,-0.028031506,-1,-0.004520795660036159,0.031071860120287287,0.010741138926449123
5,5,2012-06-29,2201.0,2252.0,2201.0,2222.0,PM8888.XZCE,True,2012,6,26,-78,-78,2012-05,20.1,24.48,10.8,7.9,7.8,8.7,9.5,10.5,13.7,1.6,-12.7,-24.4,18.5,6.2,-1.4,-0.34,2012.0,5.0,0.02776687668766864,0.004520795660036159,-0.030249890398947876,0.000877577885037395,0.018319928507596117,0.01727272727272733,0.004822256,0,0.0,0.031071860120287287,0.03850801561411776
6,6,2012-07-31,2226.0,2301.044,2220.0,2283.698,PM8888.XZCE,True,2012,7,31,-77,-77,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012.0,6.0,0.01808689239995842,0.02776687668766864,0.004520795660036159,-0.030249890398947876,0.000877577885037395,0.018319928507596117,0.004825067,0,0.0,0.031071860120287287,0.056594908014076184
7,7,2012-08-31,2278.773,2327.831,2229.176,2325.003,PM8888.XZCE,True,2012,8,35,-76,-76,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,-0.009930309767342327,0.01808689239995842,0.02776687668766864,0.004520795660036159,-0.030249890398947876,0.000877577885037395,-0.016605955,0,-0.0,0.031071860120287287,0.04666459824673386
8,8,2012-09-28,2333.033,2362.66,2273.042,2301.915,PM8888.XZCE,True,2012,9,39,-75,-75,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,0.02375196303946936,-0.009930309767342327,0.01808689239995842,0.02776687668766864,0.004520795660036159,-0.030249890398947876,-0.009547609,0,0.0,0.031071860120287287,0.07041656128620322
9,9,2012-10-31,2301.581,2366.582,2298.677,2356.59,PM8888.XZCE,True,2012,10,44,-74,-74,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,0.015373060226853141,0.02375196303946936,-0.009930309767342327,0.01808689239995842,0.02776687668766864,0.004520795660036159,0.00484719,0,0.0,0.031071860120287287,0.08578962151305636
10,10,2012-11-30,2350.777,2393.025,2340.766,2392.818,PM8888.XZCE,True,2012,11,48,-73,-73,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,0.023275903140146825,0.015373060226853141,0.02375196303946936,-0.009930309767342327,0.01808689239995842,0.02776687668766864,-0.0053957924,0,0.0,0.031071860120287287,0.10906552465320318
