,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-02-28,10587.43,10615.795,10483.618,10521.998,PP8888.XDCE,True,2014,2,9,-58,-58,2014-01,,,,,,,,,,,,,,,-1.64,-1.64,2014.0,1.0,0.012187609235432495,,,,,,0.5,1,0.012187609235432495,0.012187609235432495,0.012187609235432495
1,1,2014-03-31,10557.224,10703.835,10183.39,10650.236,PP8888.XDCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,,,11.0,,12.1,,-3.89,1.33,,,12.53,-2.0,-1.8,2014.0,2.0,0.008378687570866905,0.012187609235432495,,,,,0.015075716,0,0.0,0.012187609235432495,0.0205662968062994
2,2,2014-04-30,10650.975,11035.057,10620.139,10739.471,PP8888.XDCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,0.010341012141100947,0.008378687570866905,0.012187609235432495,,,,0.010018534,0,0.0,0.012187609235432495,0.030907308947400347
3,3,2014-05-30,10740.94,10981.828,10569.976,10850.528,PP8888.XDCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,-0.009454286464216421,0.010341012141100947,0.008378687570866905,0.012187609235432495,,,0.009770634,0,-0.0,0.012187609235432495,0.021453022483183926
4,4,2014-06-30,10877.065,11353.413,10597.245,10747.944,PP8888.XDCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,0.009899939932697777,-0.009454286464216421,0.010341012141100947,0.008378687570866905,0.012187609235432495,,0.010543756,0,0.0,0.012187609235432495,0.0313529624158817
5,5,2014-07-31,10736.883,10998.743,10566.836,10854.348,PP8888.XDCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.03504236274716821,0.009899939932697777,-0.009454286464216421,0.010341012141100947,0.008378687570866905,0.012187609235432495,-0.0078073875,0,-0.0,0.012187609235432495,-0.0036894003312865076
6,6,2014-08-29,10812.28,10897.516,10450.617,10473.986,PP8888.XDCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0222515095972059,-0.03504236274716821,0.009899939932697777,-0.009454286464216421,0.010341012141100947,0.008378687570866905,0.009787796,0,-0.0,0.012187609235432495,-0.025940909928492406
7,7,2014-09-30,10480.579,10674.702,9809.237,10240.924,PP8888.XDCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.04317159271956317,-0.0222515095972059,-0.03504236274716821,0.009899939932697777,-0.009454286464216421,0.010341012141100947,-0.03324916,-1,0.04317159271956317,0.05535920195499566,-0.06911250264805557
8,8,2014-10-31,10123.13,10123.282,9134.163,9798.807,PP8888.XDCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.09388408201120824,-0.04317159271956317,-0.0222515095972059,-0.03504236274716821,0.009899939932697777,-0.009454286464216421,-0.041488994,-1,0.09388408201120824,0.1492432839662039,-0.1629965846592638
9,9,2014-11-28,9773.545,9804.124,8774.81,8878.855,PP8888.XDCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.09887547437141386,-0.09388408201120824,-0.04317159271956317,-0.0222515095972059,-0.03504236274716821,0.009899939932697777,-0.091131605,-1,0.09887547437141386,0.24811875833761776,-0.2618720590306777
10,10,2014-12-31,8620.902,8743.089,7646.235,8000.954,PP8888.XDCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.1085849262475449,-0.09887547437141386,-0.09388408201120824,-0.04317159271956317,-0.0222515095972059,-0.03504236274716821,-0.09712228,-1,0.1085849262475449,0.35670368458516266,-0.3704569852782226
11,11,2015-01-30,7894.547,7894.547,7044.622,7132.171,PP8888.XDCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.14565270518612072,-0.1085849262475449,-0.09887547437141386,-0.09388408201120824,-0.04317159271956317,-0.0222515095972059,-0.10679484,-1,-0.14565270518612072,0.21105097939904194,-0.22480428009210185
12,12,2015-02-27,7262.642,8257.852,7233.013,8170.991,PP8888.XDCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,0.027585270868613065,0.14565270518612072,-0.1085849262475449,-0.09887547437141386,-0.09388408201120824,-0.04317159271956317,-0.05127541,-1,-0.027585270868613065,0.18346570853042887,-0.19721900922348878
13,13,2015-03-31,8209.82,8526.704,7796.594,8396.39,PP8888.XDCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.06216111924291279,0.027585270868613065,0.14565270518612072,-0.1085849262475449,-0.09887547437141386,-0.09388408201120824,-0.098523065,-1,-0.06216111924291279,0.12130458928751608,-0.135057889980576
14,14,2015-04-30,8339.384,8975.858,8278.621,8918.319,PP8888.XDCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.0770163076696404,0.06216111924291279,0.027585270868613065,0.14565270518612072,-0.1085849262475449,-0.09887547437141386,-0.09850906,-1,0.0770163076696404,0.1983208969571565,-0.2120741976502164
15,15,2015-05-29,8905.996,8995.464,8037.35,8231.463,PP8888.XDCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,0.033433060441381945,-0.0770163076696404,0.06216111924291279,0.027585270868613065,0.14565270518612072,-0.1085849262475449,-0.10579811,-1,-0.033433060441381945,0.16488783651577454,-0.17864113720883446
16,16,2015-06-30,8333.346,8697.015,8180.579,8506.666,PP8888.XDCE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.09577935703599971,0.033433060441381945,-0.0770163076696404,0.06216111924291279,0.027585270868613065,0.14565270518612072,0.03418038,1,-0.09577935703599971,0.06910847947977483,-0.27442049424483417
17,17,2015-07-31,8518.059,8584.802,7497.995,7691.903,PP8888.XDCE,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.0240222738118252,-0.09577935703599971,0.033433060441381945,-0.0770163076696404,0.06216111924291279,0.027585270868613065,0.033348292,1,-0.0240222738118252,0.04508620566794963,-0.29844276805665937
18,18,2015-08-31,7626.327,8066.353,7203.078,7507.126,PP8888.XDCE,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.06431156210778932,-0.0240222738118252,-0.09577935703599971,0.033433060441381945,-0.0770163076696404,0.06216111924291279,-0.03846992,-1,0.06431156210778932,0.10939776777573895,-0.3627543301644487
19,19,2015-09-30,7648.736,7733.936,6941.862,7024.331,PP8888.XDCE,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.032681973557339594,-0.06431156210778932,-0.0240222738118252,-0.09577935703599971,0.033433060441381945,-0.0770163076696404,-0.024016399,-1,0.032681973557339594,0.14207974133307855,-0.3954363037217883
20,20,2015-10-30,7147.575,7391.148,6761.002,6794.762,PP8888.XDCE,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.14220027132664836,-0.032681973557339594,-0.06431156210778932,-0.0240222738118252,-0.09577935703599971,0.033433060441381945,-0.063749716,-1,0.14220027132664836,0.2842800126597269,-0.5376365750484366
21,21,2015-11-30,6801.039,6873.897,5507.824,5828.545,PP8888.XDCE,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,-0.006869638992235583,-0.14220027132664836,-0.032681973557339594,-0.06431156210778932,-0.0240222738118252,-0.09577935703599971,-0.05564515,-1,0.006869638992235583,0.2911496516519625,-0.5445062140406722
22,22,2015-12-31,5784.853,6015.651,5369.781,5788.505,PP8888.XDCE,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,0.04452047635788525,-0.006869638992235583,-0.14220027132664836,-0.032681973557339594,-0.06431156210778932,-0.0240222738118252,-0.06357954,-1,-0.04452047635788525,0.24662917529407724,-0.499985737682787
23,23,2016-01-29,5839.09,6147.092,5468.765,6046.212,PP8888.XDCE,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,0.0614454140873657,0.04452047635788525,-0.006869638992235583,-0.14220027132664836,-0.032681973557339594,-0.06431156210778932,0.04394053,1,0.0614454140873657,0.30807458938144294,-0.4385403235954213
24,24,2016-02-29,6051.208,6476.6,6012.989,6417.724,PP8888.XDCE,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.08850832475812287,0.0614454140873657,0.04452047635788525,-0.006869638992235583,-0.14220027132664836,-0.032681973557339594,-0.06340896,-1,-0.08850832475812287,0.21956626462332007,-0.3500319988372984
25,25,2016-03-31,6462.535,7294.575,6416.81,6985.746,PP8888.XDCE,True,2016,3,13,-33,-33,2016-02,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,12.1,15.6,-12.9,-11.3,16.3,5.3,-4.9,-5.1,2016.0,2.0,-0.009298076397280974,0.08850832475812287,0.0614454140873657,0.04452047635788525,-0.006869638992235583,-0.14220027132664836,0.087989174,1,-0.009298076397280974,0.2102681882260391,-0.3593300752345794
26,26,2016-04-29,6994.298,7296.196,6532.132,6920.792,PP8888.XDCE,True,2016,4,17,-32,-32,2016-03,10.7,6.4,8.3,8.2,6.0,4.8,4.1,3.8,15.1,15.8,-7.6,-1.5,8.9,6.5,-4.3,-4.8,2016.0,3.0,-0.04293843825966748,-0.009298076397280974,0.08850832475812287,0.0614454140873657,0.04452047635788525,-0.006869638992235583,-0.006584712,0,-0.0,0.2102681882260391,-0.40226851349424686
27,27,2016-05-31,6909.553,6915.724,6219.65,6623.624,PP8888.XDCE,True,2016,5,22,-31,-31,2016-04,10.5,6.0,8.6,9.3,3.8,4.5,5.0,4.1,14.8,16.1,-7.1,-4.3,4.3,5.5,-3.4,-4.5,2016.0,4.0,0.18276007212969825,-0.04293843825966748,-0.009298076397280974,0.08850832475812287,0.0614454140873657,0.04452047635788525,0.0132647455,0,0.0,0.2102681882260391,-0.2195084413645486
